"rownum","Id","[i32]","[i32]","bool","[string]","[i32]","i32","rid","i32","bool"
0,"MissionFish",[34],[140],"",[],[0],-16843010,"",-16843010,""
1,"MissionZana",[308],[],"",[],[0],-16843010,"",-16843010,""
2,"StoneCircle",[446],[554],"",[],[8],-16843010,"",-16843010,""
3,"Shrine",[690],[],"",[],[8],-16843010,"",-16843010,""
4,"VaalSideArea",[804],[],"","[""sidearea""]",[0],-16843010,"",-16843010,""
5,"LabyrinthTrial",[950],[],"","[""maptrial""]","[0,3]",-16843010,"",-16843010,""
6,"ProphecyCrystalBoss","[1148,0]",[],"","[""telepad5"",""teleport6"",""telepad6"",""teleport5""]",[0],-16843010,"",-16843010,""
7,"ProphecyDarkTome",[1612],[],"",[],[0],-16843010,"",-16843010,""
8,"EssenceMonolith",[1794],[],"",[],[8],-16843010,"",-16843010,""
9,"IncursionPast",[1930],[],"",[],[0],-16843010,"",-16843010,""
10,"DelveMineralVein","[2102,0]",[],"",[],[3],-16843010,"",-16843010,""
11,"DelveMineralChest",[2384],[],"",[],[3],-16843010,"",-16843010,""
12,"BetrayalLaboratory",[2550],[2704],"","[""link""]",[0],-16843010,"",0,""
13,"BetrayalFortFallback",[2946],[3110],"",[],[0],-16843010,"",-16843010,""
14,"BetrayalFortSmall1",[3270],[3442],"",[],[0],-16843010,"",-16843010,1
15,"BetrayalFortMed1",[3598],[3768],"",[],[0],-16843010,"",-16843010,1
16,"BetrayalFortLarge1",[3928],[4100],"",[],[0],-16843010,"",-16843010,1
17,"SynthesisEncounter",[4260],[],"","[""link"",""subareatype=Synthesis_Single""]",[3],-16843010,"",-16843010,""
18,"SynthesisReward",[4502],[4616],"",[],[0],-16843010,"",-16843010,""
19,"LegionMonolith",[4802],[],"",[],[8],-16843010,"",-16843010,""
20,"BlightEncounter",[4954],[],"",[],[4],-16843010,"",-16843010,""
21,"HarvestEncounter",[5110],[],"","[""link""]",[0],-16843010,"",0,""
22,"UltimatumEncounter",[5294],[5414],"",[],[0],-16843010,"",-16843010,""
