"rownum","MonsterVarietiesKey","[i32]","[i32]","Name"
0,955,[718],[50],"Drowned"
1,956,[718],[50],"Drowned"
2,957,[718],[50],"Drowned"
3,3854,[718],[100],"Savage Crab"
4,3861,[718],[75],"Savage Crab"
5,3868,[718],[50],"Savage Crab"
6,5571,[718],[50],"Kelp Crab"
7,5572,[718],[100],"Shore Crab"
8,5573,[718],[50],"Coconut Crab"
9,5574,[718],[50],"Spider Crab"
10,445,[718],[100],"Gravel Eater"
11,2387,[718],[50],"Cannibal"
12,2384,[718],[50],"Cannibal"
13,2347,[718],[50],"Cannibal"
14,2352,[718],[50],"Cannibal"
15,2410,[718],[50],"Cannibal Fire-eater"
16,2350,[718],[50],"Fire Fury"
17,983,[718],[50],"Dripping Dead"
18,985,[718],[50],"Dripping Dead"
19,987,[718],[50],"Dripping Dead"
20,392,[718],[50],"Rhoa Scavenger"
21,400,[],[],"Great Rhoa"
22,980,[718],[50],"Dripping Dead"
23,981,[718],[50],"Dripping Dead"
24,982,[718],[50],"Dripping Dead"
25,898,"[483,0]","[80,50]","Tide Strider"
26,405,[718],[50],"Oozeback Bloom"
27,745,[718],[100],"Cursed Spawn"
28,468,[718],[100],"Cave Crustacean"
29,765,[718],[150],"Broodling"
30,915,"[483,0]","[80,50]","Cavern Strider"
31,568,[718],[50],"Ancient Bonestalker"
32,458,[],[],"Brood Princess"
33,573,[718],[50],"Rattling Bones"
34,492,[718],[50],"Ancient Archer"
35,2385,[718],[50],"Cannibal"
36,2348,[718],[50],"Cannibal"
37,2411,[718],[50],"Cannibal Fire-eater"
38,198,[718],[50],"Goatman"
39,1337,[718],[50],"Gluttonous Gull"
40,842,[],[],"Kuduku, the False God"
41,239,[718],[50],"Goatman Shaman"
42,498,[718],[50],"Burning Bowman"
43,4867,[718],[50],"Dreadwheel"
44,4868,[718],[50],"Dreadwheel"
45,489,[],[],"Ironpoint the Forsaken"
46,236,[],[],"The Faun"
47,376,[718],[25],"Necromancer"
48,487,"[1089,0,0]","[20,10,50]","Chatters"
49,502,[718],[50],"Brittle Poacher"
50,572,[718],[50],"Brittle Thief"
51,1032,[718],[50],"Rotting Damned"
52,1033,[718],[50],"Rotting Damned"
53,1034,[718],[50],"Rotting Damned"
54,138,[],[],"Brutus, Lord Incarcerator"
55,379,[],[],"Sawbones"
56,383,[718],[25],"Diabolist"
57,506,[718],[50],"Brittle Bleeder"
58,527,[718],[50],"Axiom Frostguard"
59,556,[718],[50],"Axiom Thunderguard"
60,585,[718],[50],"Brittle Thief"
61,212,[484],[80],"Bearded Devil"
62,250,[718],[50],"Bearded Shaman"
63,296,[718],[50],"Flame Hellion"
64,148,"[484,0]","[50,50]","Spectral Corsair"
65,401,[718],[50],"Murk Runner"
66,482,[],[],"Captain Fairgraves"
67,756,[718],[100],"Slimy Bloodsucker"
68,889,"[483,0]","[80,50]","Seething Brine"
69,157,"[484,0]","[50,50]","Cursed Mariner"
70,467,[718],[50],"Scrabbling Menace"
71,746,[718],[100],"Fathom Screamer"
72,886,[483],[80],"Stranglecharm"
73,905,"[483,0]","[80,50]","Seething Brine"
74,160,"[484,0]","[50,50]","Ashen Buccaneer"
75,162,"[484,0]","[50,50]","Spectral Bowman"
76,434,"[484,0]","[80,100]","Obsidian Eater"
77,452,[],[],"Amarissa, Daughter of Merveil"
78,461,[718],[50],"Singing Siren"
79,758,[718],[100],"Slimy Bloodsucker"
80,146,[],[],"Merveil, the Twisted"
81,450,[],[],"Ambrosia, Daughter of Merveil"
82,454,[718],[100],"Merveil's Daughter"
83,455,[718],[100],"Merveil's Attendant"
84,3132,[718],[50],"Resplendent Construct"
85,3133,[718],[50],"Resplendent Construct"
86,1,"[1089,0,0]","[20,10,50]","Calaf, Headstaver"
87,322,[718],[100],"Blood Ape"
88,335,[718],[25],"Blood Chieftain"
89,733,"[485,0]","[30,50]","Bramble Cobra"
90,1319,[718],[100],"Carrion Swarmer"
91,5,[718],[50],"Kraityn's Scout"
92,116,[],[],"Hairy Bonecruncher"
93,339,[718],[25],"Carnage Chieftain"
94,347,[718],[100],"Carnage Ape"
95,358,[],[],"Gneiss"
96,360,[718],[25],"Ruined Titan"
97,710,[718],[50],"Scarecrow"
98,711,[718],[50],"Scarecrow"
99,712,[718],[50],"Scarecrow"
100,713,[718],[50],"Scarecrow"
101,714,[718],[50],"Scarecrow"
102,715,[718],[50],"Scarecrow"
103,3525,"[484,0]","[80,75]","Dirt Scrabbler"
104,102,[],[],"Cave Beast"
105,107,[],[],"The Great White Beast"
106,349,[718],[100],"Barrow Ape"
107,352,[718],[25],"Stalag Nightmare"
108,802,[718],[100],"Cave Skitterer"
109,6,[718],[50],"Kraityn's Scout"
110,54,"[1089,0,0]","[20,10,50]","Kraityn's Aspirant"
111,115,[],[],"Bone Cruncher"
112,353,[718],[25],"Rumbling Mass"
113,354,[718],[25],"Hulking Titan"
114,501,[718],[50],"Brittle Archer"
115,601,[718],[50],"Brittle Farmer"
116,602,[718],[50],"Brittle Farmer"
117,603,[718],[50],"Brittle Farmer"
118,604,[718],[50],"Brittle Farmer"
119,605,[718],[50],"Brittle Farmer"
120,701,[],[],"Bravalo"
121,531,[718],[50],"Frost Priest"
122,533,[718],[50],"Frost Preacher"
123,550,[718],[50],"Flame Priest"
124,562,[718],[50],"Thunder Priest"
125,569,[718],[50],"Brittle Cleric"
126,798,[718],[50],"Crypt Weaver"
127,381,[718],[25],"Defiler"
128,479,"[1089,0,0]","[20,10,50]","Archbishop Geofri the Abashed"
129,530,[718],[50],"Frost Bishop"
130,547,[718],[50],"Flame Bishop"
131,574,[718],[50],"Vault Guardian"
132,503,[718],[50],"Sin Archer"
133,766,[718],[50],"Black Death"
134,799,[718],[50],"Mutant Arach"
135,803,[718],[100],"Spindle Spider"
136,1026,[718],[50],"Sutured Aberration"
137,1027,[718],[50],"Sutured Aberration"
138,1028,[718],[50],"Sutured Aberration"
139,140,[],[],"Fidelitas, the Mourning"
140,384,[718],[25],"Sin Lord"
141,567,[718],[50],"Sparking Mage"
142,659,"[484,0]","[50,50]","Sparking Bones"
143,796,[718],[50],"Corrupted Arach"
144,8,[718],[50],"Kraityn's Sniper"
145,32,[718],[50],"Kraityn, Scarbearer"
146,51,"[1089,0,0]","[20,10,50]","Kraityn's Thrall"
147,10,[718],[50],"Shadow Archer"
148,48,[718],[50],"Callow Thug"
149,49,"[1089,0,0]","[20,10,50]","Shadow Stalker"
150,55,"[1089,0,0]","[20,10,50]","Callow Thug"
151,327,[718],[100],"Stygian Ape"
152,340,[718],[25],"Stygian Silverback"
153,732,"[485,0]","[30,50]","Bramble Cobra"
154,2775,[718],[100],"Plummeting Ursa"
155,2777,[718],[100],"Plummeting Ursa"
156,3,[718],[50],"Merciless Killer"
157,722,"[485,0]","[30,50]","Night Adder"
158,793,[718],[50],"Ink Spinner"
159,2325,"[718,0]","[25,1]","Devourer"
160,29,"[2098,0]","[20,10]","Alira Darktongue"
161,47,"[1089,0,0]","[20,10,50]","Alira's Blood Guard"
162,1146,"[1089,0,0]","[30,15,50]","Blackguard Soldier"
163,1147,[],[],"Captain Arteri"
164,768,[485],[50],"The Weaver"
165,773,[718],[50],"Lurking Venom"
166,782,[718],[50],"Vaal Recluse"
167,786,[718],[50],"Leaping Spider"
168,807,[718],[100],"Hatchling"
169,257,[718],[75],"Ancient Construct"
170,262,[718],[75],"Vaal Construct"
171,669,[718],[50],"Vaal Fallen"
172,671,[718],[50],"Vaal Fallen"
173,692,[718],[50],"Vaal Arsonist"
174,725,[718],[50],"Serpentine Construct"
175,36,[718],[50],"Oak, Skullbreaker"
176,56,[718],[50],"Oak's Devoted"
177,910,"[483,0]","[80,50]","Boiling Ambusher"
178,3858,[718],[75],"Enraptured Crab"
179,3864,[718],[50],"Enraptured Crab"
180,118,[],[],"Thicket Hulk"
181,325,[718],[100],"Dread Primate"
182,741,"[485,0]","[30,50]","Glade Mamba"
183,117,[],[],"Shaggy Monstrosity"
184,132,[],[],"Armour Cruncher"
185,165,"[484,0]","[50,50]","Phantom Occultist"
186,261,[718],[75],"Ancient Construct"
187,528,[718],[50],"Frost Archmage"
188,545,[718],[50],"Flame Archmage"
189,558,[718],[50],"Thunder Archmage"
190,639,[718],[50],"Flame Guardian"
191,763,[718],[100],"Slimy Nemesis"
192,1361,[718],[25],"Ash Prophet"
193,1364,[718],[25],"Death Bishop"
194,2804,[],[],"Q'uru"
195,3558,[718],[50],"Howler"
196,634,"[1089,0,0]","[20,10,50]","Frost Champion"
197,642,"[1089,0,0]","[20,10,50]","Flame Champion"
198,663,"[1089,0,0,0]","[20,10,50,50]","Thunder Guardian"
199,143,[],[],"Vaal Oversoul"
200,1009,[718],[50],"Shambling Cadaver"
201,1011,[718],[50],"Shambling Cadaver"
202,1013,[718],[50],"Shambling Cadaver"
203,1143,"[1089,0,0]","[30,15,50]","Guard"
204,1144,[],[],"Guard Captain"
205,1388,[718],[50],"Flayed Warrior"
206,1390,[718],[50],"Restless Archer"
207,1746,[718],[50],"Undying Outcast"
208,1310,[482],[50],"Carrion Queen"
209,1404,"[485,0]","[30,50]","Spine Serpent"
210,1744,[],[],"Perpetus"
211,1356,[718],[25],"Cinder Elemental"
212,1358,[],[],"Hatebeat"
213,1396,[718],[50],"Incinerated Mage"
214,1651,[718],[50],"Undying Wretch"
215,1366,[718],[50],"Undying Incinerator"
216,1497,[718],[50],"Archer Statue"
217,1436,[718],[50],"Archer Statue"
218,1429,"[1089,0]","[20,10]","Marceus the Defaced"
219,1642,[718],[50],"Undying Worker"
220,1698,[718],[50],"Undying Untouchable"
221,1747,[718],[50],"Undying Impaler"
222,1399,[718],[50],"Bleak Aspirant"
223,1649,[718],[50],"Undying Cultist"
224,1700,[718],[50],"Undying Archivist"
225,1054,[],[],"Captain Aurelianus"
226,1057,"[1089,0,0]","[30,15,50]","Blackguard Mage"
227,1084,[718],[50],"Blackguard Elite"
228,1114,"[1089,0,0]","[30,15,50]","Blackguard Elite"
229,1122,"[1089,0,0]","[30,15,50]","Blackguard Scout"
230,1126,"[1089,0,0]","[30,15,50]","Blackguard Soldier"
231,1295,[718],[50],"Assault Ribbon"
232,1296,[718],[50],"Galvanic Ribbon"
233,1297,[718],[50],"Flame Sentinel"
234,1282,[],[],"The Infernal Seal"
235,1283,[],[],"The Voltaic Seal"
236,1284,[718],[50],"Galvanic Ribbon"
237,1286,[718],[50],"Flame Sentinel"
238,1292,[718],[50],"Assault Ribbon"
239,1279,[718],[50],"Banner of Passion"
240,1280,[718],[50],"Banner of Knowledge"
241,1281,[718],[50],"Banner of Action"
242,1627,"[483,0]","[80,50]","Holy Water"
243,1427,[],[],"The Goddess of Purity"
244,1347,[718],[50],"Voidbearer"
245,1350,[],[],"The Shipyard Terror"
246,1750,[718],[50],"Dockhand Wraith"
247,1751,[718],[50],"Dockhand Wraith"
248,1752,[718],[50],"Dockhand Wraith"
249,1756,[718],[50],"Brittle Longshoreman"
250,1757,[718],[50],"Brittle Corsair"
251,1247,[718],[50],"Fetid Maw"
252,1367,[718],[50],"Undying Alchemist"
253,1648,[718],[50],"Stinking Undying"
254,1699,[718],[50],"Stinking Undying"
255,1739,[718],[50],"Undying Grappler"
256,2721,[718],[50],"Soulless Watcher"
257,1058,"[2098,0,0]","[20,10,50]","Blackguard Arcmage"
258,1113,"[1089,0,0]","[20,10,50]","Blackguard Elite"
259,1119,[718],[50],"Mortality Experimenter"
260,1125,"[1089,0,0]","[20,10,50]","Blackguard Soldier"
261,1134,"[1089,0]","[30,15]","General Gravicius"
262,1055,[],[],"Fleshrend, Grand Inquisitor"
263,1120,[718],[50],"Reanimator"
264,1179,[],[],"Kole"
265,1187,[718],[50],"Piety's Miscreation"
266,1199,[718],[50],"Drenched Miscreation"
267,1202,[718],[50],"Burned Miscreation"
268,1204,[718],[50],"Shocked Miscreation"
269,1121,[718],[50],"Flesh Sculptor"
270,1149,[],[],"Piety"
271,1209,[],[],"Spinecrack"
272,1211,[718],[50],"Whipping Miscreation"
273,1228,"[482,0]","[50,50]","Tentacle Miscreation"
274,1597,[718],[50],"Blood Elemental"
275,1332,[718],[50],"Avian Retch"
276,1410,[718],[25],"Porcupine Goliath"
277,1426,[718],[25],"Thistlesage"
278,2339,[6946],[1],"The Conqueror Wurm"
279,3437,[718],[50],"Pale Blackguard"
280,408,[718],[50],"Bone Rhoa"
281,563,[718],[50],"Thunder Keeper"
282,623,[],[],"Colossal Bonestalker"
283,1647,[718],[50],"Undying Archivist"
284,532,[718],[50],"Frost Keeper"
285,1657,[],[],"Trinian, Intellectus Prime"
286,1258,[718],[50],"Plumed Chimeral"
287,1271,[718],[50],"Chimeric Croaker"
288,1652,[718],[50],"Undying Evangelist"
289,1661,[718],[50],"Undying Aristocrat"
290,1685,[718],[50],"Undying Evangelist"
291,1688,[718],[50],"Undying Aristocrat"
292,1694,[],[],"Caliga, Imperatrix"
293,817,[718],[50],"Brooding Tarantula"
