"rownum","i32","[i32]","i32","i32","i32","i32","i32","bool","i32","bool","bool","[rid]","i32","i32","i32","i32","i32","bool","bool","i32","bool","i32","i32","bool","bool","bool","i32","bool","bool","i32","row"
0,1,[2810],0,0,24,0,4,1,0,"","",[],1,0,4,0,0,"","",7,"",25,0,1,"","",0,"","",12,12
1,2,[2820],0,0,40,0,2,1,0,"","",[],1,0,4,0,0,"","",7,"",25,0,1,"","",0,"","",12,12
2,3,[2760],0,0,56,0,4,1,0,1,"",[],1,0,4,90,0,"","",7,"",110,-65,1,"","",0,"","",12,12
3,4,[2760],0,0,72,0,4,1,0,1,1,[],1,0,4,-90,0,"","",7,"",110,65,1,"","",0,"","",12,12
4,5,[2816],0,0,88,0,4,1,0,1,"",[],1,0,2,0,0,"","",7,"",18,0,"","","",0,"","",12,12
5,6,[2817],0,0,104,0,4,1,0,1,"",[],1,0,2,0,0,"","",7,"",18,0,"","","",0,"","",12,12
6,7,[2863],0,0,120,0,4,1,0,1,"",[],3,0,4,0,0,1,"",7,"",111,0,"","","",0,"","",12,12
7,8,[2908],0,0,136,0,4,1,0,1,"",[],1,0,4,0,0,"","",7,"",20,0,"","","",0,"","",12,12
8,9,[2919],0,0,152,0,4,1,0,1,"",[],1,0,2,0,0,1,"",7,"",15,0,"","","",0,"","",12,12
9,10,"[3129,0,0]",0,0,200,0,4,1,0,1,"",[],1,0,2,0,0,"","",7,"",55,0,"","","",0,"","",12,12
10,11,[3135],0,0,216,0,4,1,0,1,"",[],1,0,4,0,0,"","",7,"",110,0,"","","",0,"","",12,12
11,12,[3149],0,0,232,0,4,1,0,1,"",[],1,0,2,0,0,"","",7,"",27,0,"","","",0,"","",12,12
12,13,[3148],0,0,248,0,4,1,0,1,"",[],1,0,2,0,0,"","",7,"",10,0,"","","",0,"","",12,12
13,14,[3153],0,0,264,0,4,1,0,"","",[],1,0,4,0,0,"","",7,"",25,0,1,"","",0,"","",12,12
14,15,[3154],0,0,280,0,4,1,0,1,"",[],3,0,4,0,0,1,"",7,"",111,0,"","","",0,"","",12,12
15,16,[3184],0,0,296,0,2,1,0,"","",[],1,0,2,180,0,"","",7,"",25,0,"","","",0,"","",12,12
16,17,[3257],0,0,312,0,4,1,0,1,"",[],4,11,4,0,0,"","",7,"",20,0,"","","",0,"","",12,12
17,18,[3079],0,0,328,0,4,1,0,1,"",[],1,0,2,0,0,"","",7,"",37,0,"","","",0,"","",12,12
18,19,[3292],0,0,344,0,4,1,0,1,"",[],1,0,2,0,0,"","",7,"",37,0,"","","",0,"","",12,12
19,20,[3493],0,0,360,0,4,1,0,1,"",[],4,11,4,0,0,"","",7,"",110,0,"","","",0,"","",12,12
20,21,[3492],0,0,376,0,2,1,0,"","",[],1,0,2,0,0,"","",7,"",27,0,1,"","",0,"","",12,12
21,22,[3516],0,0,392,0,3,1,0,1,"",[],3,0,4,0,0,1,"",7,"",111,0,"","","",0,"","",12,12
22,23,[3527],0,0,408,0,3,1,0,1,"",[],1,0,2,0,0,1,"",7,"",18,0,"","","",5500,"","",12,12
23,24,[3653],0,0,424,0,4,1,0,1,"",[],1,0,4,0,0,1,"",7,"",14,0,"","","",0,"","",12,12
24,25,"[3699,0,0]",0,0,472,0,4,1,0,1,"",[],1,0,2,0,0,"","",7,"",55,0,"","","",0,"","",12,12
25,26,"[3703,0,0]",0,0,520,0,4,1,0,"","",[],1,0,2,0,0,"","",7,"",40,0,"","","",0,"","",12,12
26,27,[3803],0,0,536,0,4,1,0,1,"",[],1,0,2,0,0,1,"",7,"",27,0,"","","",5500,"","",12,12
27,28,[3841],0,0,552,0,3,1,0,1,"",[],3,0,2,0,0,1,"",7,"",60,0,"","",1,0,"","",12,12
28,29,[3813],0,0,568,0,4,1,0,1,"",[],1,0,7,0,0,1,"",7,"",11,0,"","","",0,"","",12,12
29,30,[4118],0,0,584,0,2,1,0,1,"",[],3,0,2,0,0,"","",7,"",23,0,"","",1,0,"",1,12,12
30,31,[4295],0,0,600,0,3,1,0,1,1,[],3,0,4,-10,0,"","",7,"",30,0,"","",1,0,"",1,12,12
31,32,[4186],0,0,616,0,3,1,0,1,"",[],3,0,4,10,0,"","",7,"",30,0,"","",1,0,"",1,12,12
32,33,[4286],0,0,632,0,2,1,0,1,"",[],1,0,7,0,0,"","",7,"",12,0,1,"","",0,"",1,12,12
33,34,[4328],0,0,648,0,4,1,0,"","",[],1,0,5,0,0,"","",7,"",37,0,"","","",0,"","",12,12
34,35,[4752],0,0,664,0,2,1,0,1,"",[],1,0,7,0,0,"","",7,"",12,0,1,"","",0,"",1,12,12
35,36,[4738],0,0,680,0,4,1,0,1,"",[],1,0,7,0,0,1,"",7,"",28,0,"","",1,0,"",1,12,12
36,37,[4779],0,0,696,0,4,1,0,"","",[],1,0,2,0,0,"","",7,"",20,0,"","","",0,"",1,12,12
37,38,[4859],0,0,712,0,3,1,0,1,"",[],1,0,7,0,0,1,"",7,"",20,0,"","","",0,"",1,12,12
38,39,[4921],0,0,728,0,4,1,0,1,"",[],1,0,7,0,0,"","",7,"",20,0,"","",1,0,"",1,12,12
39,40,[5010],0,0,744,0,4,1,0,1,"",[],1,0,7,0,0,"","",7,"",20,0,"","",1,0,"",1,12,12
40,41,[5011],0,0,760,0,4,1,0,1,"",[],1,0,7,0,0,"","",7,"",20,0,"","",1,0,"",1,12,12
41,42,[4974],0,0,776,0,4,1,0,1,"",[],1,0,7,0,0,"","",7,"",20,0,"","",1,0,"",1,12,12
42,43,[4975],0,0,792,0,4,1,0,1,"",[],1,0,7,0,0,"","",7,"",12,0,"","",1,0,"",1,12,12
43,44,[5103],0,0,808,0,4,1,0,1,"",[],1,0,7,0,0,1,"",7,1,15,0,"","","",0,"",1,12,12
44,45,[5140],0,0,824,0,2,1,0,1,"",[],1,0,4,180,0,1,"",7,1,85,0,"","",1,0,1,1,12,12
45,46,[5138],0,0,840,0,3,1,0,"","",[],4,0,2,0,0,"","",7,"",35,0,"","",1,0,1,1,12,12
46,47,[5083],0,0,856,0,3,1,0,1,"",[],3,0,4,0,0,1,"",7,1,161,0,"","",1,0,1,1,12,12
47,48,[5331],0,0,872,0,4,1,0,1,"",[],3,0,12,0,0,"","",7,"",130,0,"","","",0,"",1,4,11
