"rownum","ScarabType","Tier","BaseItemTypesKey"
0,0,1,7338
1,0,2,7339
2,0,3,7340
3,0,4,7341
4,1,1,7326
5,1,2,7327
6,1,3,7328
7,1,4,7329
8,2,1,7330
9,2,2,7331
10,2,3,7332
11,2,4,7333
12,3,1,7334
13,3,2,7335
14,3,3,7336
15,3,4,7337
16,4,1,7346
17,4,2,7347
18,4,3,7348
19,4,4,7349
20,5,1,7350
21,5,2,7351
22,5,3,7352
23,5,4,7353
24,6,1,7358
25,6,2,7359
26,6,3,7360
27,6,4,7361
28,7,1,7362
29,7,2,7363
30,7,3,7364
31,7,4,7365
32,8,1,7366
33,8,2,7367
34,8,3,7368
35,8,4,7369
36,9,1,7370
37,9,2,7371
38,9,3,7372
39,9,4,7373
40,10,1,7374
41,10,2,7375
42,10,3,7376
43,10,4,7377
44,11,1,7378
45,11,2,7379
46,11,3,7380
47,11,4,7381
48,12,1,7382
49,12,2,7383
50,12,3,7384
51,12,4,7385
52,13,1,7354
53,13,2,7355
54,13,3,7356
55,13,4,7357
56,14,1,7386
57,14,2,7387
58,14,3,7388
59,14,4,7389
60,15,1,7390
61,15,2,7391
62,15,3,7392
63,15,4,7393
