"rownum","SetId","AchievementsRequired","Rewards","TotemPieceEveryNAchievements","Message","NotificationIcon","HideoutName"
0,8,1,[497],0,"","",""
1,8,2,[496],0,"","",""
2,8,3,[498],0,"","",""
3,8,4,[499],0,"","",""
4,9,1,[509],0,"","",""
5,9,2,[508],0,"","",""
6,9,3,[510],0,"","",""
7,9,4,[511],0,"","",""
8,7,1,[6116],0,"","",""
9,10,1,[6118],0,"","",""
10,11,5,[501],0,"","",""
11,11,10,[502],0,"","",""
12,11,15,[500],0,"","",""
13,11,20,[503],0,"","",""
14,12,7,[646],0,"","",""
15,12,14,[647],0,"","",""
16,12,21,[648],0,"","",""
17,12,28,[645],0,"","",""
18,12,18,[6120],2,"","",""
19,13,12,[681],0,"","",""
20,13,24,[682],0,"","",""
21,13,36,[683],0,"","",""
22,13,19,[6122],3,"","",""
23,14,12,[704],0,"","",""
24,14,24,[705],0,"","",""
25,14,36,[3292],0,"","",""
26,14,19,[6124],3,"","",""
27,15,12,[772],0,"","",""
28,15,24,[770],0,"","",""
29,15,36,[771],0,"","",""
30,15,19,[6126],3,"","",""
31,16,12,[829],0,"","",""
32,16,24,[810],0,"","",""
33,16,36,[800],0,"","",""
34,16,19,[6128],3,"","",""
35,17,12,[887],0,"","",""
36,17,24,[893],0,"","",""
37,17,36,[842],0,"","",""
38,17,19,[6130],3,"","",""
39,18,12,[993],0,"","",""
40,18,24,"[994,995]",0,"","",""
41,18,36,[996],0,"","",""
42,18,19,[6132],3,"","",""
43,19,12,[1193],0,"","",""
44,19,24,[1069],0,"","",""
45,19,36,[1196],0,"","",""
46,19,19,[6134],3,"","",""
47,20,12,[1574],0,"","",""
48,20,24,[1554],0,"","",""
49,20,36,[1575],0,"","",""
50,20,19,[6136],3,"","",""
51,21,1,[],0,"","",""
52,22,12,[1611],0,"","",""
53,22,24,[1613],0,"","",""
54,22,36,[1614],0,"","",""
55,22,19,[6138],3,"","",""
56,23,1,[],0,"","",""
57,24,12,[3356],0,"","",""
58,24,24,[1787],0,"","",""
59,24,36,[1777],0,"","",""
60,24,19,[6140],3,"","",""
61,25,12,[1843],0,"","",""
62,25,24,[1844],0,"","",""
63,25,36,[1845],0,"","",""
64,25,19,[6142],3,"","",""
65,26,12,"[2026,2027]",0,"","",""
66,26,24,[3370],0,"","",""
67,26,36,[2028],0,"","",""
68,26,19,[6144],3,"","",""
69,27,1,[],0,"","",""
70,28,12,[2212],0,"Earned Monolith Crown Microtransaction!","",""
71,28,24,[2213],0,"Earned Monolith Aura Effect Microtransaction!","",""
72,28,36,[2214],0,"Earned Monolith Wings Microtransaction!","",""
73,28,19,[6146],3,"Earned Legion Totem!\nThe more challenges you complete, the bigger it gets!","",""
74,29,12,[2301],0,"Earned Blight Helmet Microtransaction!","",""
75,29,24,[2302],0,"Earned Blight Portal Effect Microtransaction!","",""
76,29,36,[2303],0,"Earned Blight Wings Microtransaction!","",""
77,29,19,[6148],3,"Earned Blight Totem!\nThe more challenges you complete, the bigger it gets!","",""
78,30,12,[2430],0,"Earned Metamorph Footprints Effect Microtransaction!","",""
79,30,24,[2431],0,"Earned Metamorph Weapon Effect Microtransaction!","",""
80,30,36,[2432],0,"Earned Metamorph Portal Effect Microtransaction!","",""
81,30,19,[6150],0,"Earned Metamorph Totem!\nThe more challenges you complete, the bigger it gets!","",""
82,31,12,[2543],0,"Earned Delirium Horn Microtransaction!","",""
83,31,24,[2544],0,"Earned Delirium Cloak Microtransaction!","",""
84,31,36,[2545],0,"Earned Delirium Wings Microtransaction!","",""
85,31,19,[6152],3,"Earned Delirium Totem!\nThe more challenges you complete, the bigger it gets!","",""
86,32,12,[2705],0,"Earned Harvest Footprints Effect Microtransaction!","",""
87,32,24,[2706],0,"Earned Harvest Cloak Microtransaction!","",""
88,32,36,[2707],0,"Earned Harvest Portal Effect Microtransaction!","",""
89,32,19,[6154],3,"Earned Harvest Totem!\nThe more challenges you complete, the bigger it gets!","",""
90,33,12,"[2809,2810,2811]",0,"Earned Heist Helmet Pack!","Art/2DItems/Effects/Hats/HeistHelmetPack.dds",""
91,33,24,[3449],0,"Earned Heist Cat Pet Microtransaction!","",""
92,33,36,[2812],0,"Earned Heist Portal Effect Microtransaction!","",""
93,33,19,[6156],3,"Earned Heist Totem!\nThe more challenges you complete, the bigger it gets!","",""
94,34,1,[],0,"","",""
95,35,1,[],0,"","",""
96,36,1,[],0,"","",""
97,37,12,[3013],0,"Congratulations!\nYou earned the Ritual Weapon Effect!","",""
98,37,24,[3014],0,"Congratulations!\nYou earned the Ritual Character Effect!","",""
99,37,36,[],0,"Congratulations!\nYou earned the Ritualist's Hideout!","Art/2DItems/Hideout/RitualHideout.dds","Ritualist's Hideout"
100,37,19,[6158],3,"Congratulations! You earned the Ritual Totem!\nThe more challenges you complete, the bigger it gets!","",""
101,38,12,[3093],0,"Congratulations!\nYou earned the Ultimatum Helmet Skin!","",""
102,38,24,[3478],0,"Congratulations!\nYou earned the Ultimatum Pet!","",""
103,38,36,[3094],0,"Congratulations!\nYou earned the Ultimatum Portal Effect!","",""
104,38,19,[6160],3,"Congratulations! You earned the Ultimatum Totem!\nThe more challenges you complete, the bigger it gets!","",""
