"rownum","Id","i32","f32","rid","rid","rid"
0,"Fire",4,24,3609,158,""
1,"Ice",4,0,6228,159,""
2,"CausticCloud",8,5,4610,464,""
3,"Tar",4,0,4961,160,""
4,"Smoke",8,0,12423,223,""
5,"Desecration",4,24,2193,197,""
6,"Consecration",10,0,8716,198,1238
7,"Lightning",6,0,10321,222,""
8,"Maelstorm",4,4,4854,691,""
9,"Haste",4,0,"",777,""
10,"Sandstorm",0,24,"",867,""
11,"Blizzard",4,0,"",796,""
12,"Spores",4,24,7325,445,""
13,"DevouringDarkness",4,24,"",836,""
14,"Quicksand",0,24,7969,915,""
15,"Blood",0,24,"",1114,""
16,"TemporalAnomaly",10,0,10121,1001,1394
17,"OrionMeteor",0,0,"",1420,222
18,"CrownOfThorns",4,24,"",1564,""
19,"VaalCloud",4,24,"",296,""
20,"Profane",10,0,"",1536,""
21,"ChaosOfferingOfJudgement",6,24,"",490,513
22,"FireOfferingOfJudgement",6,24,"",489,513
23,"DespairBearGeyser",0,24,"",860,""
24,"Fungal",0,0,"",1384,1386
25,"BestiarySpiderWeb",0,24,"",1031,""
26,"VaalColdSnap",4,24,7911,1110,""
27,"Oil",4,24,"",1620,1621
28,"Scorch",4,0,"",1713,""
29,"GravityWell",0,24,"",1751,""
30,"LightningVortex",4,4,13995,1777,222
