"rownum","Id","SmallWorldAreasKey","i32","HideoutFile","[rid]","LargeWorldAreasKey","HideoutImage","bool","rid","i32","bool","string","[i32]","bool"
0,"HideoutForest",1513,65379,"Metadata/Terrain/Missions/Hideouts/Forest/decoration.hideout",[34],1512,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/LushHideout",1,10000,0,"","Lush Hideout",[],""
1,"HideoutArch",1493,2401,"Metadata/Terrain/Missions/Hideouts/Archaeological/decoration.hideout",[1222],1494,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/TrenchHideout",1,33,0,1,"Robber's Trench Hideout",[],""
2,"HideoutBattleground",1541,28470,"Metadata/Terrain/Missions/Hideouts/Battleground/decoration.hideout",[1184],1542,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BattlescarredHideout",1,200,0,1,"Battle-scarred Hideout",[],""
3,"HideoutBeach",1537,33485,"Metadata/Terrain/Missions/Hideouts/Beach/decoration.hideout",[1125],1538,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CoastalHideout",1,200,0,1,"Coastal Hideout",[],""
4,"HideoutLibrary",1543,8897,"Metadata/Terrain/Missions/Hideouts/Library/decoration.hideout",[1121],1544,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/EnlightenedHideout",1,200,0,1,"Enlightened Hideout",[],""
5,"HideoutGardens",1547,62863,"Metadata/Terrain/Missions/Hideouts/Gardens/decoration.hideout",[1183],1548,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/OvergrownHideout",1,100,0,1,"Overgrown Hideout",[],""
6,"HideoutSolaris",1545,13485,"Metadata/Terrain/Missions/Hideouts/Solaris/decoration.hideout",[1114],1546,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ImmaculateHideout",1,200,0,1,"Immaculate Hideout",[],""
7,"HideoutFellshrine",1539,45200,"Metadata/Terrain/Missions/Hideouts/Fellshrine/decoration.hideout",[1076],1540,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/UnearthedHideout",1,200,0,1,"Unearthed Hideout",[],""
8,"HideoutSlum",1535,62635,"Metadata/Terrain/Missions/Hideouts/Slums/decoration.hideout",[1093],1536,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BackstreetHideout",1,200,0,1,"Backstreet Hideout",[],""
9,"HideoutSewer",1515,29226,"Metadata/Terrain/Missions/Hideouts/Sewers/decoration.hideout",[48],1514,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/UndercityHideout",1,10000,0,"","Undercity Hideout",[],""
10,"HideoutMine",1519,55535,"Metadata/Terrain/Missions/Hideouts/Mine/decoration.hideout",[62],1518,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ExcavatedHideout",1,10000,0,"","Excavated Hideout",[],""
11,"HideoutCourts",1505,31968,"Metadata/Terrain/Missions/Hideouts/Courts/decoration.hideout","[74,75]",1506,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/StatelyHideout",1,10000,0,"","Stately Hideout",[],""
12,"HideoutCoral",1496,18035,"Metadata/Terrain/Missions/Hideouts/Coral/decoration.hideout",[96],1495,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CoralHideout",1,10000,0,"","Coral Hideout",[],""
13,"HideoutRuinedTemple",1521,6122,"Metadata/Terrain/Missions/Hideouts/RuinedTemple/decoration.hideout",[105],1520,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BalefulHideout",1,10000,0,"","Baleful Hideout",[],""
14,"HideoutOasis",1523,750,"Metadata/Terrain/Missions/Hideouts/Oasis/decoration.hideout",[136],1522,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DesertHideout",1,10000,0,"","Desert Hideout",[],""
15,"HideoutOssuary",1503,61235,"Metadata/Terrain/Missions/Hideouts/Ossuary/decoration.hideout",[153],1504,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/SkeletalHideout",1,10000,0,"","Skeletal Hideout",[],""
16,"HideoutBaths",1501,55372,"Metadata/Terrain/Missions/Hideouts/Baths/decoration.hideout",[121],1502,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/LuxuriousHideout",1,10000,0,"","Luxurious Hideout",[],""
17,"HideoutTemplarLab",1534,55414,"Metadata/Terrain/Missions/Hideouts/TemplarLab/decoration.hideout",[155],0,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CartographyHideout",1,0,0,1,"Cartographer's Hideout",[],""
18,"HideoutPillarsOfArun",1524,65044,"Metadata/Terrain/Missions/Hideouts/PillarsOfArun/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ToweringHideout",1,0,0,1,"Towering Hideout",[],""
19,"HideoutAtziriArena",1525,34352,"Metadata/Terrain/Missions/Hideouts/ArenaAtziri/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CorruptedHideout",1,0,0,1,"Corrupted Hideout",[],""
20,"HideoutInnocenceArena",1526,45610,"Metadata/Terrain/Missions/Hideouts/ArenaInnocence/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/InnocentHideout",1,0,0,1,"Innocent Hideout",[],""
21,"HideoutShaperArena",1527,41490,"Metadata/Terrain/Missions/Hideouts/ArenaShaper/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ShaperHideout",1,0,0,1,"Shaped Hideout",[],""
22,"HideoutKaomArena",1528,26625,"Metadata/Terrain/Missions/Hideouts/ArenaKaom/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/FuriousHideout",1,0,0,1,"Furious Hideout",[],""
23,"HideoutDaressoArena",1529,49908,"Metadata/Terrain/Missions/Hideouts/ArenaDaresso/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ChampionsHideout",1,0,0,1,"Champion's Hideout",[],""
24,"HideoutDominusArena",1530,52081,"Metadata/Terrain/Missions/Hideouts/ArenaDominus/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/IndomitableHideout",1,0,0,1,"Indomitable Hideout",[],""
25,"HideoutPietyArena",1531,41981,"Metadata/Terrain/Missions/Hideouts/ArenaPiety/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/MorbidHideout",1,0,0,1,"Morbid Hideout",[],""
26,"HideoutLunarisSolarisArena",1532,37028,"Metadata/Terrain/Missions/Hideouts/ArenaSolarisLunaris/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/EclipsedHideout",1,0,0,1,"Eclipsed Hideout","[8,9]",""
27,"HideoutKitavaArenaAct10",1533,36378,"Metadata/Terrain/Missions/Hideouts/ArenaKitavaAct10/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/RavenousHideout",1,0,0,1,"Ravenous Hideout",[],""
28,"HideoutSunken",1507,18782,"Metadata/Terrain/Missions/Hideouts/Causeway/decoration.hideout",[1226],1508,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/SunkenCityHideout",1,33,0,1,"Sunken Hideout",[],""
29,"HideoutShapersRealm",1497,34604,"Metadata/Terrain/Missions/Hideouts/Shaper/decoration.hideout",[1233],0,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ShapersRealmHideout",1,0,0,1,"Celestial Hideout",[],""
30,"HideoutTwilightTemple",1553,50158,"Metadata/Terrain/Missions/Hideouts/TwilightTemple/decoration.hideout",[1160],1554,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/TwilightTempleHideout",1,2500,0,1,"Divided Hideout",[],""
31,"HideoutHighGardens",1509,61074,"Metadata/Terrain/Missions/Hideouts/HighGardens/decoration.hideout",[1212],1510,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/HighGardensHideout",1,33,0,1,"Arboreal Hideout",[],""
32,"HideoutHauntedMansion",1557,23230,"Metadata/Terrain/Missions/Hideouts/HauntedMansion/decoration.hideout",[1108],1558,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/HauntedHideout",1,33,0,1,"Haunted Hideout",[],""
33,"HideoutPrisonTower",1499,38628,"Metadata/Terrain/Missions/Hideouts/PrisonTower/decoration.hideout",[1162],1500,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/PrisonTowerHideout",1,100,0,1,"Brutal Hideout",[],""
34,"HideoutCrimsonTemple",1551,39182,"Metadata/Terrain/Missions/Hideouts/CrimsonTemple/decoration.hideout",[1220],1552,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CrimsonTempleHideout",1,33,0,1,"Sanguine Hideout",[],""
35,"HideoutIceberg",1549,64285,"Metadata/Terrain/Missions/Hideouts/Glacier/decoration.hideout",[1084],1550,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/IcebergHideout",1,100,0,1,"Glacial Hideout",[],""
36,"HideoutMountain",1555,9587,"Metadata/Terrain/Missions/Hideouts/Mountain/decoration.hideout",[1197],1556,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/MountainHideout",1,100,0,1,"Alpine Hideout",[],""
37,"HideoutDoomguard",1563,54370,"Metadata/Terrain/Missions/Hideouts/Doomguard/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DoomguardHideout",1,0,0,1,"Doomguard Hideout",[],""
38,"HideoutSunspire",1564,37893,"Metadata/Terrain/Missions/Hideouts/Sunspire/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/SunspireHideout",1,0,0,1,"Sunspire Hideout",[],""
