"rownum","rid","rid","[rid]"
0,1457,1458,[]
1,1459,1460,[]
2,1461,1462,[]
3,1463,1464,[]
4,1468,1469,[]
5,1470,1471,[]
6,1472,1473,[]
7,1517,1518,[]
8,1519,1520,[]
9,1521,1522,[]
10,1523,1524,[]
11,1525,1526,[]
12,1527,1528,[]
13,1529,1530,[]
14,1531,1532,[]
15,1533,1534,[]
16,3531,3532,[]
17,3533,3534,[]
18,3535,3536,[]
19,3537,3538,[]
20,1489,1490,[]
21,1491,1492,[]
22,1493,1494,[]
23,1558,1559,[]
24,1560,1561,[]
25,1562,1563,[]
26,268,269,[]
27,271,272,[]
28,273,274,[]
29,296,297,[]
30,298,299,[]
31,304,305,[]
32,306,307,[]
33,308,309,[]
34,316,317,[]
35,318,317,[]
36,319,317,[]
37,320,317,[]
38,773,775,[]
39,1410,1411,[]
40,1412,1413,[]
41,1414,1415,[]
42,1416,1417,[]
43,1418,1419,[]
44,1420,1421,[]
45,1422,1423,[]
46,1424,1425,[]
47,2775,2777,[]
48,2780,2782,[]
49,2793,2795,[]
50,2783,2788,[]
51,2787,2788,[]
52,2800,2801,[]
53,2796,2801,[]
54,5461,5463,[]
55,5467,5471,[]
56,5468,5471,[]
57,5472,5475,[]
58,5473,5475,[]
59,5476,5477,[]
60,5479,5480,[]
61,5481,5482,[]
62,5483,5484,[]
63,5486,5487,[]
64,5491,5492,[]
65,5494,5495,[]
66,6074,5471,[]
67,6076,5471,[]
68,6078,5471,[]
69,6080,5471,[]
70,6082,5471,[]
71,6075,5475,[]
72,6077,5475,[]
73,6079,5475,[]
74,6081,5475,[]
75,6083,5475,[]
76,6084,5477,[]
77,6085,5482,[]
78,6086,5495,[]
79,6088,5480,[]
80,6089,6090,[]
81,6091,6090,[]
82,6092,6093,[]
83,6094,6093,[]
84,6095,6096,[]
85,6097,6096,[]
86,6115,6116,[]
87,6120,6121,[]
88,6124,6121,[]
89,6122,6123,[]
90,6125,6123,[]
91,6126,6127,[]
92,6128,6127,[]
93,6132,6133,[]
94,6134,6133,[]
95,6137,6138,[]
96,6141,6138,[]
97,6139,6140,[]
98,6142,6140,[]
99,6145,6146,[]
100,6149,6146,[]
101,6147,6148,[]
102,6150,6148,[]
103,6154,6155,[]
104,6158,6155,[]
105,6156,6157,[]
106,6159,6157,[]
107,6161,6162,[]
108,6165,6162,[]
109,6167,6162,[]
110,6163,6164,[]
111,6166,6164,[]
112,6172,6164,[]
113,6168,6169,[]
114,6170,6171,[]
115,6173,568,[]
116,6174,3560,[]
117,6175,3568,[]
118,6176,3574,[]
119,6179,5280,[]
120,6180,5281,[]
121,6181,408,[]
122,6182,408,[]
123,6183,408,[]
124,6184,408,[]
125,6185,408,[]
126,6186,6190,[]
127,6187,6190,[]
128,6188,6190,[]
129,6189,6190,[]
130,6191,6193,[]
131,6195,119,[]
132,6200,3621,[]
133,6201,5484,[]
134,6204,5487,[]
135,6205,115,[]
136,6206,783,[]
137,6207,1319,[]
138,6210,2721,[]
139,6228,5908,[]
140,6229,5910,[]
141,6230,5912,[]
142,6231,5914,[]
143,6232,5916,[]
144,6233,5918,[]
145,6234,5920,[]
146,6235,5922,[]
147,6236,5924,[]
148,6237,5926,[]
149,6238,5928,[]
150,6239,5930,[]
151,6240,5932,[]
152,6241,5934,[]
153,6242,5936,[]
154,6243,5938,[]
155,6244,6020,[]
156,6245,6024,[]
157,6246,6028,[]
158,6247,6032,[]
159,6248,6036,[]
160,6249,6040,[]
161,6250,6044,[]
162,6257,368,[]
163,6261,6262,[]
164,6263,6264,[]
165,6281,6284,[]
166,6282,6284,[]
167,6283,6284,[]
168,6285,6288,[]
169,6286,6288,[]
170,6287,6288,[]
171,6289,6292,[]
172,6290,6292,[]
173,6291,6292,[]
174,6293,6296,[]
175,6294,6296,[]
176,6295,6296,[]
177,6297,6300,[]
178,6298,6300,[]
179,6299,6300,[]
180,6301,6304,[]
181,6302,6304,[]
182,6303,6304,[]
183,6338,6339,[]
184,6409,6414,[]
185,6410,6414,[]
186,6411,6414,[]
187,6412,6414,[]
188,6413,6414,[]
189,6415,6417,[]
190,6416,6417,[]
191,6422,6434,[]
192,6423,6434,[]
193,6424,6434,[]
194,6425,6434,[]
195,6426,6434,[]
196,6427,6434,[]
197,6428,6434,[]
198,6429,6434,[]
199,6430,6434,[]
200,6431,6434,[]
201,6432,6434,[]
202,6433,6434,[]
203,6435,6446,[]
204,6436,6446,[]
205,6437,6446,[]
206,6438,6446,[]
207,6439,6446,[]
208,6440,6446,[]
209,6441,6446,[]
210,6442,6446,[]
211,6443,6446,[]
212,6444,6446,[]
213,6445,6446,[]
214,6448,6449,[]
215,6455,6456,[]
216,6457,6458,[]
217,6459,6460,[]
218,6461,6463,[]
219,6470,6471,[]
220,6472,6473,[]
221,6475,6476,[]
222,6477,6478,[]
223,6497,6499,[]
224,6498,6499,[]
225,6509,6499,[]
226,6500,6502,[]
227,6501,6502,[]
228,6503,6505,[]
229,6504,6505,[]
230,6506,6508,[]
231,6507,6508,[]
232,6539,6541,[]
233,6540,6541,[]
234,6542,6543,[]
235,6544,6545,[]
236,6546,6547,[]
237,6637,6547,[]
238,6548,6549,[]
239,6638,6549,[]
240,6550,6551,[]
241,6639,6551,[]
242,6552,6553,[]
243,6640,6553,[]
244,6554,6555,[]
245,6556,6557,[]
246,6558,6559,[]
247,6641,6559,[]
248,6560,6561,[]
249,6630,6561,[]
250,6562,6563,[]
251,6631,6563,[]
252,6564,6565,[]
253,6632,6565,[]
254,6566,6568,[]
255,6567,6568,[]
256,6569,6571,[]
257,6570,6571,[]
258,6572,6573,[]
259,6633,6573,[]
260,6574,6575,[]
261,6634,6575,[]
262,6576,6577,[]
263,6635,6577,[]
264,6578,6579,[]
265,6636,6579,[]
266,6598,6600,[]
267,6599,6600,[]
268,6647,6649,[]
269,6648,6649,[]
270,6650,6652,[]
271,6651,6652,[]
272,6653,6655,[]
273,6654,6655,[]
274,6663,6673,[]
275,6664,6673,[]
276,6665,6673,[]
277,6666,6673,[]
278,6668,6673,[]
279,6669,6673,[]
280,6670,6673,[]
281,6671,6673,[]
282,6667,6674,[]
283,6672,6674,[]
284,6675,6676,[]
285,6680,6676,[]
286,6677,6678,[]
287,6681,6678,[]
288,6683,6684,[]
289,6685,6686,[]
290,6690,6692,[]
291,6691,6692,[]
292,6693,6694,[]
293,6697,6694,[]
294,6695,6696,[]
295,6698,6696,[]
296,6699,6700,[]
297,6701,6702,[]
298,6708,6709,[]
299,6712,6709,[]
300,6716,6717,[]
301,6721,6717,[]
302,6718,6719,[]
303,6722,6719,[]
304,6723,6724,[]
305,6725,6726,[]
306,6731,6737,[]
307,6734,6737,[]
308,6732,6738,[]
309,6735,6738,[]
310,6733,6739,[]
311,6736,6739,[]
312,6740,6744,[]
313,6742,6744,[]
314,6741,6745,[]
315,6743,6745,[]
316,6746,6747,[]
317,6748,6749,[]
318,6752,6758,[]
319,6755,6758,[]
320,6753,6759,[]
321,6756,6759,[]
322,6754,6760,[]
323,6757,6760,[]
324,6761,6763,[]
325,6762,6763,[]
326,6764,6766,[]
327,6765,6766,[]
328,6767,6768,[]
329,6770,6768,[]
330,6772,6773,[]
331,6774,6775,[]
332,7188,7195,[]
333,7189,7196,[]
334,7190,7197,[]
335,7191,7198,[]
336,7192,7199,[]
337,7193,7200,[]
338,7194,7201,[]
339,7210,7220,[]
340,7211,7221,[]
341,7212,7222,[]
342,7213,7223,[]
343,7214,7224,[]
344,7216,7225,[]
345,7234,7245,[]
346,7235,7246,[]
347,7236,7247,[]
348,7237,7248,[]
349,7241,7249,[]
350,7242,7250,[]
351,7243,7251,[]
352,7244,7252,[]
353,7258,7272,[]
354,7259,7273,[]
355,7260,7274,[]
356,7261,7275,[]
357,7262,7274,[]
358,7263,7275,[]
359,7264,7274,[]
360,7265,7275,[]
361,7266,7276,[]
362,7267,7277,[]
363,7268,7278,[]
364,7269,7279,[]
365,7270,7280,[]
366,7271,7281,[]
367,5169,5171,[]
368,5170,5171,[]
369,5172,5176,[]
370,5173,5176,[]
371,5174,5176,[]
372,5175,5176,[]
373,4678,4684,[]
374,4679,4684,[]
375,4680,4684,[]
376,4681,4684,[]
377,4682,4684,[]
378,4683,4684,[]
379,4686,4688,[]
380,4687,4688,[]
381,4691,4693,[]
382,4692,4693,[]
383,4696,4699,[]
384,4697,4699,[]
385,4698,4699,[]
386,4700,4708,[]
387,4701,4708,[]
388,4702,4708,[]
389,4703,4708,[]
390,4704,4708,[]
391,4705,4708,[]
392,4710,4712,[]
393,4711,4712,[]
394,4713,4715,[]
395,4714,4715,[]
396,4717,4720,[]
397,4718,4720,[]
398,4719,4720,[]
399,4726,4729,[]
400,4727,4729,[]
401,4728,4729,[]
402,4721,4724,[]
403,4722,4724,[]
404,4723,4724,[]
405,4730,4724,[]
406,4731,4724,[]
407,4732,4724,[]
408,4735,4737,[]
409,4736,4737,[]
410,4738,4740,[]
411,4739,4740,[]
412,4742,4744,[]
413,4743,4744,[]
414,4745,4747,[]
415,4746,4747,[]
416,4315,4316,[]
417,4317,4318,[]
418,4319,4320,[]
419,6450,6453,[]
420,6452,6453,[]
421,6451,6453,[]
422,7468,7469,[]
423,7470,7471,[]
424,7473,7474,[]
425,7475,7476,[]
426,7477,7478,[]
427,7479,7480,[]
428,7481,7482,[]
429,7483,7484,[]
430,7485,7486,[]
431,7487,7488,[]
432,7489,7490,[]
433,7491,7492,[]
434,7493,7494,[]
435,7495,7496,[]
436,7497,7498,[]
437,7500,7501,[]
438,7502,7503,[]
439,7505,7506,[]
440,7507,7508,[]
441,7509,7510,[]
442,7511,7512,[]
443,7513,7514,[]
444,7515,7516,[]
445,7517,7518,[]
446,7519,7520,[]
447,7522,7523,[]
