"rownum","MonsterVarietiesKey","LegionFactionsKey","rid","i32","[rid]","i32","i32","[i32]","[i32]","[i32]","[i32]","[i32]","[i32]","i32","i32","[rid]","rid"
0,6663,0,0,0,[3053],10,2,[100],[200],[0],[440],[600],[60],15,50,[1],""
1,6664,0,0,0,[3054],10,2,[100],[200],[0],[580],[650],[60],15,50,[1],""
2,6665,0,0,0,[3053],10,2,[100],[200],[0],[440],[600],[60],15,50,[1],""
3,6666,0,0,0,[3054],10,2,[100],[200],[0],[550],[580],[60],15,50,[1],""
4,6667,0,0,0,[],0,2,[],[],[],[],[],[],15,50,[],""
5,6675,0,1,0,[3053],10,1,[100],[200],[0],[440],[600],[60],15,50,[1],""
6,6677,0,1,1,[3057],10,1,[10],[20],[0],[130],[300],[60],15,50,[1],""
7,6679,0,1,0,[],0,1,[],[],[],[],[],[],15,120,[],""
8,6683,0,2,0,[],0,1,[],[],[],[],[],[],15,50,[],""
9,6685,0,2,2,[],0,1,[],[],[],[],[],[],15,50,[],""
10,6689,0,3,3,[],0,1,[],[],[],[],[],[],15,50,[],""
11,6690,2,0,0,[3058],10,1,[100],[200],[0],[900],[1010],[60],15,60,[1],""
12,6693,2,1,1,[3061],10,1,[130],[200],[0],[170],[550],[75],15,60,[1],""
13,6695,2,1,0,[3060],10,1,[100],[200],[0],[580],[650],[50],15,60,[1],""
14,6699,2,2,0,[],0,1,[],[],[],[],[],[],15,40,[],""
15,6701,2,2,0,[],0,1,[],[],[],[],[],[],15,40,[],""
16,6703,2,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
17,6708,3,0,0,[3066],10,2,[100],[200],[0],[900],[1010],[60],15,50,[1],""
18,6710,3,0,0,[3066],10,1,[100],[200],[0],[900],[1010],[60],15,50,[1],""
19,6715,3,1,0,[],0,1,[],[],[],[],[],[],15,50,[],""
20,6716,3,1,1,[],0,1,[],[],[],[],[],[],15,110,[],""
21,6718,3,1,0,[],0,1,[],[],[],[],[],[],15,110,[],""
22,6723,3,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
23,6725,3,2,1,[],0,1,[],[],[],[],[],[],15,60,[],""
24,6728,3,3,3,[],0,1,[],[],[],[],[],[],15,60,[],6727
25,6731,4,0,0,[3064],10,1,[100],[200],[0],[440],[530],[60],15,50,[1],""
26,6732,4,0,0,[3064],10,1,[100],[200],[0],[440],[520],[60],15,50,[1],""
27,6733,4,0,0,[],0,1,[],[],[],[],[],[],15,60,[],""
28,6740,4,1,2,[],0,1,[],[],[],[],[],[],15,50,[],""
29,6741,4,1,2,[],0,1,[],[],[],[],[],[],15,50,[],""
30,6746,4,2,2,[],0,1,[],[],[],[],[],[],15,60,[],""
31,6748,4,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
32,6750,4,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
33,6752,1,0,0,[3068],10,1,[100],[200],[0],[440],[600],[60],15,50,[1],""
34,6753,1,0,0,[3068],10,1,[100],[200],[0],[440],[550],[60],15,50,[1],""
35,6754,1,0,1,[],0,1,[],[],[],[],[],[],15,50,[],""
36,6761,1,1,2,[],0,3,[],[],[],[],[],[],15,50,[],""
37,6764,1,0,0,[],0,1,[],[],[],[],[],[],15,50,[],""
38,6767,1,1,0,[],0,1,[],[],[],[],[],[],15,60,[],""
39,6769,1,1,0,[],0,1,[],[],[],[],[],[],15,60,[],""
40,6772,1,2,1,[],0,1,[],[],[],[],[],[],15,40,[],""
41,6774,1,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
42,6776,1,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
43,6668,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
44,6669,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
45,6670,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
46,6671,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
47,6672,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
48,6680,0,57,0,[],0,1,[],[],[],[],[],[],150,50,[],""
49,6681,0,57,1,[],0,1,[],[],[],[],[],[],150,50,[],""
50,6682,0,57,0,[],0,1,[],[],[],[],[],[],150,120,[],""
51,6691,2,57,0,[],0,8,[],[],[],[],[],[],150,60,[],""
52,6697,2,57,1,[],0,1,[],[],[],[],[],[],150,60,[],""
53,6698,2,57,0,[],0,1,[],[],[],[],[],[],150,60,[],""
54,6712,3,57,0,[],0,5,[],[],[],[],[],[],150,50,[],""
55,6713,3,57,0,[],0,5,[],[],[],[],[],[],150,50,[],""
56,6720,3,57,0,[],0,1,[],[],[],[],[],[],150,50,[],""
57,6721,3,57,1,[],0,1,[],[],[],[],[],[],150,110,[],""
58,6722,3,57,0,[],0,1,[],[],[],[],[],[],150,110,[],""
59,6734,4,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
60,6735,4,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
61,6736,4,57,0,[],0,3,[],[],[],[],[],[],150,60,[],""
62,6742,4,57,2,[],0,1,[],[],[],[],[],[],150,50,[],""
63,6743,4,57,2,[],0,1,[],[],[],[],[],[],150,50,[],""
64,6755,1,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
65,6756,1,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
66,6757,1,57,1,[],0,1,[],[],[],[],[],[],150,50,[],""
67,6762,1,57,2,[],0,3,[],[],[],[],[],[],150,50,[],""
68,6765,1,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
69,6770,1,57,0,[],0,1,[],[],[],[],[],[],150,60,[],""
70,6771,1,57,0,[],0,1,[],[],[],[],[],[],150,60,[],""
