"rownum","GrantedEffectsKey","SetId","StatsKeys","StatsValuesPermille","Weight","[i32]","[i32]"
0,0,0,[175],[1000],50,[],[]
1,0,1,"[175,434]","[-2000,3000]",100,[],[]
2,0,2,"[6334,7844]","[3000,-2000]",40,[],[]
3,0,3,[12712],[250],10,[],[]
4,2755,0,[175],[1000],50,[],[]
5,59,0,[434],[500],50,[],[]
6,59,1,[5533],[1500],100,[],[]
7,59,2,[216],[500],100,[],[]
8,59,3,[3573],[500],100,[],[]
9,67,0,[434],[500],50,[],[]
10,95,0,[341],[1000],50,[],[]
11,95,1,[434],[1000],100,[],[]
12,95,2,[24],[1000],100,[],[]
13,95,3,[70],[500],20,[],[]
14,98,0,[434],[500],50,[],[]
15,98,1,[70],[500],100,[],[]
16,98,2,[12684],[100],100,[],[]
17,98,3,[402],[1000],20,[],[]
18,160,0,[70],[500],50,[],[]
19,160,1,[343],[1000],20,[],[]
20,160,2,[12993],[2000],50,[],[]
21,160,3,[12994],[5000],50,[],[]
22,180,0,[177],[1000],50,[],[]
23,180,1,[24],[1000],100,[],[]
24,180,2,[472],[1000],100,[],[]
25,219,0,[215],[1000],50,[],[]
26,219,1,[3493],[2000],100,[],[]
27,219,2,"[4548,3351]","[1000,-2000]",20,[],[]
28,228,0,[70],[500],50,[],[]
29,228,1,[486],[2000],100,[],[]
30,228,2,[5440],[1000],100,[],[]
31,237,0,[486],[1000],50,[],[]
32,237,1,[434],[500],100,[],[]
33,237,2,[6334],[1000],100,[],[]
34,254,0,"[554,95]","[1000,500]",50,[],[]
35,254,1,[1234],[250],100,[],[]
36,254,2,[13020],[5000],100,[],[]
37,254,3,[13067],[500],20,[],[]
38,264,0,[70],[500],50,[],[]
39,264,1,[24],[3000],100,[],[]
40,264,2,[12689],[10000],20,[],[]
41,293,0,[70],[500],50,[],[]
42,293,1,[173],[50],100,[],[]
43,293,2,[6919],[50],20,[],[]
44,293,3,[13091],[250],50,[],[]
45,299,0,[216],[500],50,[],[]
46,299,1,[1492],[3000],10,[42],[]
47,299,2,[13014],[4000],20,[],[]
48,318,0,[70],[500],50,[],[]
49,318,1,[174],[50],20,[],[]
50,318,2,[24],[1000],100,[],[]
51,466,0,[42],[500],50,[],[]
52,466,1,"[42,10232]","[-1000,1000]",50,[],[]
53,466,2,[1104],[1000],100,[],[]
54,467,0,[70],[500],50,[],[]
55,467,1,[3351],[500],5,[],[]
56,467,2,[9131],[500],50,[],[]
57,470,0,"[70,216]","[500,500]",50,[],[]
58,470,1,"[14055,175]","[-1000,500]",100,[],[]
59,470,2,[13258],[1000],50,[],[]
60,468,0,"[70,216]","[500,500]",50,[],[]
61,468,1,"[14055,175]","[-1000,500]",100,[],[]
62,468,2,[13258],[1000],50,[],[]
63,471,0,"[70,216]","[500,500]",50,[],[]
64,471,1,[12592],[3000],100,[],[]
65,471,2,"[175,498]","[500,500]",100,[],[]
66,472,0,[49],[500],50,[],[]
67,472,1,[1910],[500],100,[],[]
68,472,2,[1105],[1000],100,[],[]
69,473,0,[84],[1000],50,[],[]
70,473,1,[95],[1000],100,[],[]
71,473,2,[12918],[200],20,[],[]
72,474,0,[619],[500],50,[],[]
73,474,1,[1910],[500],100,[],[]
74,474,2,[434],[500],100,[],[]
75,475,0,[56],[500],50,[],[]
76,475,1,[554],[1500],100,[],[]
77,475,2,[1106],[1000],100,[],[]
78,498,0,"[159,617]","[1000,1000]",50,[],[]
79,498,1,[5474],[2000],100,[],[]
80,498,2,[2102],[6000],100,[],[]
81,498,3,"[12710,4141]","[1000,500]",10,[42],[]
82,510,0,[434],[500],50,[],[]
83,510,1,[9816],[1000],100,[],[]
84,510,2,[1107],[1000],100,[],[]
85,521,0,[8481],[250],50,[],[]
86,521,1,[12850],[100],5,[],[]
87,521,2,[12990],[2000],50,[],[]
88,526,0,[209],[1000],50,[],[]
89,526,1,[434],[500],100,[],[]
90,526,2,[25],[1000],100,[],[]
91,569,0,[486],[1000],50,[],[]
92,569,1,[216],[2000],100,[],[]
93,569,2,[3617],[500],5,[],[]
94,569,3,[13016],[2000],20,[],[]
95,574,0,[216],[3000],10000,[],[]
96,574,1,[12666],[1000],1,[],[]
97,575,0,[216],[3000],50,[],[]
98,576,0,[10151],[1000],50,[],[]
99,576,1,[554],[1000],100,[],[]
100,576,2,[213],[500],100,[],[]
101,581,0,[554],[1000],50,[],[]
102,581,1,[95],[250],100,[],[]
103,581,2,[3878],[500],20,[],[]
104,582,0,[95],[750],50,[],[]
105,582,1,[554],[1000],100,[],[]
106,582,2,[6086],[1500],100,[],[]
107,583,0,[479],[500],50,[],[]
108,583,1,[24],[500],100,[],[]
109,583,2,[402],[2000],100,[],[]
110,584,0,[9098],[500],50,[],[]
111,584,1,[584],[2000],100,[],[]
112,584,2,[9320],[5000],50,[],[]
113,586,0,[9099],[500],50,[],[]
114,586,1,[12944],[500],5,[],[]
115,586,2,[1304],[200],20,[],[]
116,587,0,[63],[500],50,[],[]
117,587,1,[597],[250],100,[],[]
118,587,2,[1107],[1000],100,[],[]
119,589,0,[186],[250],50,[],[]
120,589,1,[3351],[3000],100,[],[]
121,589,2,[13078],[1000],100,[],[]
122,731,0,[175],[1000],50,[],[]
123,731,1,[6269],[100],100,[],[]
124,731,2,[173],[100],100,[],[]
125,731,3,[1494],[2000],100,[42],[]
126,2759,0,[175],[1000],50,[],[]
127,748,0,[341],[1500],50,[],[]
128,748,1,[3845],[200],100,[],[]
129,748,2,[12960],[5000],10,[],[]
130,749,0,[175],[2000],50,[],[]
131,749,1,[6269],[100],20,[],[]
132,749,2,[49],[1000],100,[],[]
133,749,3,[8755],[-1000],50,[],[]
134,763,0,[498],[500],50,[],[]
135,763,1,[6269],[100],100,[],[]
136,763,2,[12953],[2000],100,[],[]
137,764,0,[313],[500],50,[],[]
138,764,1,[24],[500],100,[],[]
139,764,2,[312],[1000],100,[],[]
140,765,0,[617],[1000],50,[],[]
141,765,1,"[12708,159]","[1000,1000]",100,[],[]
142,765,2,[12709],[500],100,[],[]
143,765,3,[12719],[5000],20,[],[]
144,773,0,[12635],[2000],50,[],[]
145,773,1,[70],[500],100,[],[]
146,773,2,[434],[1000],100,[],[]
147,779,0,[12635],[2000],50,[],[]
148,788,0,[215],[1000],50,[],[]
149,788,1,[24],[3000],100,[],[]
150,788,2,[2073],[5000],100,[],[]
151,796,0,[175],[2000],50,[],[]
152,796,1,"[13090,634]","[3000,-1000]",50,[],[]
153,796,2,[13241],[5000],20,[],[]
154,810,0,[200],[2000],50,[],[]
155,810,1,"[12716,12717]","[2000,5000]",50,[],[]
156,810,2,[56],[1000],100,[],[]
157,845,0,"[70,3377]","[500,500]",50,[],[]
158,845,1,[1107],[1000],100,[],[]
159,845,2,[63],[1000],100,[],[]
160,845,3,[13246],[500],10,[],[]
161,852,0,[490],[500],50,[],[]
162,852,1,[1234],[100],10,[],[]
163,852,2,[10821],[250],50,[],[]
