"rownum","Id","BaseItemTypesKeys","WorldAreasKey","rid","AreaLevel","i32","i32","IsLegionMap","bool","bool","bool","[rid]"
0,"Disabled","[5666,5667,5668]",0,"",0,2387,1,"","","","",[]
1,"Atziri1","[5608,5609,5610,5611]",745,24,0,2387,0,"","","","",[]
2,"Atziri2","[5613,5614,5615,5616]",746,24,0,2387,0,"","","","",[]
3,"VaalFragment1_1",[5608],1481,"",72,2387,0,"","","","",[]
4,"VaalFragment1_2",[5609],1481,"",70,2387,0,"","","","",[]
5,"VaalFragment1_3",[5610],1481,"",71,2387,0,"","","","",[]
6,"VaalFragment1_4",[5611],1481,"",69,2387,0,"","","","",[]
7,"VaalFragment2_1",[5613],1481,"",74,2387,0,"","","","",[]
8,"VaalFragment2_2",[5614],1481,"",76,2387,0,"","","","",[]
9,"VaalFragment2_3",[5615],1481,"",75,2387,0,"","","","",[]
10,"VaalFragment2_4",[5616],1481,"",73,2387,0,"","","","",[]
11,"PaleCourt","[5618,5619,5620,5621]",274,"",0,2387,0,"","","","",[]
12,"ShapersRealm","[5623,5624,5625,5626]",1233,20,0,2387,0,"",1,"","",[]
13,"EldersRealm","[5628,5629,5630,5631]",1265,108,0,2387,0,"",1,"","",[]
14,"UberEldersRealm","[5633,5634,5635,5636]",1266,20,0,2387,0,"",1,"","",[]
15,"BreachDomainFire",[5639],1052,"",0,2387,0,"","","","",[]
16,"BreachDomainCold",[5640],1053,"",0,2387,0,"","","","",[]
17,"BreachDomainLightning",[5641],1054,"",0,2387,0,"","","","",[]
18,"BreachDomainPhysical",[5642],1050,"",0,2387,0,"","","","",[]
19,"BreachDomainChaos",[5643],1051,"",0,2387,0,"","","","",[]
20,"ClassicVault",[5669],275,27,0,2387,0,"","","","",[]
21,"MaligaroMap",[4533],106,"",0,1283,0,"","","","",[]
22,"340Vault",[5670],276,27,0,2387,0,"","","","",[]
23,"BreachDomainFire2",[5644],1057,"",0,2387,0,"","","","",[]
24,"BreachDomainCold2",[5645],1058,"",0,2387,0,"","","","",[]
25,"BreachDomainLightning2",[5646],1059,"",0,2387,0,"","","","",[]
26,"BreachDomainPhysical2",[5647],1055,"",0,2387,0,"","","","",[]
27,"BreachDomainChaos2",[5648],1056,"",0,2387,0,"","","","",[]
28,"BreachDomainFire3",[5649],1062,"",0,2387,0,"","","","",[]
29,"BreachDomainCold3",[5650],1063,"",0,2387,0,"","","","",[]
30,"BreachDomainLightning3",[5651],1064,"",0,2387,0,"","","","",[]
31,"BreachDomainPhysical3",[5652],1060,"",0,2387,0,"","","","",[]
32,"BreachDomainChaos3",[5653],1061,"",0,2387,0,"","","","",[]
33,"BreachDomainFire4",[5654],1067,"",0,2387,0,"","","","",[]
34,"BreachDomainCold4",[5655],1068,"",0,2387,0,"","","","",[]
35,"BreachDomainLightning4",[5656],1069,"",0,2387,0,"","","","",[]
36,"BreachDomainPhysical4",[5657],1065,"",0,2387,0,"","","","",[]
37,"BreachDomainChaos4",[5658],1066,"",0,2387,0,"","","","",[]
38,"EndgameLegionMap","[5659,5661,5662,5663,5660]",1276,86,0,2387,2,1,"","","",[]
39,"EndgameLegionMap2","[5659,5661,5662,5663,5660]",1277,86,0,2387,3,1,"","","",[]
40,"EndgameLegionMap3","[5659,5661,5662,5663,5660]",1278,86,0,2387,4,1,"","","",[]
41,"EndgameLegionMap4","[5659,5661,5662,5663,5660]",1279,86,0,2387,5,1,"","","",[]
42,"AfflictionBoss",[5664],1482,122,0,2387,0,"","","","",[]
43,"MavenFight","[7648,7649,7650,7651,7652,7653,7654,7655,7656,7657,7658,7659,7660,7661,7662,7663,7664,7665,7666,7667,7668,7669,7670,7671,7672,7673,7674,7675,7676,7677,7678,7679,7680,7681,7682,7683,7684,7685,7686,7687,7688,7689,7690,7691,7692]",1696,157,0,2387,1,1,"",1,1,[]
44,"MavenBoss",[7693],1697,157,0,2387,0,1,"","",1,[]
45,"UberLabTrial",[5665],1483,14,0,2387,0,"","","","",[7778]
46,"VaalVault",[5671],277,24,0,2387,0,"","","","",[]
47,"IncursionTemple",[7719],284,50,0,2387,0,"","","","",[]
48,"UltimatumTrial",[7720],1703,159,0,2387,0,"","","",1,[]
49,"HarvestBoss",[7721],1282,135,0,2387,0,"","","","",[]
