"rownum","i32","string","[i32]","[i32]","[rid]","i32","i32","bool"
0,0,"Default","[25,30,35,40]","[0,1045220557,1045220557,1045220557]","[2012,2013,2014,2015]",3,0,""
1,1,"Powerball1","[20,26,32]","[0,1056964608,1056964608]","[2871,2872,2873]",4,0,""
2,2,"Powerball2","[20,26,32,38]","[0,1051260355,1051260355,1051260355]","[2871,2872,2873,2874]",4,0,""
3,3,"Powerball3","[20,26,32,38,44]","[0,1048576000,1048576000,1048576000,1048576000]","[2871,2872,2873,2874,2875]",4,0,""
4,4,"Powerball4","[20,26,32,38,44,50]","[0,1045220557,1045220557,1045220557,1045220557,1045220557]","[2871,2872,2873,2874,2875,2876]",4,0,""
5,5,"Powerball5","[20,26,32,38,44,50,56]","[0,1043207291,1043207291,1043207291,1043207291,1042536202,1042536202]","[2871,2872,2873,2874,2875,2876,2877]",4,0,""
6,6,"Powerball6","[20,26,32,38,44,50,56,62]","[0,1041194025,1041194025,1041194025,1041194025,1041194025,1041865114,1041865114]","[2871,2872,2873,2874,2875,2876,2877,2878]",4,0,""
7,7,"Powerball7","[20,26,32,38,44,50,56,62,68]","[0,1039516303,1039516303,1039516303,1039516303,1040522936,1040522936,1040522936,1040522936]","[2871,2872,2873,2874,2875,2876,2877,2878,2879]",4,0,""
8,8,"Powerball8","[20,26,32,38,44,50,56,62,68,74]","[0,1038174126,1038174126,1038174126,1038174126,1038174126,1038174126,1038174126,1038174126,1038174126]","[2871,2872,2873,2874,2875,2876,2877,2878,2879,2880]",4,0,""
9,9,"ViperNaputzi","[40,33,26,19,0]","[0,1058642330,1058642330,1077936128]","[3136,3137,3138,3139]",4,0,1
10,10,"MetamorphShockNova","[10,15,20,25,30,35,40]","[0,1045220557,1045220557,1045220557,1045220557,1045220557]","[3172,3172,3172,3172,3172,3172]",2,0,1
11,11,"AfflictionExplosion1","[9,18,28]","[0,1048576000,1048576000]","[3765,3766,3767]",4,0,""
12,12,"AfflictionExplosion2","[9,18,28,37]","[0,1048576000,1048576000,1048576000]","[3765,3766,3767,3768]",4,0,""
13,13,"AfflictionExplosion3","[9,18,28,37,46]","[0,1048576000,1048576000,1048576000,1048576000]","[3765,3766,3767,3768,3769]",4,0,""
14,14,"AfflictionExplosion4","[9,18,28,37,46,55]","[0,1048576000,1048576000,1048576000,1048576000,1048576000]","[3765,3766,3767,3768,3769,3770]",4,0,""
15,15,"AfflictionExplosion5","[9,18,28,37,46,55,64]","[0,1048576000,1048576000,1048576000,1048576000,1048576000,1048576000]","[3765,3766,3767,3768,3769,3770,3771]",4,0,""
16,16,"AfflictionExplosion6","[9,18,28,37,46,55,64,74]","[0,1048576000,1048576000,1048576000,1048576000,1048576000,1048576000,1048576000]","[3765,3766,3767,3768,3769,3770,3771,3772]",4,0,""
17,17,"AfflictionExplosion7","[9,18,28,37,46,55,64,74,83]","[0,1048576000,1048576000,1048576000,1048576000,1048576000,1048576000,1048576000,1048576000]","[3765,3766,3767,3768,3769,3770,3771,3772,3773]",4,0,""
18,18,"AfflictionExplosion8","[9,18,28,37,46,55,64,74,83,92]","[0,1048576000,1048576000,1048576000,1048576000,1048576000,1048576000,1048576000,1048576000,1048576000]","[3765,3766,3767,3768,3769,3770,3771,3772,3773,3774]",4,0,""
