"rownum","AtlasExileInfluenceOutcomeTypesKey","i32","i32","i32","[rid]","rid","[rid]","i32","[i32]","[rid]"
0,0,0,0,0,"[1798,1799,1800,1801]","",[],20,[],[]
1,1,0,0,0,"[1798,1799,1800,1801]","",[],30,[],[]
2,2,0,0,0,"[1798,1799,1800,1801]","",[],40,[],[]
3,3,0,0,0,"[1802,1803,1804,1805,1806]","",[],20,[],[]
4,4,0,0,0,"[1802,1803,1804,1805,1806]","",[],30,[],[]
5,5,0,0,0,"[1802,1803,1804,1805,1806]","",[],40,[],[]
6,6,0,0,0,"[1807,1808,1809,1810,1811]","",[],20,[],[]
7,7,0,0,0,"[1807,1808,1809,1810,1811]","",[],30,[],[]
8,8,0,0,0,"[1807,1808,1809,1810,1811]","",[],40,[],[]
9,9,0,0,0,"[1812,1813,1814]","",[],20,[],[]
10,10,0,0,0,"[1812,1813,1814]","",[],30,[],[]
11,11,0,0,0,"[1812,1813,1814]","",[],40,[],[]
12,12,0,0,0,[1815],"",[],15,[],[]
13,13,0,0,0,[1816],"",[],15,[],[]
14,14,0,0,0,[1817],"",[],15,[],[]
15,15,0,0,0,[1818],"",[],15,[],[]
16,16,0,0,0,[],"",[10863],0,[],[15]
17,17,0,0,0,[1819],"",[],6,[],[]
18,18,0,0,0,[1820],"",[],4,[],[]
19,19,0,0,0,[1821],"",[],6,[],[]
20,20,0,0,0,[],1446,[],0,"[1,25,30,8,30]",[]
21,21,0,0,0,[],1447,[],0,"[1,1,15,20,30,1,1]",[]
22,22,0,0,0,[],1448,[],0,"[1,30,10,10,30]",[]
23,23,0,0,0,[],1449,[],0,"[15,30,30,15,40]",[]
