"rownum","string","SpawnWeight_TagsKeys","SpawnWeight_Values","ModsKey","MinLevel","MaxLevel","IsPrefix"
0,"ProxyKey1",[0],[45],8615,2,39,1
1,"ProxyKey2",[0],[45],8614,40,100,1
2,"ProxyKey3",[0],[45],8616,40,100,1
3,"ProxyKey4","[158,0]","[0,94]",8617,2,100,1
4,"ProxyKey5","[162,0]","[0,0]",8618,40,100,1
5,"ProxyKey6","[152,0]","[0,45]",8619,56,100,1
6,"ProxyKey7","[57,0]","[45,0]",8620,68,100,1
7,"ProxyKey8","[57,0]","[1,0]",8621,68,100,1
8,"ProxyKey9",[0],[94],8623,2,39,1
9,"ProxyKey10",[0],[94],8622,40,100,1
10,"ProxyKey11","[158,0]","[0,94]",8625,2,39,1
11,"ProxyKey12","[158,0]","[0,94]",8624,40,100,1
12,"ProxyKey13",[0],[94],8627,2,39,1
13,"ProxyKey14",[0],[94],8626,40,100,1
14,"ProxyKey15",[0],[94],8629,2,39,1
15,"ProxyKey16",[0],[94],8628,40,100,1
16,"ProxyKey17",[0],[45],8630,2,100,1
17,"ProxyKey18",[0],[94],8632,2,39,1
18,"ProxyKey19",[0],[94],8631,40,100,1
19,"ProxyKey20",[0],[94],8633,40,100,1
20,"ProxyKey21",[0],[45],8634,56,100,1
21,"ProxyKey22",[0],[94],8635,40,100,1
22,"ProxyKey23","[57,0]","[9,0]",8636,68,100,1
23,"ProxyKey24",[0],[94],8637,40,100,1
24,"ProxyKey25",[0],[45],8638,56,100,1
25,"ProxyKey26",[0],[45],8639,40,100,1
26,"ProxyKey27",[0],[45],8640,40,100,1
27,"ProxyKey28",[0],[9],8642,23,39,1
28,"ProxyKey29",[0],[9],8641,40,100,1
29,"ProxyKey30","[61,0]","[9,0]",8643,40,100,1
30,"ProxyKey31",[0],[45],8644,40,100,1
31,"ProxyKey32",[0],[45],8645,40,100,1
32,"ProxyKey33",[0],[94],8646,2,100,1
33,"ProxyKey34",[0],[94],8647,40,100,1
34,"ProxyKey35",[0],[94],8648,2,100,1
35,"ProxyKey36",[0],[94],8649,40,100,1
36,"ProxyKey37",[0],[94],8650,2,100,1
37,"ProxyKey38",[0],[94],8651,40,100,1
38,"ProxyKey39",[0],[0],8652,2,100,1
39,"ProxyKey40",[0],[0],8653,40,100,1
40,"ProxyKey41",[0],[94],8654,2,100,1
41,"ProxyKey42",[0],[94],8655,40,100,1
42,"ProxyKey43",[0],[94],8656,40,100,1
43,"ProxyKey44","[57,0]","[4,0]",8657,68,100,1
44,"ProxyKey45",[0],[45],8658,2,100,1
45,"ProxyKey46",[0],[9],8660,2,39,1
46,"ProxyKey47",[0],[9],8659,40,100,1
47,"ProxyKey48",[0],[94],8661,2,100,1
48,"ProxyKey49",[0],[45],8662,2,100,1
49,"ProxyKey50",[0],[94],8663,2,100,1
50,"ProxyKey51",[0],[94],8664,2,100,1
51,"ProxyKey52",[0],[45],8665,2,100,1
52,"ProxyKey53",[0],[5000],8011,40,100,""
53,"ProxyKey54","[164,0]","[0,2500]",8668,40,100,""
54,"ProxyKey55",[0],[5000],8669,40,100,""
55,"ProxyKey56",[0],[5000],8670,40,100,""
56,"ProxyKey57",[0],[5000],8671,40,100,""
57,"ProxyKey58",[0],[5000],8672,40,100,""
58,"ProxyKey59",[0],[2500],8677,56,100,""
59,"ProxyKey60",[0],[500],8678,56,100,""
60,"ProxyKey61","[57,0]","[500,0]",8679,68,100,""
61,"ProxyKey62","[164,57,0]","[0,250,0]",8680,68,100,""
62,"ProxyKey63","[164,57,0]","[0,250,0]",8681,68,100,""
63,"ProxyKey64",[0],[2500],8682,40,100,""
64,"ProxyKey65",[0],[5000],8683,40,100,""
65,"ProxyKey66",[0],[5000],8684,40,100,""
66,"ProxyKey67",[0],[5000],8685,40,100,""
67,"ProxyKey68",[0],[2500],8686,56,100,""
68,"ProxyKey69","[164,57,0]","[0,500,0]",8687,40,100,""
69,"ProxyKey70","[164,57,0]","[0,500,0]",8688,68,100,""
70,"ProxyKey71","[164,57,0]","[0,500,0]",8689,68,100,""
71,"ProxyKey72","[57,0]","[3,0]",8690,68,100,""
72,"ProxyKey73","[57,0]","[5000,0]",8673,68,100,""
73,"ProxyKey74","[57,0]","[5000,0]",8674,68,100,""
74,"ProxyKey75","[57,0]","[5000,0]",8675,68,100,""
75,"ProxyKey76","[57,0]","[5000,0]",8676,68,100,""
76,"ProxyKey77","[164,57,0]","[0,250,0]",8691,68,100,""
