"rownum","Id","i32","[i32]","UnlockType","CraftingItemClassCategoriesKeys","ObtainingDescription"
0,"JunAddedColdAndLightningDamage",6,"[2,4,6]","Added Cold and Lightning Damage - Rank","[4,9,13]","Unveiling shields, rings or quivers"
1,"JunAddedFireAndColdDamage",6,"[2,4,6]","Added Fire and Cold Damage - Rank","[4,9,13]","Unveiling shields, rings or quivers"
2,"JunAddedFireAndLightningDamage",6,"[2,4,6]","Added Fire and Lightning Damage - Rank","[4,9,13]","Unveiling shields, rings or quivers"
3,"JunAllDamage",4,"[2,4]","Damage - Rank","[9,11]","Unveiling certain rings or belts from Leo"
4,"JunAlwaysHits",1,[1],"Hits can't be Evaded","[0,1]","Unveiling certain melee weapons from Vagan"
5,"JunArmourAndEnergyShield",6,"[2,4,6]","Armour and Energy Shield - Rank",[11],"Unveiling belts"
6,"JunArmourAndEvasionRating",6,"[2,4,6]","Armour and Evasion Rating - Rank","[11,13]","Unveiling belts or quivers"
7,"JunAttackAndCastSpeed",6,"[2,4,6]","Attack and Cast Speed - Rank","[9,10,13]","Unveiling rings, amulets or quivers"
8,"JunAttackAndCastSpeedWhileFocused",6,"[2,4,6]","Attack and Cast Speed while Focussed - Rank",[7],"Unveiling gloves"
9,"JunAttackSpeedPercentIfRareOrUniqueEnemyNearby",6,"[2,4,6]","Attack Speed while a Rare or Unique Enemy is Nearby - Rank","[0,1,2,3]","Unveiling weapons"
10,"JunAvoidElementalDamageChancePercentDuringSoulGainPrevention",4,"[2,4]","Avoid Elemental Damage during Soul Gain Prevention - Rank","[6,5]","Unveiling body armour or helmets"
11,"JunAvoidFreeze",4,"[1,4]","Avoid Freeze - Rank",[8],"Unveiling certain boots from Rin Yuushu"
12,"JunBaseLifeAndMana",6,"[2,4,6]","Life and Mana - Rank","[5,7,8,9,10,11,13]","Unveiling helmets, gloves, boots, rings, amulets, belts or quivers"
13,"JunBleedOnHitGained",4,"[1,4]","Added Physical Damage and Bleeding on Hit - Rank","[0,1,2,3]","Unveiling certain weapons from Tora"
14,"JunChanceToDealDoubleDamageWhileFocused",6,"[2,4,6]","Chance to Deal Double Damage while Focussed - Rank","[0,1,2,3]","Unveiling weapons"
15,"JunChanceToNotConsumeFlaskCharges",4,"[2,4]","Chance for Flasks to not Consume Charges - Rank",[11],"Unveiling belts"
16,"JunChaosDamageAndChaosSkillDuration",6,"[2,4,6]","Chaos Damage and Chaos Skill Effect Duration - Rank","[0,1,2,3]","Unveiling weapons"
17,"JunChaosNonAilmentDamageOverTimeMultiplier",6,"[2,4,6]","Physical and Chaos Damage over Time Multiplier - Rank","[0,1,2,3]","Unveiling weapons"
18,"JunChaosPenetrationWithAttacks",6,"[2,4,6]","Weapon Chaos Resistance Penetration - Rank","[0,1,2,3]","Unveiling weapons"
19,"JunColdDamageAndBaseChanceToFreeze",6,"[2,4,6]","Cold Damage and Chance to Freeze - Rank","[0,1,2,3]","Unveiling weapons"
20,"JunColdDamageOnCritAndCritChance",4,"[1,4]","Critical Strike Chance and Critical Multiplier on Shatter - Rank",[9],"Unveiling certain rings from Cameria the Coldblooded"
21,"JunColdDamageOverTimeMultiplier",6,"[2,4,6]","Fire and Cold Damage over Time Multiplier - Rank","[0,1,2,3]","Unveiling weapons"
22,"JunCriticalChanceAndAddedChaosDamageIfHaveCritRecently",6,"[2,4,6]","Critical Chance and Added Chaos Damage on Critical Strike - Rank","[7,13]","Unveiling gloves or quivers"
23,"JunCriticalChanceAndElementalDamagePercentIfHaveCritRecently",6,"[2,4,6]","Critical Chance and Elemental Damage on Critical Strike - Rank","[7,13]","Unveiling gloves or quivers"
24,"JunCriticalChanceAndGainFrenzyChargeOnCriticalStrikePercent",6,"[2,4,6]","Critical Chance and Gain Frenzy Charge on Critical Strike - Rank",[13],"Unveiling quivers"
25,"JunCriticalStrikeMultiplierIfRareOrUniqueEnemyNearby",6,"[2,4,6]","Critical Strike Multiplier while a Rare or Unique Enemy is Nearby - Rank","[0,1,2,3]","Unveiling weapons"
26,"JunCurseEffect",4,"[2,4]","Curse Effect - Rank",[4],"Unveiling shields"
27,"JunDamageDuringFlaskEffect",4,"[1,4]","Damage during Flask Effect - Rank",[7],"Unveiling certain gloves from Guff Grenn"
28,"JunDamagePerEnduranceCharge",2,[2],"Damage per Endurance Charge","[0,1,2,3]","Unveiling weapons"
29,"JunDamagePerFrenzyCharge",2,[2],"Damage per Frenzy Charge","[0,1,2,3]","Unveiling weapons"
30,"JunDamagePerPowerCharge",2,[2],"Damage per Power Charge","[0,1,2,3]","Unveiling weapons"
31,"JunDamagePlusPercentWithNonVaalSkillsDuringSoulGainPrevention",6,"[2,4,6]","Damage with Non-Vaal Skills during Soul Gain Prevention - Rank","[8,7]","Unveiling boots or gloves"
32,"JunDamageRemovedFromManaBeforeLifeWhileFocused",2,[2],"Damage taken from Mana before Life while Focussed",[6],"Unveiling body armour"
33,"JunDamageWhileLeeching",4,"[1,4]","Damage while Leeching - Rank","[7,10]","Unveiling certain gloves or amulets from Vorici"
34,"JunDexterityAndIntelligence",6,"[2,4,6]","Dexterity and Intelligence - Rank","[6,8,7,5,4,10,11,9,13]","Unveiling body armour, boots, gloves, helmets, shields, amulets, belts, rings or quivers"
35,"JunDodgeChanceDuringFocus",6,"[2,4,6]","Dodge Chance while Focussed - Rank","[5,8]","Unveiling helmets or boots"
