"rownum","rid","rid","rid","[rid]","[i32]","rid","rid","[rid]","[i32]","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","rid","i32","i32","i32","i32","i32","i32","i32"
0,955,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,134217728,0,16777216,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,201326592,0,201326592,0,0,0,0,738197504,0,0,0,0,0,134217728,0,0,0,738197504,738197504,738197504,0,0,0,738197504,0,0
1,956,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,738197504,0,16777216,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,738197504,0,201326592,0,0,0,0,738197504,0,0,0,0,0,134217728,0,0,0,738197504,738197504,738197504,0,0,0,738197504,0,0
2,957,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,738197504,0,16777216,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,738197504,0,201326592,0,0,0,0,738197504,0,0,0,0,0,134217728,0,0,0,738197504,738197504,738197504,0,0,0,738197504,0,0
3,3854,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,738197504,0,50331648,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,738197504,0,201326592,0,0,0,0,738197504,0,0,0,0,0,134217728,0,0,0,738197504,738197504,738197504,0,0,0,738197504,0,0
4,3861,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,738197504,0,50331648,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,738197504,0,201326592,0,0,0,0,738197504,0,0,0,0,0,134217728,0,0,0,738197504,738197504,738197504,0,0,0,738197504,0,0
5,3868,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,738197504,0,50331648,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,738197504,0,201326592,0,0,0,0,738197504,0,0,0,0,0,134217728,0,0,0,738197504,738197504,738197504,0,0,0,738197504,0,0
6,3868,1,326,[1234],[20],6222,"",[],[],"",-33554432,-16843010,-16843010,-16843010,33488638,0,1073741824,0,0,-33554432,-16843010,-16843010,-16843010,150929150,0,1342177280,0,0,0,536870912,1,536870912,1,0,0,0,1140850688,1,503316480,0,0,0,134217728,0,0,0,1140850688,1140850688,1140850688,1,0,0,1140850688,1,0
7,5571,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,1140850688,1,50331648,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,1140850688,1,201326592,0,0,0,0,1140850688,1,0,0,0,0,134217728,0,0,0,1140850688,1140850688,1140850688,1,0,0,1140850688,1,0
8,5572,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,1140850688,1,50331648,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,1140850688,1,201326592,0,0,0,0,1140850688,1,0,0,0,0,134217728,0,0,0,1140850688,1140850688,1140850688,1,0,0,1140850688,1,0
9,5573,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,1140850688,1,50331648,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,1140850688,1,201326592,0,0,0,0,1140850688,1,0,0,0,0,134217728,0,0,0,1140850688,1140850688,1140850688,1,0,0,1140850688,1,0
10,5574,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,1140850688,1,50331648,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,1140850688,1,201326592,0,0,0,0,1140850688,1,0,0,0,0,134217728,0,0,0,1140850688,1140850688,1140850688,1,0,0,1140850688,1,0
11,445,0,449,[10611],[1],8156,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,1476395008,1,67108864,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,1476395008,1,1476395008,1,0,0,0,1879048192,1,-1778384896,0,0,0,134217728,0,0,0,1879048192,1879048192,1879048192,1,0,0,1879048192,1,0
12,445,1,449,[10611],[1],8183,1,[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,-2147483648,1,67108864,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,-2147483648,1,1476395008,1,939524096,0,0,-2147483648,1,0,0,0,0,134217728,0,0,0,2147483648,2147483648,-2147483648,1,0,0,-2147483648,1,0
13,445,2,449,[10611],[1],8194,1,"[175,318,4570]","[200,400,1]","",-33554432,-16843010,-16843010,-16843010,16711422,0,-872415232,1,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,-872415232,1,-872415232,1,889192448,0,0,-436207616,1,0,0,0,0,134217728,0,0,0,3858759680,3858759680,-436207616,1,0,0,-436207616,1,0
14,445,3,449,[10611],[1],8187,1,[1215],[200],"",-33554432,-16843010,-16843010,-16843010,16711422,0,167772160,2,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,167772160,2,1476395008,1,872415232,0,0,167772160,2,0,0,0,0,134217728,0,0,0,167772160,167772160,167772160,2,0,0,167772160,2,0
15,2384,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,167772160,2,33554432,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,167772160,2,201326592,0,0,0,0,167772160,2,0,0,0,0,134217728,0,0,0,167772160,167772160,167772160,2,0,0,167772160,2,0
16,2384,1,598,[],[],8175,40,[173],[4],"",-33554432,-16843010,-16843010,-16843010,16711422,0,503316480,2,33554432,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,503316480,2,503316480,2,822083584,0,0,872415232,2,0,0,0,0,134217728,0,0,0,872415232,872415232,872415232,2,0,0,872415232,2,0
