"rownum","MonsterPacksKey","i32","i32","i32","i32","i32","bool"
0,1827,75,0,0,0,0,""
1,1828,75,0,0,0,0,""
2,1829,75,0,0,0,0,""
3,1830,75,0,0,0,0,""
4,1831,75,0,0,0,0,""
5,1832,75,0,0,0,0,""
6,1833,75,0,0,0,0,""
7,1834,75,0,0,0,0,""
8,1835,75,0,0,0,0,""
9,1836,75,0,0,0,0,""
10,1837,75,0,0,0,0,""
11,1838,75,0,0,0,0,""
12,1839,75,0,0,0,0,""
13,1840,75,0,0,0,0,""
14,1841,75,0,0,0,0,""
15,1842,75,0,0,0,0,""
16,1843,75,0,0,0,0,""
17,1844,75,0,0,0,0,""
18,1845,75,0,0,0,0,""
19,1846,75,0,0,0,0,""
20,1847,75,0,0,0,0,""
21,1848,75,0,0,0,0,""
22,1849,75,0,0,0,0,1
23,1850,160,120,0,0,1,1
24,1851,75,0,0,0,0,""
25,1852,75,0,0,0,0,""
26,1853,75,0,0,0,0,""
27,1854,75,0,0,0,0,""
28,1855,75,0,0,0,0,""
29,1856,75,0,0,0,0,""
