"rownum","Id","i32","[i32]","[i32]","i32","i32"
0,"TheWickedKing",5,"[1004,1005,1006]",[],1019,204
1,"ShadowQueen",5,"[1001,1002,1003]",[],1020,205
2,"VerdantKing",5,"[1007,1008,1009]",[],1021,206
3,"HollowQueen",5,"[1010,1011,1012]",[],1022,207
4,"AncientRivalries",4,"[1013,1014]",[],2387,1114
5,"BeyondCult",4,"[999,1000]",[],2387,208
6,"PathOfTheThaumaturgist",4,"[995,996]",[],2387,209
7,"AnarchysEnd",4,"[997,998]","[1038,1039,1040]",2387,210
8,"TheAmbitiousBandit",3,"[1015,1016]",[],2387,211
9,"KeeperOfThePeace",4,"[1017,1018]","[1036,1037]",2387,212
10,"DeadlyRivalry",5,"[1023,1024,1025]","[1030,1031,1032,1033,1034,1035]",2387,213
11,"DayOfSacrifice",4,"[1026,1027]",[],2387,214
12,"TheBlackStone",4,"[1028,1029]",[],2387,1114
