"rownum","MonsterVarietiesKey","Spirit_ModsKeys","Touched_ModsKeys","Possessed_ModsKeys","MinZoneLevel","MaxZoneLevel","SpawnWeight","SummonedMonster_MonsterVarietiesKey","i32","ModsKeys0","ModsKeys1"
0,3308,[7658],"[7659,7833,7832,7837]","[7660,7751,7834,7836]",10,100,1000,"",124,[7875],[7876]
1,3309,[7661],"[7662,7833,7832,7837]","[7663,7749,7834,7836]",6,100,2500,"",124,[7875],[7876]
2,3310,[7664],"[7665,7833,7832,7837]","[7666,7751,7834,7836]",10,100,1000,2774,124,[7875],[7876]
3,3311,[7667],"[7668,7833,7832,7837]","[7669,7751,7834,7836]",10,100,1000,"",124,[7875],[7876]
4,3312,[7696],"[7697,7833,7832,7837]","[7698,7752,7834,7836]",30,100,500,"",124,[7875],[7876]
5,3313,[7709],"[7710,7833,7832,7837]","[7711,7751,7834,7836]",15,100,1000,"",8,[7875],[7876]
6,3314,"[7676,7677]","[7678,7833,7832,7837]","[7679,7751,7834,7836]",15,100,1000,1620,124,[7875],[7876]
7,3315,[7702],"[7703,7833,7832,7837]","[7704,7751,7834,7836]",6,100,1000,"",124,[7875],[7876]
8,3316,[7670],"[7671,7833,7832,7837]","[7672,7751,7834,7836]",20,100,1000,"",124,[7875],[7876]
9,3317,[7673],"[7674,7833,7832,7837]","[7675,7752,7834,7836]",30,100,500,263,124,[7875],[7876]
10,3318,[7680],"[7681,7833,7832,7837]","[7682,7749,7834,7836]",1,100,2500,"",124,[7875],[7876]
11,3319,[7683],"[7684,7833,7832,7837]","[7685,7749,7686,7834,7836]",1,100,2500,"",124,[7875],[7876]
12,3320,[],"[7687,7833,7832,7837]","[7688,7752,7834,7836]",60,100,1,"",124,[7875],[7876]
13,3321,[7689],"[7690,7833,7832,7837]","[7691,7752,7834,7836]",60,100,500,"",124,[7875],[7876]
14,3322,[7693],"[7694,7833,7832,7837]","[7695,7749,7834,7836]",1,100,2500,"",124,[7875],[7876]
15,3323,[7699],"[7700,7833,7832,7837]","[7701,7749,7834,7836]",6,100,2500,"",124,[7875],[7876]
16,3324,"[7705,7706]","[7707,7833,7832,7837]","[7708,7751,7834,7836]",20,100,1000,42,124,[7875],[7876]
17,3325,[7712],"[7713,7833,7832,7837]","[7714,7752,7834,7836]",40,100,500,"",10,[7875],[7876]
18,3326,[7718],"[7719,7833,7832,7837]","[7720,7751,7834,7836]",20,100,1000,"",124,[7875],[7876]
19,3327,[7721],"[7722,7833,7832,7837]","[7723,7749,7834,7836]",1,100,2500,"",124,[7875],[7876]
20,3328,[7725],"[7726,7833,7832,7837]","[7727,7751,7834,7836]",10,100,1000,"",124,[7875],[7876]
21,3329,[7728],"[7730,7833,7832,7837]","[7731,7729,7752,7834,7836]",40,100,500,"",124,[7875],[7876]
22,3332,[7732],"[7733,7833,7832,7837]","[7748,7734,7752,7834,7836]",1,100,0,"",124,[7875],[7876]
23,3330,[7735],"[7736,7833,7832,7837]","[7737,7750,7835,7836]",1,100,0,"",124,[7875],[7876]
24,3331,[7738],"[7739,7833,7832,7837]","[7740,7750,7835,7836]",1,100,0,"",124,[7875],[7876]
25,3333,[7741],"[7742,7833,7832,7837]","[7743,7749,7834,7836]",1,100,0,"",124,[7875],[7876]
26,3334,[7741],"[7742,7833,7832,7837]","[7744,7749,7834,7836]",1,100,0,"",124,[7875],[7876]
27,3335,[7741],"[7742,7833,7832,7837]","[7745,7749,7834,7836]",1,100,0,"",124,[7875],[7876]
28,3336,[7741],"[7742,7833,7832,7837]","[7746,7749,7834,7836]",1,100,0,"",124,[7875],[7876]
29,3337,[7741],"[7742,7833,7832,7837]","[7747,7749,7834,7836]",1,100,0,"",124,[7875],[7876]
30,3338,[18141],"[18142,7833,7832,7837]","[18143,7752,7834,7836]",68,100,0,3530,124,[7875],[7876]
31,3339,[18138],"[18139,7833,7832,7837]","[18140,7752,7834,7836]",68,100,0,"",124,[7875],[7876]
32,3340,[18144],"[18145,7833,7832,7837]","[18146,7752,7834,7836]",68,100,0,"",124,[7875],[7876]
33,6801,[],"[7681,7833,7832,7837]","[7682,7749,7834,7836]",1,100,0,"",124,[7875],[7876]
34,6802,[],"[7681,7833,7832,7837]","[7682,7749,7834,7836]",1,100,0,"",124,[7875],[7876]
35,6803,[],"[7681,7833,7832,7837]","[7682,7749,7834,7836]",1,100,0,"",124,[7875],[7876]
36,6804,[],"[7681,7833,7832,7837]","[7682,7749,7834,7836]",1,100,0,"",124,[7875],[7876]
37,6805,[],"[7681,7833,7832,7837]","[7682,7749,7834,7836]",1,100,0,"",124,[7875],[7876]
