"rownum","BaseItemTypesKey","RequiredJob_HeistJobsKey","RequiredLevel"
0,7471,"",0
1,7472,"",0
2,7473,"",0
3,7474,"",0
4,7509,"",2
5,7510,"",3
6,7511,"",4
7,7512,"",5
8,7513,"",2
9,7514,"",3
10,7515,"",4
11,7516,"",5
12,7517,0,2
13,7518,0,3
14,7519,0,4
15,7520,0,5
16,7521,1,2
17,7522,1,3
18,7523,1,4
19,7524,1,5
20,7525,2,2
21,7526,2,3
22,7527,2,4
23,7528,2,5
24,7529,3,2
25,7530,3,3
26,7531,3,4
27,7532,3,5
28,7533,4,2
29,7534,4,3
30,7535,4,4
31,7536,4,5
32,7537,5,2
33,7538,5,3
34,7539,5,4
35,7540,5,5
36,7541,6,2
37,7542,6,3
38,7543,6,4
39,7544,6,5
40,7545,7,2
41,7546,7,3
42,7547,7,4
43,7548,7,5
44,7549,8,2
45,7550,8,3
46,7551,8,4
47,7552,8,5
48,7553,"",2
49,7554,"",3
50,7555,"",4
51,7556,"",5
52,7557,"",2
53,7558,"",3
54,7559,"",4
55,7560,"",5
56,7561,"",2
57,7562,"",3
58,7563,"",4
59,7564,"",5
