"rownum","BaseItemTypesKey","ReqStr","ReqDex","ReqInt"
0,"Metadata/Items/Armours/Shields/ShieldStr1",10,0,0
1,"Metadata/Items/Armours/Shields/ShieldStr2",20,0,0
2,"Metadata/Items/Armours/Shields/ShieldStr3",33,0,0
3,"Metadata/Items/Armours/Shields/ShieldStr4",46,0,0
4,"Metadata/Items/Armours/Shields/ShieldStr5",62,0,0
5,"Metadata/Items/Armours/Shields/ShieldStr6",76,0,0
6,"Metadata/Items/Armours/Shields/ShieldStr7",87,0,0
7,"Metadata/Items/Armours/Shields/ShieldStr8",96,0,0
8,"Metadata/Items/Armours/Shields/ShieldStr9",105,0,0
9,"Metadata/Items/Armours/Shields/ShieldStr10",114,0,0
10,"Metadata/Items/Armours/Shields/ShieldStr11",123,0,0
11,"Metadata/Items/Armours/Shields/ShieldStr12",132,0,0
12,"Metadata/Items/Armours/Shields/ShieldStr13",139,0,0
13,"Metadata/Items/Armours/Shields/ShieldStr14",159,0,0
14,"Metadata/Items/Armours/Shields/ShieldStr15",159,0,0
15,"Metadata/Items/Armours/Shields/ShieldStr16",159,0,0
16,"Metadata/Items/Armours/Shields/ShieldStr17",159,0,0
17,"Metadata/Items/Armours/Shields/ShieldStrE1",76,0,0
18,"Metadata/Items/Armours/Shields/ShieldStrE2",121,0,0
19,"Metadata/Items/Armours/Shields/ShieldStrE3",159,0,0
20,"Metadata/Items/Armours/Shields/ShieldDex1",0,13,0
21,"Metadata/Items/Armours/Shields/ShieldDex2",0,26,0
22,"Metadata/Items/Armours/Shields/ShieldDex3",0,44,0
23,"Metadata/Items/Armours/Shields/ShieldDex4",0,60,0
24,"Metadata/Items/Armours/Shields/ShieldDex5",0,74,0
25,"Metadata/Items/Armours/Shields/ShieldDex6",0,85,0
26,"Metadata/Items/Armours/Shields/ShieldDex7",0,94,0
27,"Metadata/Items/Armours/Shields/ShieldDex8",0,103,0
28,"Metadata/Items/Armours/Shields/ShieldDex9",0,112,0
29,"Metadata/Items/Armours/Shields/ShieldDex10",0,121,0
30,"Metadata/Items/Armours/Shields/ShieldDex11",0,130,0
31,"Metadata/Items/Armours/Shields/ShieldDex12",0,136,0
32,"Metadata/Items/Armours/Shields/ShieldDex13",0,159,0
33,"Metadata/Items/Armours/Shields/ShieldDex14",0,159,0
34,"Metadata/Items/Armours/Shields/ShieldDex15",0,159,0
35,"Metadata/Items/Armours/Shields/ShieldDex16",0,159,0
36,"Metadata/Items/Armours/Shields/ShieldDexE1",0,76,0
37,"Metadata/Items/Armours/Shields/ShieldDexE2",0,121,0
38,"Metadata/Items/Armours/Shields/ShieldDexE3",0,159,0
39,"Metadata/Items/Armours/Shields/ShieldInt1",0,0,15
40,"Metadata/Items/Armours/Shields/ShieldInt2",0,0,28
41,"Metadata/Items/Armours/Shields/ShieldInt3",0,0,42
42,"Metadata/Items/Armours/Shields/ShieldInt4",0,0,60
43,"Metadata/Items/Armours/Shields/ShieldInt5",0,0,71
44,"Metadata/Items/Armours/Shields/ShieldInt6",0,0,82
45,"Metadata/Items/Armours/Shields/ShieldInt7",0,0,92
46,"Metadata/Items/Armours/Shields/ShieldInt8",0,0,100
47,"Metadata/Items/Armours/Shields/ShieldInt9",0,0,110
48,"Metadata/Items/Armours/Shields/ShieldInt10",0,0,118
49,"Metadata/Items/Armours/Shields/ShieldInt11",0,0,128
50,"Metadata/Items/Armours/Shields/ShieldInt12",0,0,134
51,"Metadata/Items/Armours/Shields/ShieldInt13",0,0,141
52,"Metadata/Items/Armours/Shields/ShieldInt14",0,0,159
53,"Metadata/Items/Armours/Shields/ShieldInt15",0,0,159
54,"Metadata/Items/Armours/Shields/ShieldInt16",0,0,159
55,"Metadata/Items/Armours/Shields/ShieldIntE1",0,0,76
56,"Metadata/Items/Armours/Shields/ShieldIntE2",0,0,121
57,"Metadata/Items/Armours/Shields/ShieldIntE3",0,0,159
58,"Metadata/Items/Armours/Shields/ShieldStrDex1",10,10,0
59,"Metadata/Items/Armours/Shields/ShieldStrDex2",19,19,0
60,"Metadata/Items/Armours/Shields/ShieldStrDex3",28,28,0
61,"Metadata/Items/Armours/Shields/ShieldStrDex4",37,37,0
62,"Metadata/Items/Armours/Shields/ShieldStrDex5",44,44,0
63,"Metadata/Items/Armours/Shields/ShieldStrDex6",52,52,0
64,"Metadata/Items/Armours/Shields/ShieldStrDex7",58,58,0
65,"Metadata/Items/Armours/Shields/ShieldStrDex8",64,64,0
66,"Metadata/Items/Armours/Shields/ShieldStrDex9",70,70,0
67,"Metadata/Items/Armours/Shields/ShieldStrDex10",74,74,0
68,"Metadata/Items/Armours/Shields/ShieldStrDex11",85,85,0
69,"Metadata/Items/Armours/Shields/ShieldStrDex12",85,85,0
70,"Metadata/Items/Armours/Shields/ShieldStrDex13",85,85,0
71,"Metadata/Items/Armours/Shields/ShieldStrInt1",13,0,13
72,"Metadata/Items/Armours/Shields/ShieldStrInt2",20,0,20
73,"Metadata/Items/Armours/Shields/ShieldStrInt3",28,0,28
74,"Metadata/Items/Armours/Shields/ShieldStrInt4",37,0,37
75,"Metadata/Items/Armours/Shields/ShieldStrInt5",46,0,46
76,"Metadata/Items/Armours/Shields/ShieldStrInt6",52,0,52
77,"Metadata/Items/Armours/Shields/ShieldStrInt7",60,0,60
78,"Metadata/Items/Armours/Shields/ShieldStrInt8",64,0,64
79,"Metadata/Items/Armours/Shields/ShieldStrInt9",70,0,70
80,"Metadata/Items/Armours/Shields/ShieldStrInt10",76,0,76
81,"Metadata/Items/Armours/Shields/ShieldStrInt11",85,0,85
82,"Metadata/Items/Armours/Shields/ShieldStrInt12",85,0,85
83,"Metadata/Items/Armours/Shields/ShieldStrInt13",85,0,85
84,"Metadata/Items/Armours/Shields/ShieldDexInt1",0,10,10
85,"Metadata/Items/Armours/Shields/ShieldDexInt2",0,19,19
86,"Metadata/Items/Armours/Shields/ShieldDexInt3",0,28,28
