"rownum","MonsterVarietiesKey","MinLevel","MaxLevel","SpawnWeight"
0,4390,70,100,9
1,4395,75,100,9
2,4400,60,100,9
3,4405,55,100,9
4,4409,45,100,9
5,4414,70,100,9
6,4419,65,100,9
7,4424,25,100,70
8,4425,25,100,70
9,4426,25,100,70
10,4427,25,100,70
11,4428,25,100,70
12,4429,35,100,70
13,4430,35,100,70
14,4431,35,100,70
15,4432,35,100,70
16,4391,0,100,0
17,4396,0,100,0
18,4401,0,100,0
19,4407,0,100,0
20,4410,0,100,0
21,4415,0,100,0
22,4420,0,100,0
23,4392,0,100,0
24,4397,0,100,0
25,4402,0,100,0
26,4411,0,100,0
27,4416,0,100,0
28,4421,0,100,0
