"rownum","Id","Tag","rid","rid","rid","rid"
0,"fire","Fire",516,9072,10291,10747
1,"cold","Cold",517,9073,10292,10748
2,"lightning","Lightning",518,9074,10293,10749
3,"chaos","Chaos",519,9075,10294,10750
4,"spell","Spell",521,"","",""
5,"projectile","Projectile",520,9083,"",""
6,"bow","Bow",523,9077,"",""
7,"melee","Melee",522,9076,"",""
8,"minion","Minion",524,9071,"",""
9,"strength","",756,9079,"",10752
10,"dexterity","",757,9080,"",10753
11,"intelligence","",758,9081,"",10754
12,"aura","Aura",1064,9078,"",""
13,"attack","Attack","","","",""
14,"area","AoE",7942,9082,"",""
15,"duration","Duration",7941,"","",""
16,"support","Support",2226,2441,"",""
17,"curse","Curse",2031,"","",""
18,"chaining","Chaining","","","",""
19,"totem","Totem","","","",10756
20,"trap","Trap",8033,"","",""
21,"mine","Mine","","","",""
22,"movement","Movement",1261,"","",""
23,"cast","Cast","","","",""
24,"vaal","Vaal",2147,"","",10755
25,"active_skill","",2412,"","",""
26,"trigger","Trigger","","","",""
27,"warcry","Warcry",3179,"","",""
28,"golem","Golem",3183,"","",""
29,"low_max_level","","","","",""
30,"channelling","Channelling","","","",""
31,"herald","Herald",6168,"","",""
32,"brand","Brand","","","",""
33,"physical","Physical","","",10295,10751
34,"guard","Guard","","","",""
35,"travel","Travel","","","",""
36,"strike","Strike","","","",""
37,"blink","Blink","","","",""
38,"nova","Nova","","","",""
39,"banner","","","","",""
40,"slam","Slam","","","",""
41,"stance","Stance","","","",""
42,"hex","Hex",13132,"","",""
43,"mark","Mark","","","",""
44,"orb","Orb","","","",""
