"rownum","BlightTowersKey","i32","MonsterVarietiesKey","Cost","i32"
0,0,1,6869,0,0
1,1,1,6870,100,0
2,2,1,6871,150,0
3,3,1,6872,300,0
4,4,1,6873,500,0
5,5,1,6874,500,0
6,6,11,6875,100,0
7,7,11,6876,150,0
8,8,11,6877,300,0
9,9,11,6878,500,0
10,10,11,6879,500,0
11,11,45,6880,100,0
12,12,45,6881,150,0
13,13,45,6882,300,0
14,14,45,6883,500,0
15,15,45,6884,500,0
16,16,20,6885,100,0
17,17,20,6886,150,0
18,18,20,6887,300,0
19,19,20,6888,500,0
20,20,20,6889,500,0
21,21,6,6890,100,0
22,22,6,6891,150,0
23,23,6,6892,300,0
24,24,6,6893,500,0
25,25,6,6894,500,0
26,26,1,6895,100,0
27,27,1,6896,150,0
28,28,1,6897,300,0
29,29,1,6898,500,0
30,30,1,6899,500,0
