"rownum","Id","rid_8","[f32]_24","[rid]_40","[string]_56"
0,"FireSurgeMultiSpeed",4559,"[1,2,3]","[4559,4559,4559]","[""slow"",""medium"",""fast""]"
1,"ColdSurgeMultiSpeed",4976,"[1,2,3]","[4976,4976,4976]","[""slow"",""medium"",""fast""]"
2,"LightningSurgeMultiSpeed",4975,"[1,2,3]","[4975,4975,4975]","[""slow"",""medium"",""fast""]"
3,"FlameSurge3",2413,[],[],[]
4,"ColdSurge1",2426,[],[],[]
5,"GemlingColdSurge",2472,[],[],[]
6,"LightningSurge1",2427,[],[],[]
7,"ChaosSurge1",2428,[],[],[]
8,"HolySurge1",2437,[],[],[]
9,"PoisonSurge1",2438,[],[],[]
10,"AuraSurgeRed1",2432,[],[],[]
11,"AuraSurgePurple1",2434,[],[],[]
12,"AuraSurgeGreen1",2430,[],[],[]
13,"AuraSurgeLightGreen1",2431,[],[],[]
14,"AuraSurgeGolden1",2435,[],[],[]
15,"AuraSurgeBlue1",2433,[],[],[]
16,"FocusSurge",2518,[],[],[]
17,"VortexSurge",2634,[],[],[]
18,"HuntsmanAuraStart",2910,[],[],[]
19,"MadcapPhaseRunStart",2867,[],[],[]
20,"MoltenShellCast",3132,[],[],[]
21,"StygianMoltenShellCast",4039,[],[],[]
22,"MoltenShellCastViper",4996,[],[],[]
23,"VaalMoltenShellCast",3133,[],[],[]
24,"StygianVaalMoltenShellCast",4049,[],[],[]
25,"AuraSurgeOrange1",2436,[],[],[]
26,"MinionFocusFireSurge",3415,[],[],[]
27,"PolarisBlackAuraStart",3583,[],[],[]
28,"PolarisWhiteAuraStart",3584,[],[],[]
29,"FrenzyArrowBaseSurge",3648,[],[],[]
30,"ArrowBaseSurgeFire",3765,[],[],[]
31,"ArrowBaseSurgeIce",3766,[],[],[]
32,"ArrowBaseSurgeLightning",3767,[],[],[]
33,"ArrowBaseSurgePhys",3768,[],[],[]
34,"ArrowBaseSurgePhysRed",3769,[],[],[]
35,"ArrowBaseSurgeChaos",3770,[],[],[]
36,"BladeBurstSurge",3892,[],[],[]
37,"IllusionistBladeBlastSurgeEffect",3993,[],[],[]
38,"SawbladeBladeBlastSurgeEffect",4003,[],[],[]
39,"AuraSurgeScientist",3976,[],[],[]
40,"StygianSurgeNew",5225,[],[],[]
41,"DarkSurge",4065,[],[],[]
42,"AngelicAuraEffect",4070,[],[],[]
43,"DemonicAuraEffect",4071,[],[],[]
44,"MicrotransactionDragonHunterSurge",4075,[],[],[]
45,"DesecrateStygianSurge",4044,[],[],[]
46,"GhostflameSurge",2469,[],[],[]
