"rownum","ModsKey","i32_16","i32_20","i32_24"
0,22887,2,9,0
1,22888,10,14,0
2,22889,1,10,100
3,22897,11,15,50
4,22890,2,9,0
5,22891,1,10,50
6,22892,11,15,100
7,22803,11,15,10
8,22804,11,15,10
9,22805,11,15,10
10,22806,10,14,0
11,22807,15,30,0
12,22808,10,14,0
13,22809,15,30,0
14,22810,10,14,0
15,22811,15,30,0
16,22812,1,10,20
17,22813,11,15,20
18,22814,1,10,35
19,22815,11,15,35
20,22816,5,9,0
21,22817,1,10,50
22,22818,11,15,50
23,22819,2,9,0
24,22820,1,5,25
25,22821,6,10,25
26,22902,11,15,25
27,22822,5,9,0
28,22823,1,5,25
29,22824,6,15,25
30,22825,5,9,0
31,22826,1,10,25
32,22827,11,15,25
33,22828,2,9,0
34,22829,1,5,25
35,22830,6,10,25
36,22903,11,15,25
37,22831,5,9,0
38,22832,1,10,25
39,22833,11,15,25
40,22834,5,9,0
41,22835,1,10,25
42,22836,11,15,25
43,22837,2,9,0
44,22838,1,5,25
45,22839,6,10,25
46,22900,11,15,25
47,22840,5,9,0
48,22841,1,10,25
49,22842,11,15,25
50,22843,5,9,0
51,22844,1,10,25
52,22845,11,15,25
53,22846,2,9,0
54,22847,1,5,25
55,22848,6,10,25
56,22901,11,15,25
57,22849,1,5,25
58,22850,6,10,25
59,22851,11,15,25
60,22852,1,5,25
61,22853,6,10,25
62,22854,11,15,25
63,22855,1,9,0
64,22856,1,5,25
65,22857,6,10,25
66,22904,11,15,25
67,22858,3,5,0
68,22859,6,10,0
69,22860,11,15,0
70,22861,6,10,20
71,22862,11,15,20
72,22863,1,5,20
73,22864,6,10,20
74,22865,11,15,20
75,22866,3,5,10
76,22867,6,10,10
77,22868,11,15,10
78,22869,2,9,0
79,22870,1,10,100
80,22871,11,15,100
81,22872,6,10,25
82,22873,11,15,25
83,22874,6,10,25
84,22875,11,15,25
85,22876,6,10,25
86,22877,11,15,25
87,22878,6,10,0
88,22879,11,15,0
89,22880,3,5,10
90,22881,6,10,10
91,22899,11,15,10
92,22882,6,10,10
93,22883,11,15,10
94,22884,3,5,30
95,22885,6,10,30
96,22886,11,15,30
97,22893,2,9,0
98,22894,3,5,40
99,22895,6,10,40
100,22898,11,15,40
