"rownum","Id","BuffDefinitionsKeys","bool_24","BuffStacks","CharactersKey","StatsKeys","bool_61","StatValue","[rid]_66","bool_82"
0,"HasFority",[1894],"",1,"",[],"",1,[],""
1,"IsBurning",[],"",1,"",[3584],"",1,[],""
2,"IsCoveredInSpiders",[764],"",1,"",[],"",1,[],""
3,"HasWebbedX5",[825],"",5,"",[],"",1,[],""
4,"IsWebbed",[825],"",1,"",[],"",1,[],""
5,"HasGoddessBeam",[707],"",1,"",[],"",1,[],""
6,"IsFirebombed",[723],"",1,"",[],"",1,[],""
7,"HasGraspingVinesX10",[961],"",10,"",[],"",1,[],""
8,"HasCorruptedBloodX5",[],"",1,"",[1816],"",5,[],""
9,"HasPietysRage",[405],"",1,"",[],"",1,[],""
10,"IsJudged","[494,495]","",1,"",[],"",1,[],""
11,"IsWitch",[],"",1,1,[],"",1,[],""
12,"IsRanger",[],"",1,3,[],"",1,[],""
13,"IsMarauder",[],"",1,0,[],"",1,[],""
14,"IsTemplar",[],"",1,6,[],"",1,[],""
15,"IsDuelist",[],"",1,4,[],"",1,[],""
16,"IsShadow",[],"",1,5,[],"",1,[],""
17,"IsScion",[],"",1,2,[],"",1,[],""
18,"HasEffluentX10","[815,816,817]","",10,"",[],"",1,[],""
19,"HasRampage",[],"",1,"",[2329],"",1,[],""
20,"HasShrineBuff",[],"",1,"",[5699],"",1,[],""
21,"IsCursed",[],"",1,"",[718],"",1,[],""
22,"IsNotCursed",[],"",1,"",[718],"",0,[],""
23,"IsVulnerable",[77],"",1,"",[],"",1,[],""
24,"InSeaWitchBeam",[271],"",1,"",[],"",1,[],""
25,"HasTempleTempestBuff","[431,432,423,425,447,442,429,430]","",1,"",[],"",1,[],""
26,"HasTempleExposure",[1137],"",1,"",[],"",1,[],""
27,"AffectedByHereticalFlare",[22],"",1,"",[],"",1,[],""
28,"AffectedByDarkVortex",[871],"",1,"",[],"",1,[],""
29,"AffectedByMonsterConsecratedGround",[1238],"",1,"",[],"",1,[],""
30,"Rampage300",[315],"",299,"",[],"",1,[],""
31,"IsBleeding",[],"",1,"",[2034],"",1,[],""
32,"HasQuicksandX10",[929],"",10,"",[],"",1,[],""
33,"HasMortalCall",[108],"",1,"",[],"",1,[],""
34,"HasSapphireRingEquipped",[],"",1,"",[],"",1,[732],""
35,"HasTopazRingEquipped",[],"",1,"",[],"",1,[731],""
36,"HasSapphireRingAndTopazRingEquipped",[],"",1,"",[],"",1,"[731,732]",1
37,"IsBlinded",[],"",1,"",[968],"",1,[],""
38,"IsTaunted",[],"",1,"",[3417],"",1,[],""
39,"HasEmberstorm",[1608],"",1,"",[],"",1,[],""
40,"HasBoneRoil",[583],"",1,"",[],"",1,[],""
41,"HasDoedresTorment",[891],"",5,"",[],"",1,[],""
42,"HasDoedresWithering",[892],"",5,"",[],"",1,[],""
43,"HasDoedresSuffering",[893],"",5,"",[],"",1,[],""
44,"HasDivineShrine",[251],"",1,"",[],"",1,[],""
45,"HasCovetousShrine",[1963],"",1,"",[],"",1,[],""
46,"HasTemporalChains",[67],"",1,"",[],"",1,[],""
47,"HasConductivity",[71],"",1,"",[],"",1,[],""
48,"HasMoltenShell",[112],"",1,"",[],"",1,[],""
49,"HasTrialmasterTether",[1758],"",1,"",[],"",1,[],""
50,"AffectedByBearTrap",[159],"",1,"",[],"",1,[],""
51,"AffectedByToxicSwamp",[1722],"",1,"",[],"",1,[],""
52,"AffectedByScreechX4",[283],"",1,"",[],"",1,[],""
53,"HasRighteousFire",[13],"",1,"",[],"",1,[],""
54,"HasGlimpseOfInfinity",[1842],"",1,"",[],"",1,[],""
55,"HasIndifferenceOfTheCosmos",[1841],"",1,"",[],"",1,[],""
56,"IsPoisoned",[],"",1,"",[3672],"",1,[],""
57,"AffectedByTheBlackReaping",[1852],"",1,"",[],"",1,[],""
58,"AffectedByEnervation",[1862],"",1,"",[],"",1,[],""
59,"ActivatedEldritchAltarsWithWrathOfTheCosmosAllocatedX6",[2011],"",6,"",[],"",1,[],""
60,"IsChilled",[],"",1,"",[1801],"",1,[],""
61,"HasAnnihilatingLightX30",[1939],"",30,"",[],"",1,[],""
62,"HasCrushingDarknessX30",[1940],"",30,"",[],"",1,[],""
63,"HasCorrosiveHungerX50",[2013],"",50,"",[],"",1,[],""
64,"HasMavensPunishment","[1740,1741]","",1,"",[],"",1,[],""
65,"HasSearingRune",[2005],"",1,"",[],"",1,[],""
66,"HasDesolationoftheAwakener",[1421],"",1,"",[],"",1,[],""
67,"HasDecayandVortex","[697,995]",1,1,"",[],"",1,[],""
68,"PlayerinBreach",[],"",1,"",[8368],"",1,[],""
69,"HasShrineBuffX4",[],"",1,"",[5699],"",4,[],""
70,"KilledMetamorphin10seconds",[],"",1,"",[18408],"",1,[],""
71,"BestiaryAspects","[1010,1020,1013,1016]","",1,"",[],"",1,[],""
72,"HasMarkedForDeathX10",[2295],"",7,"",[],"",1,[],""
73,"AffectedByVoodooKingMysticMiasma",[2347],"",1,"",[],"",1,[],""
74,"HasActiveMercenary",[],"",1,"",[21276],"",1,[],""
