"rownum","Id","MonsterVarieties","i32_24","bool_28","i32_29","i32_33","bool_37","bool_38","bool_39"
0,"FireMeteor",[8868],999,"",4000,4000,"","",1
1,"FireMeteorUber",[8869],999,"",4000,4000,"","",1
2,"ColdRotatingBeam",[8870],1,"",800,0,1,"",""
3,"ColdRotatingBeamUber",[8871],1,"",800,0,1,"",""
4,"ChaosSoulrendPortal",[8872],999,"",6000,6000,"","",1
5,"ChaosSoulrendPortalUber",[8873],999,"",6000,6000,"","",1
6,"NamelessFrog","[8888,8889]",10,1,4000,4000,"","",""
7,"LightningPylon",[8874],16,"",50,0,"",1,""
8,"LightningPylonUber",[8875],16,"",50,0,"",1,""
9,"Necromantic1","[3790,3791,3792,3793,3794,3795,3796,3797,3798,3799,3800,3801,3804,3805,3806,3807,3808,3809,3810,3811]",4,1,6000,0,"","",1
10,"Necromantic2","[3790,3791,3792,3793,3794,3795,3796,3797,3798,3799,3800,3801,3804,3805,3806,3807,3808,3809,3810,3811]",5,1,5000,0,"","",1
11,"Necromantic3","[3790,3791,3792,3793,3794,3795,3796,3797,3798,3799,3800,3801,3803,3804,3805,3806,3807,3808,3809,3810,3811]",6,1,4000,0,"","",1
12,"Necromantic4","[3790,3791,3792,3793,3794,3795,3796,3797,3798,3799,3800,3801,3803,3804,3805,3806,3807,3808,3809,3810,3811]",7,1,3000,0,"","",1
13,"Vaal",[8876],1,"",800,0,1,"",""
14,"Golden",[8877],999,"",4000,0,"","",1
15,"PhysicalBleed",[8879],999,"",8000,0,"","",1
16,"PhysicalBleedUber",[8880],4,"",5000,0,"",1,1
17,"ChaosGreenVines",[8886],1,"",800,0,1,"",""
18,"GenericLifeQuicksand",[8883],999,"",2000,2000,"","",1
19,"GenericCharges",[8881],1,"",300,0,1,"",""
20,"GenericMassive",[8882],1,"",300,0,1,"",""
21,"GenericSpeed",[8878],1,"",300,0,1,"",""
22,"GenericFortify",[8884],999,"",5000,0,"","",1
23,"GenericEnergyShield",[8885],1,"",300,0,1,"",""
24,"UltimatumChaosCloud1",[9060],1,"",1000,0,"","",""
25,"UltimatumChaosCloud2",[9061],1,"",1000,0,"","",""
26,"UltimatumChaosCloud3",[9062],1,"",1000,0,"","",""
27,"UltimatumChaosCloud4",[9063],1,"",1000,0,"","",""
28,"UltimatumLightningRune1",[9064],3,"",50,0,"",1,1
29,"UltimatumLightningRune2",[9065],3,"",50,0,"",1,1
30,"UltimatumLightningRune3",[9065],5,"",50,0,"",1,1
31,"UltimatumLightningRune4",[9066],5,"",50,0,"",1,1
32,"UltimatumLightningRune1Trial",[9064],3,"",50,0,"","",""
33,"UltimatumLightningRune2Trial",[9065],3,"",50,0,"","",""
34,"UltimatumFlameSpitter1",[9095],2,"",50,0,"",1,1
35,"UltimatumFlameSpitter2",[9095],4,"",50,0,"",1,1
36,"UltimatumFlameSpitter3",[9096],4,"",50,0,"",1,1
37,"UltimatumFlameSpitter4",[9097],4,"",50,0,"",1,1
38,"UltimatumFlameSpitter1Trial",[9095],1,"",0,0,"",1,1
39,"UltimatumFlameSpitter2Trial",[9095],2,"",50,0,"",1,1
40,"UltimatumFlameSpitter3Trial",[9096],2,"",50,0,"",1,1
41,"UltimatumFlameSpitter4Trial",[9097],2,"",50,0,"",1,1
42,"UltimatumFrostInfection1",[9074],1,"",0,0,1,"",""
43,"UltimatumFrostInfection2",[9075],1,"",0,0,1,"",""
44,"UltimatumFrostInfection3",[9076],1,"",0,0,1,"",""
45,"UltimatumFrostInfection4",[9077],1,"",0,0,1,"",""
46,"UltimatumGraveyard1",[9092],2,"",50,0,"",1,1
47,"UltimatumGraveyard2",[9092],4,"",50,0,"",1,1
48,"UltimatumGraveyard3",[9093],4,"",50,0,"",1,1
49,"UltimatumGraveyard4",[9094],4,"",50,0,"",1,1
50,"UltimatumGraveyard1Trial",[9092],1,"",0,0,"",1,1
51,"UltimatumGraveyard2Trial",[9092],2,"",50,0,"",1,1
52,"UltimatumGraveyard3Trial",[9093],2,"",50,0,"",1,1
53,"UltimatumGraveyard4Trial",[9094],2,"",50,0,"",1,1
54,"UltimatumRevenant1",[9080],1,"",0,0,"",1,1
55,"UltimatumRevenant2",[9081],1,"",0,0,"",1,1
56,"UltimatumRevenant3",[9082],1,"",0,0,"",1,1
57,"UltimatumRevenant4",[9083],1,"",0,0,"",1,1
58,"UltimatumSawblade1",[9084],1,"",0,0,1,"",""
59,"UltimatumSawblade2",[9085],1,"",0,0,1,"",""
60,"UltimatumSawblade3",[9086],1,"",0,0,1,"",""
61,"UltimatumSawblade4",[9087],1,"",0,0,1,"",""
62,"UltimatumTotemPhys",[9099],1,"",0,0,"",1,1
63,"UltimatumTotemEle",[9100],1,"",0,0,"",1,1
64,"UltimatumAltarDaemon1",[9101],1,"",1000,0,1,1,""
65,"UltimatumAltarDaemon2",[9102],1,"",1000,0,1,1,""
