"rownum","Id","EssenceType","IsCorruptedEssence","WordsKey","rid_29"
0,"Hatred",1,"",2768,20068
1,"Woe",1,"",2769,20069
2,"Greed",1,"",2770,20070
3,"Contempt",1,"",2771,20071
4,"Sorrow",2,"",2772,20072
5,"Anger",2,"",2773,20073
6,"Torment",2,"",2774,20074
7,"Fear",2,"",2775,20075
8,"Suffering",3,"",2776,20076
9,"Rage",3,"",2778,20077
10,"Wrath",3,"",2777,20078
11,"Doubt",3,"",2779,20079
12,"Anguish",4,"",2780,20080
13,"Loathing",4,"",2781,20081
14,"Spite",4,"",2783,20082
15,"Zeal",4,"",2782,20083
16,"Misery",5,"",2784,20084
17,"Dread",5,"",2785,20085
18,"Scorn",5,"",2786,20086
19,"Envy",5,"",2787,20087
20,"Hysteria",6,1,2788,20088
21,"Insanity",6,1,2789,20089
22,"Horror",6,1,2790,20090
23,"Delirium",6,1,2791,20091
24,"NotEssence",0,"",2792,20092
