"rownum","BetrayalJobsKey","BetrayalTargetsKey","BetrayalRanksKey","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Description2","Description2 (French)","Description2 (German)","Description2 (Japanese)","Description2 (Korean)","Description2 (Portuguese)","Description2 (Russian)","Description2 (Spanish)","Description2 (Thai)","Description2 (Traditional Chinese)"
0,3,16,1,"Pilfering Torment Scarabs","Dérobe des Scarabées du Tourment","Stibitzt Torment-Skarabäen","トーメントスカラベの窃盗","훔쳐낸 고통 갑충석","Furtando Escaravelhos Atormentados","Разворовывает скарабеев Мучения","Hurtar escarabajos de tormento","ฉกชิงสคารับผีตายโหง","盜竊苦痛聖甲蟲","Pilfering Torment Scarabs","Dérobe des Scarabées du Tourment","Stibitzt Torment-Skarabäen","トーメントスカラベの窃盗","훔쳐낸 고통 갑충석","Roubando Escaravelhos do Tormento","Разворовывает скарабеев Мучения","Hurtar escarabajos de tormento","ฉกชิงสคารับผีตายโหง","盜竊苦痛聖甲蟲"
1,3,16,2,"Pilfering Torment Scarabs","Dérobe des Scarabées du Tourment","Stibitzt Torment-Skarabäen","トーメントスカラベの窃盗","훔쳐낸 고통 갑충석","Furtando Escaravelhos Atormentados","Разворовывает скарабеев Мучения","Hurtar escarabajos de tormento","ฉกชิงสคารับผีตายโหง","盜竊苦痛聖甲蟲","Pilfering Torment Scarabs","Dérobe des Scarabées du Tourment","Stibitzt Torment-Skarabäen","トーメントスカラベの窃盗","훔쳐낸 고통 갑충석","Roubando Escaravelhos do Tormento","Разворовывает скарабеев Мучения","Hurtar escarabajos de tormento","ฉกชิงสคารับผีตายโหง","盜竊苦痛聖甲蟲"
2,3,16,3,"Pilfering Torment Scarabs","Dérobe des Scarabées du Tourment","Stibitzt Torment-Skarabäen","トーメントスカラベの窃盗","훔쳐낸 고통 갑충석","Furtando Escaravelhos Atormentados","Разворовывает скарабеев Мучения","Hurtar escarabajos de tormento","ฉกชิงสคารับผีตายโหง","盜竊苦痛聖甲蟲","Pilfering Torment Scarabs","Dérobe des Scarabées du Tourment","Stibitzt Torment-Skarabäen","トーメントスカラベの窃盗","훔쳐낸 고통 갑충석","Roubando Escaravelhos do Tormento","Разворовывает скарабеев Мучения","Hurtar escarabajos de tormento","ฉกชิงสคารับผีตายโหง","盜竊苦痛聖甲蟲"
3,1,16,1,"Experimenting with Veiled Exalted Orbs","Mène des expérimentations avec des Orbes exaltés cryptés","Experimentiert mit Verhüllten Erhabenen Sphären","秘匿の高貴なオーブの実験","실험한 장막의 엑잘티드 오브","Testando Orbes Exaltados Ocultos","Экспериментирует со сферами скрытого возвышения","Experimentar con orbes exaltados encriptados","ทดลองกับ Veiled Exalted Orb","保護隱匿護甲","Smuggling Boots (Trapped Chests!)","Fait de la contrebande de Bottes (Coffres piégés !)","Schmuggelt Stiefel (Truhen mit Fallen!)","靴の密輸（トラップチェスト！）","밀수한 장화 (덫 상자!)","Contrabandeando Botas (Baús Trancados!)","Тайно провозит сапоги (ловушки в сундуках!)","Traficar con botas (¡Cofres atrapados!)","ลอบขนรองเท้า\r\n(หีบติดกับดัก!)","走私鞋子（陷阱寶箱！）"
4,1,16,2,"Experimenting with Veiled Exalted Orbs","Mène des expérimentations avec des Orbes exaltés cryptés","Experimentiert mit Verhüllten Erhabenen Sphären","秘匿の高貴なオーブの実験","실험한 장막의 엑잘티드 오브","Testando Orbes Exaltados Ocultos","Экспериментирует со сферами скрытого возвышения","Experimentar con orbes exaltados encriptados","ทดลองกับ Veiled Exalted Orb","保護隱匿護甲","Smuggling Boots (Trapped Chests!)","Fait de la contrebande de Bottes (Coffres piégés !)","Schmuggelt Stiefel (Truhen mit Fallen!)","靴の密輸（トラップチェスト！）","밀수한 장화 (덫 상자!)","Contrabandeando Botas (Baús Trancados!)","Тайно провозит сапоги (ловушки в сундуках!)","Traficar con botas (¡Cofres atrapados!)","ลอบขนรองเท้า\r\n(หีบติดกับดัก!)","走私鞋子（陷阱寶箱！）"
5,1,16,3,"Experimenting with Veiled Exalted Orbs","Mène des expérimentations avec des Orbes exaltés cryptés","Experimentiert mit Verhüllten Erhabenen Sphären","秘匿の高貴なオーブの実験","실험한 장막의 엑잘티드 오브","Testando Orbes Exaltados Ocultos","Экспериментирует со сферами скрытого возвышения","Experimentar con orbes exaltados encriptados","ทดลองกับ Veiled Exalted Orb","保護隱匿護甲","Smuggling Boots (Trapped Chests!)","Fait de la contrebande de Bottes (Coffres piégés !)","Schmuggelt Stiefel (Truhen mit Fallen!)","靴の密輸（トラップチェスト！）","밀수한 장화 (덫 상자!)","Contrabandeando Botas (Baús Trancados!)","Тайно провозит сапоги (ловушки в сундуках!)","Traficar con botas (¡Cofres atrapados!)","ลอบขนรองเท้า\r\n(หีบติดกับดัก!)","走私鞋子（陷阱寶箱！）"
6,2,16,1,"Guarding Veiled Equipment","Protège de l'équipement Crypté","Bewacht verhüllte Ausrüstung","ヴェール装備の警護","수호받는 장막 장비","Protegendo Equipamentos Ocultos","Охраняет завуалированное снаряжение","Custodiar equipamiento encriptado","เฝ้าไอเทมสวมใส่ผนึก","走私調和的武器（陷阱寶箱！）","Transporting Boots","Transporte des Bottes","Transportiert Stiefel","靴の輸送","수송 중인 장화","Transportando Botas","Перевозит сапоги","Transportar botas","ขนส่งรองเท้า","護送鞋子"
7,2,16,2,"Guarding Veiled Equipment","Protège de l'équipement Crypté","Bewacht verhüllte Ausrüstung","ヴェール装備の警護","수호받는 장막 장비","Protegendo Equipamentos Ocultos","Охраняет завуалированное снаряжение","Custodiar equipamiento encriptado","เฝ้าไอเทมสวมใส่ผนึก","走私調和的武器（陷阱寶箱！）","Transporting Boots","Transporte des Bottes","Transportiert Stiefel","靴の輸送","수송 중인 장화","Transportando Botas","Перевозит сапоги","Transportar botas","ขนส่งรองเท้า","護送鞋子"
8,2,16,3,"Guarding Veiled Equipment","Protège de l'équipement Crypté","Bewacht verhüllte Ausrüstung","ヴェール装備の警護","수호받는 장막 장비","Protegendo Equipamentos Ocultos","Охраняет завуалированное снаряжение","Custodiar equipamiento encriptado","เฝ้าไอเทมสวมใส่ผนึก","走私調和的武器（陷阱寶箱！）","Transporting Boots","Transporte des Bottes","Transportiert Stiefel","靴の輸送","수송 중인 장화","Transportando Botas","Перевозит сапоги","Transportar botas","ขนส่งรองเท้า","護送鞋子"
9,4,16,1,"Experimenting with Veiled Chaos Orbs","Mène des expérimentations avec des Orbes du chaos cryptés","Experimentiert mit Verhüllten Chaossphären","秘匿の混沌のオーブの実験","실험한 장막의 카오스 오브","Testando Orbes do Caos Ocultos","Экспериментирует со сферами скрытого хаоса","Experimentar con orbes exaltados encriptados","ทดลองกับ Veiled Chaos Orb","調查超越聖甲蟲","Gambling with Boots Properties","Joue avec les Propriétés des Bottes","Experimentiert mit Stiefel-Eigenschaften","靴の特性のギャンブル","장화 속성 도박","Apostando com Propriedades de Botas","Спекулирует на свойствах сапог","Apostar sobre las propiedades de las botas","เสี่ยงโชคกับคุณสมบัติของรองเท้า","用鞋子屬性博弈"
10,4,16,2,"Experimenting with Veiled Chaos Orbs","Mène des expérimentations avec des Orbes du chaos cryptés","Experimentiert mit Verhüllten Chaossphären","秘匿の混沌のオーブの実験","실험한 장막의 카오스 오브","Testando Orbes do Caos Ocultos","Экспериментирует со сферами скрытого хаоса","Experimentar con orbes exaltados encriptados","ทดลองกับ Veiled Chaos Orb","調查超越聖甲蟲","Gambling with Boots Properties","Joue avec les Propriétés des Bottes","Experimentiert mit Stiefel-Eigenschaften","靴の特性のギャンブル","장화 속성 도박","Apostando com Propriedades de Botas","Спекулирует на свойствах сапог","Apostar sobre las propiedades de las botas","เสี่ยงโชคกับคุณสมบัติของรองเท้า","用鞋子屬性博弈"
