"rownum","Stat","StatValue"
0,0,100
1,8119,600
2,9866,1
3,8733,10
4,8734,10
5,2454,10
6,9821,10
7,9822,10
8,5611,10
9,5749,10
10,3618,10
11,2312,100
12,3359,1
13,3358,1
14,5802,10
15,2310,7
16,3044,10
17,3045,8
18,4786,1
19,5825,1
20,8546,10
21,6547,5
22,13809,1
23,10307,1
24,9325,10
25,11760,1
26,13282,100
27,4945,0
28,10022,10
29,8451,4
30,11752,10
31,8064,1
32,12099,100
33,13484,10
34,13591,100
35,13592,100
36,13621,100
37,15851,100
38,13718,1
39,13762,100
40,14491,1
41,14551,10
42,15391,1
43,16096,100
44,16112,100
45,16940,1
46,16939,1
47,16108,1
48,16102,1
49,16106,1
50,16937,1
51,16637,10
52,16713,10
53,16779,10
54,16824,10
55,16927,0
56,2334,1
57,4929,1
58,16932,1
59,16980,100
60,17016,100
61,17011,100
62,17015,100
63,17060,10
64,17390,1
65,17660,1
66,18958,100
67,18959,100
68,18957,1
69,18960,1
70,18961,1
71,19855,1
72,13770,100
73,19857,1
74,13768,100
75,19858,1
76,13769,100
77,19802,100
78,19804,100
79,19803,100
80,20348,1
81,20612,10
82,20618,10
83,20832,1
84,20881,100
85,20880,1
86,20883,100
87,20882,100
88,20884,1
89,20885,10
90,20962,1
91,21023,1
92,21068,100
