"rownum","string_0","MapStatConditionsKeys","StatsKeys","AchievementItemsKeys","MapTierAchievementsKeys","bool_72","WorldAreasKeys","[string]_89"
0,"IIQGrind",[],[1036],[10773],[],1,[0],[]
1,"TierGrind",[],[9978],[10230],[],1,[0],[]
2,"LeaguestoneGrind",[10],[],[],[],1,[0],[]
3,"Twinned",[3],[],[],[28],1,[0],[]
4,"RareUnid","[1,4]",[],[],[27],1,[0],[]
5,"Rare8Mod","[1,8]",[],[],[],1,[0],[]
6,"Rare8ModRed","[1,8,18]",[],"[10271,9525,9716]",[],1,[0],[]
7,"ShaperInfluenceGrind",[13],[],[],[],1,[0],[]
8,"ElderInfluenceGrind",[14],[],[],[],1,[0],[]
9,"ShaperElderInfluenceGrind",[15],[],[],[],1,[0],[]
10,"ZanaMod",[11],[],[],[],1,[0],[]
11,"CraftedMods",[12],[],[],[],1,[0],[]
12,"Corrupted",[5],[],[],[],1,[0],[]
13,"AnySextant",[23],[],[],[],1,[0],[]
14,"NemesisSextant",[24],[],[],[],1,[0],[]
15,"GroundHasteSextant",[25],[],[],[],1,[0],[]
16,"NoReflectSextant",[26],[],[],[],1,[0],[]
17,"ExtraTeamMonstersSextant",[27],[],[],[],1,[0],[]
18,"BodyguardsSextant",[28],[],[],[],1,[0],[]
19,"BarrelSextant","[29,30,31,32,33,34]",[],[],[],"",[0],[]
20,"ConvertOnDeathSextant",[35],[],[],[],1,[0],[]
21,"OnslaughtIfHitRecentlySextant",[36],[],[],[],1,[0],[]
22,"QualityAffectsRaritySextant",[37],[],[],[],1,[0],[]
23,"CorruptedDropsSextant",[38],[],[],[],1,[0],[]
24,"MinStrongboxRaritySextant",[39],[],[],[],1,[0],[]
25,"PossessedRustedScarabSextant",[40],[],[],[],1,[0],[]
26,"PossessedPolishedScarabSextant",[41],[],[],[],1,[0],[]
27,"PossessedGildedScarabSextant",[42],[],[],[],1,[0],[]
28,"PossessedUniqueDropSextant",[44],[],[],[],1,[0],[]
29,"PossessedMapDropSextant",[45],[],[],[],1,[0],[]
30,"ShrineDurationSextant",[46],[],[],[],1,[0],[]
31,"CurrencyShardSextant",[47],[],[],[],1,[0],[]
32,"VaalMonstersSextant",[48],[],[],[],1,[0],[]
33,"BeyondSextant",[49],[],[],[],1,[0],[]
34,"TormentBetrayersSextant",[50],[],[],[],1,[0],[]
35,"TormentHereticsSextant",[51],[],[],[],1,[0],[]
36,"TormentGraverobbersSextant",[52],[],[],[],1,[0],[]
37,"CorruptEssenceSextant",[53],[],[],[],1,[0],[]
38,"LegionSextant","[23,55]",[],[],[],1,[0],[]
39,"Tempest",[54],[],[],[],1,[0],[]
40,"Total10Mods",[9],[],[1023],[],1,[0],[]
41,"HasQuality",[56],[],[],[],1,[0],[]
42,"RareDeliriumMap","[1,57]",[],[],[],1,[0],[]
43,"RareDeliriumMapMaxDelirium","[1,58]",[],[7101],[],1,[0],[]
44,"RareDeliriumMapMaxDelirium4ModsTier16","[1,58,6,21]",[],[8782],[],1,[0],[]
45,"TwinnedMapMaxDelirium","[3,58]",[],[],[],1,[0],[]
46,"RareMapAwakening8MaxDelirium","[1,59,58]",[],[],[],1,[0],[]
47,"ElderGuardianMapMaxDelirium","[60,58]",[],[],[],1,[0],[]
48,"8ModBlightedMap","[61,75,8]",[],[8947],[],1,[0],[]
49,"UniqueMap_HallOfGrandmasters",[],[],[4219],[],1,"[1006,871,795,1204]",[]
50,"UniqueMap_WhakawairuaTuahu",[],[],"[10465,8365,8815,9007,10188]",[],1,"[975,884,806,1116]",[]
51,"UniqueMap_VinktarSquare",[],[],"[4222,10466,8366,8816,9008,10189]",[],1,"[1014,923,1170]",[]
52,"UniqueMap_VaultsOfAtziri",[],[],"[10456,8356,8806,8998,10179]",[],1,"[951,858,781,1166]",[]
53,"UniqueMap_PutridCloister",[],[],"[10468,8368,8818,9010,10191]",[],1,"[953,1189]",[]
54,"UniqueMap_PoorjoysAsylum",[],[],"[10460,8360,8810,9002,10183]",[],1,"[1010,881,803,1186]",[]
55,"UniqueMap_PerandusManor",[],[],[],[],1,"[1022,912,1118]",[]
56,"UniqueMap_OlmecsSanctum",[],[],"[10463,8363,8813,9005,10186]",[],1,"[982,889,822,1156]",[]
57,"UniqueMap_ObasCursedTrove",[],[],"[10462,8362,8812,9004,10185]",[],1,"[1026,891,811,1223]",[]
58,"UniqueMap_MaoKun",[],[],"[10461,8361,8811,9003,10184]",[],1,"[1008,860,783,1173]",[]
59,"UniqueMap_MaelstromOfChaos",[],[],"[10457,8357,8807,8999,10180]",[],1,"[993,851,774,1144]",[]
60,"UniqueMap_HallowedGround",[],[],"[10469,8369,8819,9011,10192]",[],1,"[935,1146]",[]
61,"UniqueMap_DeathAndTaxes",[],[],"[10464,8364,8814,9006,10187]",[],1,"[1032,907,826,1225]",[]
62,"UniqueMap_CowardsTrial",[],[],"[10458,8358,8808,9000,10181]",[],1,"[1000,839,761,1201]",[]
63,"UniqueMap_CaerBlaidd",[],[],"[10467,8367,8817,9009,10190]",[],1,"[1019,874,1158]",[]
64,"UniqueMap_ActonsNightmare",[],[],"[10459,8359,8809,9001,10182]",[],1,"[1004,866,790,1218]",[]
65,"UniqueMap_DoryanisMachinarium",[],[],"[10472,8372,8822,9014,10195]",[],1,[1128],[]
66,"UniqueMap_TwilightTemple",[],[],"[10470,8370,8820,9012,10193]",[],1,[1178],[]
67,"UniqueMap_PillarsOfArun",[],[],"[10471,8371,8821,9013,10194]",[],1,[1154],[]
68,"VaalTemple",[],[],[],[],1,"[1062,930,837,1253]",[]
69,"TwinnedCaldera",[3],[],[],[],1,"[1052,933,1227]",[]
70,"TwinnedColosseum",[3],[],[],[],1,"[1053,934,1236]",[]
71,"TwinnedCore",[3],[],[],[],1,"[1054,932,1235]",[]
72,"TwinnedMalformation",[3],[],[],[],1,"[1015,905,1230]",[]
73,"TwinnedMaze",[3],[],[],[],1,"[1046,929,821,1127]",[]
74,"TwinnedMuseum",[3],[],[],[],1,"[1001,863,786,1188]",[]
75,"TwinnedNecropolis",[3],[],[],[],1,"[1031,906,825,1224]",[]
76,"TwinnedPalace",[3],[],[],[],1,"[1048,926,835,1242]",[]
77,"TwinnedPark",[3],[],[],[],1,[1229],[]
78,"TwinnedPhantasmagoria",[3],[],[],[],1,"[957,872,1138]",[]
79,"TwinnedPlaza",[3],[],[],[],1,"[1042,931,1240]",[]
80,"TwinnedScriptorium",[3],[],[],[],1,"[1043,1190]",[]
81,"TwinnedShrine",[3],[],[],[],1,"[1049,927,833,1232]",[]
82,"TwinnedTortureChamber",[3],[],[],[],1,"[1025,890,810,1222]",[]
83,"TwinnedWasteland",[3],[],[],[],1,"[1028,921,1196]",[]
84,"TwinnedAcademy",[3],[],[],[],1,"[952,915,831,1139]",[]
85,"TwinnedCarcass",[3],[],[],[],1,[1247],[]
86,"TwinnedTribunal",[3],[],[],[],1,[1148],[]
87,"TwinnedBoneCrypt",[3],[],[],[],1,"[981,888,787,1155]",[]
88,"TwinnedSepulchre",[3],[],[],[],1,[1179],[]
89,"TwinnedLair",[3],[],[],[],1,"[1038,1205]",[]
90,"TwinnedOvergrownShrine",[3],[],[],[],1,"[1003,865,789,1217]",[]
91,"TwinnedArsenal",[3],[],[],[],1,"[1012,920,771,1233]",[]
92,"TwinnedAcidLakes",[3],[],[],[],1,"[954,1237]",[]
93,"TwinnedCrimsonTemple",[3],[],[],[],1,[1239],[]
94,"TwinnedLookout",[3],[],[],[],1,[1092],[]
95,"TwinnedStrand",[3],[],[],[],1,"[974,883,805,1115]",[]
96,"TwinnedSpiderLair",[3],[],[],[],1,"[967,856,779,1133]",[]
97,"TwinnedJungleValley",[3],[],[],[],1,"[939,894,814,1137]",[]
98,"TwinnedVaalPyramid",[3],[],[],[],1,"[950,857,780,1165]",[]
99,"TwinnedOrchard",[3],[],[],[],1,"[1002,900,769,1202]",[]
100,"TwinnedSpiderForest",[3],[],[],[],1,"[973,869,793,1208]",[]
101,"TwinnedFactory",[3],[],[],[],1,"[941,1211]",[]
102,"TwinnedMesa",[3],[],[],[],1,"[963,1212]",[]
103,"TwinnedCastleRuins",[3],[],[],[],1,"[980,919,1219]",[]
104,"TwinnedMoonTemple",[3],[],[],[],1,[1177],[]
105,"TwinnedDarkForest",[3],[],[],[],1,"[1055,898,818,1238]",[]
106,"TwinnedTemple",[3],[],[],[],1,"[1009,880,802,1185]",[]
107,"TwinnedShipyard",[3],[],[],[],1,"[1036,917,832,1193]",[]
108,"TwinnedCursedCrypt",[3],[],[],[],1,"[999,838,760,1200]",[]
109,"TwinnedPrimordialPool",[3],[],[],[],1,"[966,1207]",[]
110,"TwinnedPit",[3],[],[],[],1,"[964,843,1213]",[]
111,"TwinnedVilla",[3],[],[],[],1,"[958,879,801,1221]",[]
112,"TwinnedRacecourse_",[3],[],[],[],1,"[971,1226]",[]
113,"TwinnedGhetto",[3],[],[],[],1,"[942,855,778,1228]",[]
114,"TwinnedCitySquare",[3],[],[],[],1,[1112],[]
115,"TwinnedPeninsula",[3],[],[8009],[],1,"[961,899,819,1107]",[]
116,"TwinnedVolcano",[3],[],[],[],1,"[1051,910,1121]",[]
117,"TwinnedArena",[3],[],[],[],1,"[988,864,1187]",[]
118,"TwinnedPort",[3],[],[],[],1,"[1016,1108]",[]
119,"TwinnedPrecinct",[3],[],[],[],1,"[1024,914,830,1197]",[]
120,"TwinnedPlateau",[3],[],[],[],1,"[1033,908,827,1182]",[]
121,"TwinnedCanyon",[3],[],[],[],1,"[969,897,817,1123]",[]
122,"TwinnedCourthouse",[3],[],[],[],1,[1114],[]
123,"TwinnedBurialChambers",[3],[],[8196],[],1,"[960,1109]",[]
124,"T10HellscapeMaps",[63],[],[8391],[],1,[0],[]
125,"AoEMinotaur",[64],[],[8384],[],1,"[1060,1251]",[]
126,"MinusMaxPhoenix",[65],[],[8385],[],1,"[1059,1250]",[]
127,"FleetChimera","[67,68,69]",[],[8386],[],1,"[1057,1248]",[]
128,"MultiProjHydra",[66],[],[8387],[],1,"[1058,1249]",[]
129,"SynthesisUniqueMapCortex",[],[],[8413],[],1,[455],[]
130,"SynthesisUniqueMapMemory1",[],[],[8413],[],1,[456],[]
131,"SynthesisUniqueMapMemory2",[],[],[8413],[],1,[457],[]
132,"SynthesisUniqueMapMemory3",[],[],[8413],[],1,[458],[]
133,"SynthesisUniqueMapMemory4",[],[],[8413],[],1,[459],[]
134,"MapWith4SextantMods",[70],[],[8645],[],1,[0],[]
135,"TangleInfluenceMap",[71],[],[8528],[],1,[0],[]
136,"CleansingFireInfluenceMap",[72],[],[8526],[],1,[0],[]
137,"WrithingInvitation5ModsHeightOfHubris","[7,73]",[],[8792],[],1,[1295],[]
138,"ScreamingInvitation5ModsHeightOfHubris","[7,73]",[],[8793],[],1,[1298],[]
139,"PolaricInvitation5ModsHeightOfHubris","[7,73]",[],[8794],[],1,[1296],[]
140,"IncandescentInvitation5ModsHeightOfHubris","[7,73]",[],[8795],[],1,[1297],[]
141,"EaterOfWorldsWith70PercentBossAoE",[74],[],[8858],[],1,[1298],[]
142,"5ModBlightRavagedMap","[7,62,75,5]",[],[8948],[],1,[0],[]
143,"MapExplicitModGrind",[],[4488],"[9047,10489]",[],1,[0],[]
144,"T168ModMap","[8,21,1]",[],[9077],[],1,[0],[]
145,"FinalTier14PlusAbyssMemoryLineMap","[78,79,81]",[],[9044],[],1,[0],[]
146,"FinalTier14PlusAmbushMemoryLineMap","[78,79,82]",[],[9039],[],1,[0],[]
147,"FinalTier14PlusAnarchyMemoryLineMap","[78,79,83]",[],[],[],1,[0],[]
148,"FinalTier14PlusBestiaryMemoryLineMap","[78,79,84]",[],[],[],1,[0],[]
149,"FinalTier14PlusBetrayalMemoryLineMap","[78,79,85]",[],[],[],1,[0],[]
150,"FinalTier14PlusBlightMemoryLineMap","[78,79,86]",[],[],[],1,[0],[]
151,"FinalTier14PlusBreachMemoryLineMap","[78,79,87]",[],[9042],[],1,[0],[]
152,"FinalTier14PlusDeliriumMemoryLineMap","[78,79,88]",[],[],[],1,[0],[]
153,"FinalTier14PlusDominationMemoryLineMap","[78,79,89]",[],[],[],1,[0],[]
154,"FinalTier14PlusEssenceMemoryLineMap","[78,79,90]",[],[9035],[],1,[0],[]
