"rownum","Oil","Tier","Achievements","UseType","NameShort","NameShort (French)","NameShort (German)","NameShort (Japanese)","NameShort (Korean)","NameShort (Portuguese)","NameShort (Russian)","NameShort (Spanish)","NameShort (Thai)","NameShort (Traditional Chinese)"
0,3694,0,[7721],1,"Tainted","Impure","Verderbt","汚染された","더럽혀진","Contaminado","Заражённое","Contaminado","Tainted","汙染"
1,3695,0,[],2,"Reflective","Réfléchissante","Spiegelnd","反射する","투영","Refletivo","Зеркальное","Reflector","Reflective","映像"
2,3696,0,[],0,"Prismatic","Prismatique","Prismatisch","多彩な","분광","Prismático","Радужное","Prismático","Prismatic","三相的"
3,3697,1,[7721],0,"Clear","Limpide","Klar","澄んだ","투명","Claro","Прозрачное","Claro","Clear","清透"
4,3698,2,[7721],0,"Sepia","Sépia","Sepiafarben","セピア色","적갈빛","Sépia","Коричневое","Sepia","Sepia","深褐"
5,3699,3,[7721],0,"Amber","Ambrée","Bernsteinfarben","琥珀色","호박색","Âmbar","Янтарное","Ámbar","Amber","琥珀"
6,3700,4,[7721],0,"Verdant","Émeraude","Grün","新緑色","신록빛","Verdejante","Изумрудное","Verde","Verdant","翠綠"
7,3701,5,[7721],0,"Teal","Turquoise","Blaugrün","青緑色","청록빛","Cerceta","Бирюзовое","Verde azulado","Teal","清綠"
8,3702,6,[7721],0,"Azure","Azurée","Azurblau","淡青色","담청색","Azul-Celeste","Лазурное","Azur","Azure","碧藍"
9,3703,7,[7721],0,"Indigo","Indigo","Indigofarben","藍色","남색","Índigo","Индиго","Índigo","Indigo","靛青"
10,3704,8,[7721],0,"Violet","Violette","Violett","スミレ色","보랏빛","Violeta","Фиолетовое","Violeta","Violet","奼紫"
11,3705,9,[7721],0,"Crimson","Carmin","Blutrot","深紅色","진홍색","Carmesim","Алое","Carmín","Crimson","緋紅"
12,3706,10,[7721],0,"Black","Ébène","Schwarz","黒色","검은색","Negro","Чёрное","Negro","Black","漆黑"
13,3707,11,[7721],0,"Opalescent","Opalescente","Opalisierend","乳白色","오팔색","Opalescente","Перламутровое","Opalescente","Opalescent","乳白"
14,3708,12,[7721],0,"Silver","Argentée","Silbern","銀色","은","Prateado","Серебряное","Plateado","Silver","純銀"
15,3709,13,[9999],0,"Golden","Dorée","Golden","金色","황금","Dourado","Золотое","Dorado","Golden","金黃"
