"rownum","MonsterVarietiesKey","Spirit_ModsKeys","Touched_ModsKeys","Possessed_ModsKeys","MinZoneLevel","MaxZoneLevel","SpawnWeight","SummonedMonster_MonsterVarietiesKey","i32_92","ModsKeys0","ModsKeys1","rid_128"
0,3790,[9194],"[9195,9371,9370,9375]","[9196,9287,9372,9374]",10,100,1000,"",145,[],[],9196
1,3791,[9197],"[9198,9371,9370,9375]","[9199,9285,9372,9374]",6,100,2500,"",145,[],[],9199
2,3792,[9200],"[9201,9371,9370,9375]","[9202,9287,9372,9374]",10,100,1000,3245,145,[],[],9202
3,3793,[9203],"[9204,9371,9370,9375]","[9205,9287,9372,9374]",10,100,1000,"",145,[],[],9205
4,3794,[9232],"[9233,9371,9370,9375]","[9234,9288,9372,9374]",30,100,500,"",145,[],[],9234
5,3795,[9245],"[9246,9371,9370,9375]","[9247,9287,9372,9374]",15,100,1000,"",8,[],[],9247
6,3796,"[9212,9213]","[9214,9371,9370,9375]","[9215,9287,9372,9374]",15,100,1000,1959,145,[],[],9215
7,3797,[9238],"[9239,9371,9370,9375]","[9240,9287,9372,9374]",6,100,1000,"",145,[],[],9240
8,3798,[9206],"[9207,9371,9370,9375]","[9208,9287,9372,9374]",20,100,1000,"",145,[],[],9208
9,3799,[9209],"[9210,9371,9370,9375]","[9211,9288,9372,9374]",30,100,500,305,145,[],[],9211
10,3800,[9216],"[9217,9371,9370,9375]","[9218,9285,9372,9374]",1,100,2500,"",145,[],[],9218
11,3801,[9219],"[9220,9371,9370,9375]","[9221,9285,9222,9372,9374]",1,100,2500,"",145,[],[],9221
12,3802,[],"[9223,9371,9370,9375]","[9224,9288,9372,9374]",60,100,1,"",145,[],[],9224
13,3803,[9225],"[9226,9371,9370,9375]","[9227,9288,9372,9374]",60,100,500,"",145,[],[],9227
14,3804,[9229],"[9230,9371,9370,9375]","[9231,9285,9372,9374]",1,100,2500,"",145,[],[],9231
15,3805,[9235],"[9236,9371,9370,9375]","[9237,9285,9372,9374]",6,100,2500,"",145,[],[],9237
16,3806,"[9241,9242]","[9243,9371,9370,9375]","[9244,9287,9372,9374]",20,100,1000,47,145,[],[],9244
17,3807,[9248],"[9249,9371,9370,9375]","[9250,9288,9372,9374]",40,100,500,"",10,[],[],9250
18,3808,[9254],"[9255,9371,9370,9375]","[9256,9287,9372,9374]",20,100,1000,"",145,[],[],9256
19,3809,[9257],"[9258,9371,9370,9375]","[9259,9285,9372,9374]",1,100,2500,"",145,[],[],9259
20,3810,[9261],"[9262,9371,9370,9375]","[9263,9287,9372,9374]",10,100,1000,"",145,[],[],9263
21,3811,[9264],"[9266,9371,9370,9375]","[9267,9265,9288,9372,9374]",40,100,500,"",145,[],[],9267
22,3814,[9268],"[9269,9371,9370,9375]","[9284,9270,9288,9372,9374]",1,100,0,"",145,[],[],9284
23,3812,[9271],"[9272,9371,9370,9375]","[9273,9286,9373,9374]",1,100,0,"",145,[],[],9273
24,3813,[9274],"[9275,9371,9370,9375]","[9276,9286,9373,9374]",1,100,0,"",145,[],[],9276
25,3815,[9277],"[9278,9371,9370,9375]","[9279,9285,9372,9374]",1,100,0,"",145,[],[],9279
26,3816,[9277],"[9278,9371,9370,9375]","[9280,9285,9372,9374]",1,100,0,"",145,[],[],9280
27,3817,[9277],"[9278,9371,9370,9375]","[9281,9285,9372,9374]",1,100,0,"",145,[],[],9281
28,3818,[9277],"[9278,9371,9370,9375]","[9282,9285,9372,9374]",1,100,0,"",145,[],[],9282
29,3819,[9277],"[9278,9371,9370,9375]","[9283,9285,9372,9374]",1,100,0,"",145,[],[],9283
30,3820,[20629],"[20630,9371,9370,9375]","[20631,9288,9372,9374]",68,100,0,4056,145,[],[],20631
31,3821,[20626],"[20627,9371,9370,9375]","[20628,9288,9372,9374]",68,100,0,"",145,[],[],20628
32,3822,[20632],"[20633,9371,9370,9375]","[20634,9288,9372,9374]",68,100,0,"",145,[],[],20634
