"rownum","rid","[rid]","[rid]","[rid]","[rid]","i32"
0,18080,[],[],[1928],[],3
1,9899,[],[],[1120],[],3
2,9898,[],[],[1119],[],3
3,4125,[],[],[556],[],3
4,4166,[],[],[558],[],3
5,13256,[],[],[1441],[],3
6,10736,[],[],[849],[],3
7,17649,[2583],[],[],[],3
8,18144,[],[],[],"[568,569]",3
9,18212,[3597],[],[],[],3
10,18417,[],[],[1951],[],3
11,10265,[],[],[491],[],3
12,18640,"[1728,1729,74]",[],[],[],3
13,18918,[3597],[],[],[],3
14,4135,[],[],[581],[],3
15,18989,[7251],[],[],[],3
16,18990,[7252],[],[],[],3
17,18991,[7253],[],[],[],3
18,18385,[],[],[],[589],1
19,18698,[],[],[],[608],1
20,19050,[],[],[2049],[],3
21,19314,"[7378,7379,7380]","[1355,1356]",[],[648],3
22,12136,[],[],[1343],[],3
23,19121,[7313],[],[2039],[],3
24,19038,[],[],[2032],[],3
