"rownum","Id","Icon","IsGeneric","Weight","i32","i32"
0,"Cold","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconCold","",100,23,0
1,"LightningSkeletons","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightning","",100,24,0
2,"Physical","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPhysical","",100,25,0
3,"MinionSpiders","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconMinion","",100,26,0
4,"FireDogs","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFire","",100,22,0
5,"GenericZombies","",1,100,21,0
6,"GenericRhoas","",1,100,21,0
7,"GenericDemons","",1,100,21,0
8,"GenericBandits","",1,100,21,0
9,"GenericTemplars","",1,100,21,0
10,"GenericGoatman","",1,100,21,0
11,"GenericSkeletons","",1,100,21,0
12,"GenericMonkeys","",1,100,21,0
13,"GenericUndying","",1,100,21,0
14,"GenericSeawitches","",1,100,21,0
15,"GenericBlackguard","",1,100,21,0
16,"GenericSnakes","",1,100,21,0
17,"GenericKitavaDemons","",1,100,21,0
18,"GenericCannibals","",1,100,21,0
19,"GenericGladiators","",1,100,21,0
20,"GenericCrabs","",1,100,21,0
21,"GenericBossOnly","",1,0,-16843010,-16843010
22,"BossOnlyFire","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFire","",0,-16843010,-16843010
23,"BossOnlyCold","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconCold","",0,-16843010,-16843010
24,"BossOnlyLightning","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightning","",0,-16843010,-16843010
25,"BossOnlyPhysical","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPhysical","",0,-16843010,-16843010
26,"BossOnlyMinion","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconMinion","",0,-16843010,-16843010
27,"GigaChest","","",0,-16843010,-16843010
