"rownum","HideoutArea","HASH16","HideoutFile","SpawnAreas","ClaimSideArea","HideoutImage","IsEnabled","Weight","Rarity","NotActsArea","Name","[i32]","bool","bool","bool","rid","string"
0,1543,-157,"Metadata/Terrain/Missions/Hideouts/Forest/decoration.hideout",[37],1542,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/LushHideout",1,10000,0,"","Lush Hideout",[],"",1,1,"",""
1,1523,2401,"Metadata/Terrain/Missions/Hideouts/Archaeological/decoration.hideout",[1241],1524,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/TrenchHideout",1,33,3,1,"Robber's Trench Hideout",[],"",1,1,"",""
2,1571,28470,"Metadata/Terrain/Missions/Hideouts/Battleground/decoration.hideout",[1203],1572,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BattlescarredHideout",1,200,1,1,"Battle-scarred Hideout",[],"",1,1,"",""
3,1567,-32051,"Metadata/Terrain/Missions/Hideouts/Beach/decoration.hideout",[1143],1568,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CoastalHideout",1,200,1,1,"Coastal Hideout",[],"",1,1,"",""
4,1573,8897,"Metadata/Terrain/Missions/Hideouts/Library/decoration.hideout",[1139],1574,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/EnlightenedHideout",1,200,1,1,"Enlightened Hideout",[],"",1,1,"",""
5,1577,-2673,"Metadata/Terrain/Missions/Hideouts/Gardens/decoration.hideout",[1202],1578,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/OvergrownHideout",1,100,2,1,"Overgrown Hideout",[],"",1,1,"",""
6,1575,13485,"Metadata/Terrain/Missions/Hideouts/Solaris/decoration.hideout",[1132],1576,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ImmaculateHideout",1,200,1,1,"Immaculate Hideout",[],"",1,1,"",""
7,1569,-20336,"Metadata/Terrain/Missions/Hideouts/Fellshrine/decoration.hideout",[1094],1570,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/UnearthedHideout",1,200,1,1,"Unearthed Hideout",[],"",1,1,"",""
8,1565,-2901,"Metadata/Terrain/Missions/Hideouts/Slums/decoration.hideout",[1111],1566,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BackstreetHideout",1,200,1,1,"Backstreet Hideout",[],"",1,1,"",""
9,1545,29226,"Metadata/Terrain/Missions/Hideouts/Sewers/decoration.hideout",[51],1544,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/UndercityHideout",1,10000,0,"","Undercity Hideout",[],"",1,1,"",""
10,1549,-10001,"Metadata/Terrain/Missions/Hideouts/Mine/decoration.hideout",[65],1548,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ExcavatedHideout",1,10000,0,"","Excavated Hideout",[],"",1,1,"",""
11,1535,31968,"Metadata/Terrain/Missions/Hideouts/Courts/decoration.hideout","[77,78]",1536,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/StatelyHideout",1,10000,0,"","Stately Hideout",[],"",1,1,"",""
12,1526,18035,"Metadata/Terrain/Missions/Hideouts/Coral/decoration.hideout",[99],1525,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CoralHideout",1,10000,0,"","Coral Hideout",[],"",1,1,"",""
13,1551,6122,"Metadata/Terrain/Missions/Hideouts/RuinedTemple/decoration.hideout",[108],1550,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BalefulHideout",1,10000,0,"","Baleful Hideout",[],"",1,1,"",""
14,1553,750,"Metadata/Terrain/Missions/Hideouts/Oasis/decoration.hideout",[140],1552,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DesertHideout",1,10000,0,"","Desert Hideout",[],"",1,1,"",""
15,1533,-4301,"Metadata/Terrain/Missions/Hideouts/Ossuary/decoration.hideout",[158],1534,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/SkeletalHideout",1,10000,0,"","Skeletal Hideout",[],"",1,1,"",""
16,1531,-10164,"Metadata/Terrain/Missions/Hideouts/Baths/decoration.hideout",[124],1532,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/LuxuriousHideout",1,10000,0,"","Luxurious Hideout",[],"",1,1,"",""
