"rownum","InfluenceMod","UpgradedMod","HighestTier"
0,15008,25087,1
1,15009,25088,1
2,15010,15011,""
3,15011,25089,1
4,15012,15013,""
5,15013,25090,1
6,15014,15015,""
7,15015,25091,1
8,15016,25092,1
9,15018,25093,1
10,15020,15021,""
11,15021,25094,1
12,15022,15023,""
13,15023,25095,1
14,15024,25096,1
15,15025,15026,""
16,15026,25097,1
17,15027,15028,""
18,15028,25098,1
19,15029,15030,""
20,15030,25099,1
21,15031,15032,""
22,15032,25100,1
23,15033,15034,""
24,15034,25101,1
25,15035,15036,""
26,15036,25102,1
27,15037,15038,""
28,15038,25103,1
29,15039,15040,""
30,15040,25104,1
31,15041,15042,""
32,15042,25105,1
33,15043,15044,""
34,15044,25106,1
35,21192,21193,""
36,21193,25107,1
37,21268,21269,""
38,21269,25108,1
39,21270,25109,1
40,21274,21275,""
41,21275,25112,1
42,21276,25113,1
43,21277,21278,""
44,21278,25114,1
45,21279,21280,""
46,21280,25115,1
47,21281,21282,""
48,21282,25116,1
49,21283,25117,1
50,21284,25118,1
51,21285,21286,""
52,21286,21287,""
53,21287,25119,1
54,21288,21289,""
55,21289,25120,1
56,21290,25121,1
57,21291,21292,""
58,21292,25122,1
59,21293,21294,""
60,21294,25123,1
61,21295,25124,1
62,21296,21297,""
63,21297,25125,1
64,21298,25126,1
65,21299,25127,1
66,21300,25128,1
67,21301,21302,""
68,21302,25129,1
69,21303,25130,1
70,21304,21305,""
71,21305,25131,1
72,21306,21307,""
73,21307,25132,1
74,21308,21309,""
75,21309,25133,1
76,21310,21311,""
77,21311,25134,1
78,21312,21313,""
79,21313,25135,1
80,21314,25137,1
81,21315,25138,1
82,21316,21317,""
83,21317,25139,1
84,21318,21319,""
85,21319,25140,1
86,21320,21321,""
87,21321,25141,1
88,21322,21323,""
89,21323,25142,1
90,14941,14942,""
91,14942,14943,""
92,14943,25143,1
93,14944,14945,""
94,14945,14946,""
95,14946,25144,1
96,14947,14948,""
97,14948,25145,1
98,14949,14950,""
99,14950,14951,""
100,14951,25146,1
101,14952,14953,""
102,14953,14954,""
103,14954,25147,1
104,14958,14959,""
105,14959,14960,""
106,14960,25149,1
107,14961,14962,""
108,14962,14963,""
109,14963,25150,1
110,14964,14965,""
111,14965,14966,""
112,14966,25151,1
113,14967,14968,""
114,14968,14969,""
115,14969,25152,1
116,14970,14971,""
117,14971,14972,""
118,14972,25153,1
119,14973,14974,""
120,14974,14975,""
121,14975,25154,1
122,14976,14977,""
123,14977,25155,1
124,14978,25156,1
125,14979,14980,""
126,14980,14981,""
127,14981,25157,1
128,14982,14983,""
129,14983,14984,""
130,14984,25158,1
131,14985,14986,""
132,14986,14987,""
133,14987,25159,1
134,14988,14989,""
135,14989,14990,""
136,14990,25160,1
137,14991,14992,""
138,14992,14993,""
139,14993,25161,1
140,14994,14995,""
141,14995,25162,1
142,14996,14997,""
143,14997,25163,1
144,14998,14999,""
145,14999,25164,1
146,15000,15001,""
147,15001,15002,""
148,15002,25165,1
149,15003,15004,""
150,15004,15005,""
151,15005,25166,1
152,15006,25167,1
153,15007,25168,1
154,21081,21082,""
155,21082,25169,1
156,21188,21189,""
157,21189,25170,1
158,21194,21195,""
159,21195,25172,1
160,21196,25173,1
161,21197,21198,""
162,21198,25174,1
163,21199,21200,""
164,21200,25175,1
165,21201,25176,1
166,21202,21203,""
167,21203,21204,""
168,21204,25177,1
169,21205,21206,""
170,21206,21207,""
171,21207,25178,1
172,21208,21209,""
173,21209,21210,""
174,21210,25179,1
175,21211,25180,1
176,21212,21213,""
177,21213,25181,1
178,21214,21215,""
179,21215,21216,""
180,21216,25182,1
181,21217,21218,""
182,21218,25183,1
183,21219,25184,1
184,21220,21221,""
185,21221,21222,""
186,21222,25185,1
187,21223,21224,""
188,21224,25186,1
189,21225,25187,1
190,21226,21227,""
191,21227,21228,""
192,21228,25188,1
193,21229,21230,""
194,21230,25189,1
195,21231,21232,""
196,21232,25190,1
197,21233,25191,1
198,21234,25192,1
199,21235,21237,""
200,21237,25193,1
201,21239,21240,""
202,21240,25195,1
203,21241,21242,""
204,21242,25196,1
205,21243,21244,""
206,21244,25197,1
207,21245,21246,""
208,21246,25198,1
209,21247,21248,""
210,21248,21249,""
211,21249,25199,1
212,21250,21251,""
213,21251,21252,""
214,21252,25200,1
215,21253,21254,""
216,21254,21255,""
217,21255,25201,1
218,21256,21257,""
219,21257,21258,""
220,21258,25202,1
221,21259,21260,""
222,21260,21261,""
223,21261,25203,1
224,21262,25204,1
225,21263,21264,""
226,21264,25205,1
227,21265,25206,1
228,21266,25207,1
229,21267,25208,1
230,14878,14879,""
231,14879,14880,""
232,14880,25209,1
233,14881,14882,""
234,14882,14883,""
235,14883,25210,1
236,14884,14885,""
237,14885,14886,""
238,14886,25211,1
239,14887,25212,1
240,14888,14889,""
241,14889,14890,""
242,14890,25213,1
243,14891,14892,""
244,14892,14893,""
245,14893,25214,1
246,14894,14895,""
247,14895,14896,""
248,14896,25215,1
249,14897,25216,1
250,14902,14903,""
251,14903,14904,""
252,14904,25219,1
253,14905,14906,""
254,14906,14907,""
255,14907,25220,1
256,14908,14909,""
257,14909,14910,""
258,14910,25221,1
259,14911,14912,""
260,14912,14913,""
261,14913,25222,1
262,14914,14915,""
263,14915,14916,""
264,14916,25223,1
265,14917,14918,""
266,14918,14919,""
267,14919,25224,1
268,14920,14921,""
269,14921,14922,""
270,14922,25225,1
271,14923,14924,""
272,14924,25226,1
273,14927,14928,""
274,14928,14929,""
275,14929,25227,1
276,14930,14931,""
277,14931,25228,1
278,14932,14933,""
279,14933,14934,""
280,14934,25229,1
281,14935,14936,""
282,14936,14937,""
283,14937,25230,1
284,14938,14939,""
285,14939,14940,""
286,14940,25231,1
287,18420,18421,""
288,18421,25232,1
289,18434,18435,""
290,18435,25233,1
291,18449,18450,""
292,18450,25234,1
293,18465,18466,""
294,18466,25235,1
295,21072,21073,""
296,21073,21074,""
297,21074,25236,1
298,21117,21118,""
299,21118,25237,1
300,21121,21122,""
301,21122,25239,1
302,21123,21124,""
303,21124,25240,1
304,21125,21126,""
305,21126,25241,1
306,21127,25242,1
307,21128,25243,1
308,21129,21130,""
309,21130,21131,""
310,21131,25244,1
311,21132,21133,""
312,21133,21134,""
313,21134,25245,1
314,21135,25246,1
315,21136,21137,""
316,21137,21138,""
317,21138,25247,1
318,21139,21140,""
319,21140,21141,""
320,21141,25248,1
321,21142,21143,""
322,21143,21144,""
323,21144,25249,1
324,21145,21146,""
325,21146,21147,""
326,21147,25250,1
327,21148,25251,1
328,21149,21150,""
329,21150,25252,1
330,21151,25253,1
331,21152,21153,""
332,21153,25254,1
333,21154,21155,""
334,21155,25255,1
335,21156,21157,""
336,21157,25256,1
337,21158,21159,""
338,21159,25257,1
339,21160,21161,""
340,21161,25258,1
341,21162,21163,""
342,21163,21164,""
343,21164,25259,1
344,21165,21166,""
345,21166,25260,1
346,21167,21168,""
347,21168,25261,1
348,21169,25262,1
349,21170,25263,1
350,21171,25264,1
351,21172,25265,1
352,21173,21174,""
353,21174,25266,1
354,21176,21177,""
355,21177,25267,1
356,21178,21179,""
357,21179,25268,1
358,21180,21181,""
359,21181,25269,1
360,21182,21183,""
361,21183,25270,1
362,21184,21185,""
363,21185,25271,1
364,21186,21187,""
365,21187,25272,1
366,21404,25273,1
367,14840,25274,1
368,14841,25275,1
369,14842,25276,1
370,14843,25277,1
371,14844,25278,1
372,14845,25279,1
373,14846,25280,1
374,14847,14848,""
375,14848,14849,""
376,14849,25281,1
377,14850,14851,""
378,14851,14852,""
379,14852,25282,1
380,14853,14854,""
381,14854,14855,""
382,14855,25283,1
383,14856,14857,""
384,14857,14858,""
385,14858,25284,1
386,14859,14860,""
387,14860,25285,1
388,14861,14862,""
389,14862,25286,1
390,14863,14864,""
391,14864,14865,""
392,14865,25287,1
393,14866,14867,""
394,14867,14868,""
395,14868,25288,1
396,14869,14870,""
397,14870,14871,""
398,14871,25289,1
399,14872,14873,""
400,14873,14874,""
401,14874,25290,1
402,14875,25291,1
403,14876,25292,1
404,14877,25293,1
405,21046,25294,1
406,21047,25295,1
407,21048,21049,""
408,21049,25296,1
409,21052,21053,""
410,21053,25298,1
411,21054,21055,""
412,21055,25299,1
413,21056,21057,""
414,21057,21058,""
415,21058,25300,1
416,21059,21060,""
417,21060,21061,""
418,21061,25301,1
419,21062,21063,""
420,21063,21064,""
421,21064,25302,1
422,21065,21066,""
423,21066,25303,1
424,21067,25304,1
425,21068,25305,1
426,21069,25306,1
427,21070,21071,""
428,21071,25307,1
429,21075,21076,""
430,21076,25308,1
431,21077,21078,""
432,21078,25309,1
433,21079,21080,""
434,21080,25310,1
435,21083,25311,1
436,21084,25312,1
437,21085,25313,1
438,21086,21087,""
439,21087,25314,1
440,21088,21089,""
441,21089,25315,1
442,21090,25316,1
443,21091,21092,""
444,21092,21093,""
445,21093,25317,1
446,21094,21095,""
447,21095,21096,""
448,21096,25318,1
449,21097,21098,""
450,21098,25319,1
451,21099,21100,""
452,21100,25320,1
453,21101,25321,1
454,21102,25322,1
455,21103,21104,""
456,21104,25323,1
457,21105,21106,""
458,21106,25324,1
459,21107,21108,""
460,21108,21109,""
461,21109,25325,1
462,21110,25326,1
463,21111,21112,""
464,21112,25327,1
465,21113,21114,""
466,21114,25328,1
467,21115,21116,""
468,21116,25329,1
469,21272,21273,""
470,21273,25111,1
471,14898,25217,1
472,25088,25088,1
473,25089,25089,1
474,25090,25090,1
475,25091,25091,1
476,25092,25092,1
477,25093,25093,1
478,25094,25094,1
479,25095,25095,1
480,25096,25096,1
481,25097,25097,1
482,25098,25098,1
483,25099,25099,1
484,25100,25100,1
485,25101,25101,1
486,25102,25102,1
487,25103,25103,1
488,25104,25104,1
489,25105,25105,1
490,25106,25106,1
491,25107,25107,1
492,25108,25108,1
493,25109,25109,1
494,25112,25112,1
495,25113,25113,1
496,25114,25114,1
497,25115,25115,1
498,25116,25116,1
499,25117,25117,1
500,25118,25118,1
501,25119,25119,1
502,25120,25120,1
503,25121,25121,1
504,25122,25122,1
505,25123,25123,1
506,25124,25124,1
507,25125,25125,1
508,25126,25126,1
509,25127,25127,1
510,25128,25128,1
511,25129,25129,1
512,25130,25130,1
513,25131,25131,1
514,25132,25132,1
515,25133,25133,1
516,25134,25134,1
517,25135,25135,1
518,25136,25136,1
519,25138,25138,1
