"rownum","GrantedEffectsKey","StatsKeys","StatsValuesPermille","[rid]","[rid]"
0,0,[18291],[100],[],[]
1,1,[18291],[100],[],[]
2,2,[18291],[100],[],[]
3,3193,[18291],[100],[],[]
4,60,[18291],[150],[],[]
5,61,[18291],[150],[],[]
6,62,[18291],[150],[],[]
7,72,[18291],[150],[],[]
8,102,[3576],[2000],[],[]
9,103,[3576],[2000],[],[]
10,104,[3576],[2000],[],[]
11,109,[5708],[200],[],[]
12,110,[5708],[200],[],[]
13,111,[5708],[200],[],[]
14,175,[5371],[1000],[],[]
15,176,[20530],[50],[],[]
16,177,[5371],[1000],[],[]
17,11355,[5371],[1000],[],[]
18,198,[177],[1000],[],[]
19,199,[177],[1000],[],[]
20,200,[177],[1000],[],[]
21,249,[3335],[2000],[],[]
22,261,[7941],[1000],[],[]
23,262,[8431],[2000],[],[]
24,263,[19090],[200],[],[]
25,271,[7915],[250],[],[]
26,272,[7915],[250],[],[]
27,273,[7915],[250],[],[]
28,293,[9729],[1500],[],[]
29,294,[19527],[1000],[],[]
30,295,[9729],[1500],[],[]
31,307,[70],[500],[],[]
32,308,[70],[500],[],[]
33,309,[70],[500],[],[]
34,344,"[9733,9734]","[100,100]",[],[]
35,345,"[9733,9734]","[100,100]",[],[]
36,346,"[9733,9734]","[100,100]",[],[]
37,352,[4281],[750],[],[]
38,353,[16403],[2500],[],[]
39,354,[18291],[100],[],[]
40,372,[18998],[200],[],[]
41,373,[1127],[100],[],[]
42,374,[18998],[200],[],[]
43,11416,[18998],[200],[],[]
44,584,[42],[500],[],[]
45,585,[70],[500],[],[]
46,589,[497],[500],[],[]
47,587,[497],[500],[],[]
48,591,[175],[500],[],[]
49,593,[49],[500],[],[]
50,595,[84],[1000],[],[]
51,596,[618],[500],[],[]
52,598,[56],[500],[],[]
53,618,[165],[50],[],[]
54,619,[165],[50],[],[]
55,620,[7386],[750],[],[]
56,633,[5708],[100],[],[]
57,634,[5708],[100],[],[]
58,635,[5708],[100],[],[]
59,11367,[5708],[100],[],[]
60,649,[8432],[250],[],[]
61,654,[18291],[150],[],[]
62,655,[18291],[150],[],[]
63,656,[18291],[150],[],[]
64,701,[3601],[500],[],[]
65,702,[3601],[500],[],[]
66,703,[3601],[500],[],[]
67,708,[216],[3000],[],[]
68,709,[216],[3000],[],[]
69,710,[20391],[-250],[],[]
70,715,[553],[1000],[],[]
71,717,[95],[500],[],[]
72,718,[478],[500],[],[]
73,720,[9021],[500],[],[]
74,722,[9022],[500],[],[]
75,723,[63],[500],[],[]
76,725,[186],[500],[],[]
77,726,[1249],[1000],[],[]
78,727,[186],[500],[],[]
79,735,[186],[500],[],[]
80,878,[18995],[100],[],[]
81,879,[18995],[100],[],[]
82,880,[18995],[100],[],[]
83,3197,[18995],[100],[],[]
84,895,[3824],[500],[],[]
85,897,[959],[2000],[],[]
86,898,[1127],[100],[],[]
87,899,[959],[2000],[],[]
88,916,[497],[500],[],[]
89,917,[1785],[500],[],[]
90,919,[2093],[1000],[],[]
91,920,[164],[50],[],[]
92,921,[2093],[1000],[],[]
93,930,[9774],[5000],[],[]
94,931,[95],[2000],[],[]
95,932,[9774],[5000],[],[]
96,939,[12532],[2000],[],[]
97,950,[3335],[2000],[],[]
98,951,[3335],[2000],[],[]
99,952,[3335],[2000],[],[]
100,962,[175],[2000],[],[]
101,963,[175],[2000],[],[]
102,964,[175],[2000],[],[]
103,978,[16451],[500],[],[]
104,979,[16451],[500],[],[]
105,980,[16451],[500],[],[]
106,1016,[356],[50000],[],[]
107,1017,[19551],[2000],[],[]
108,1018,[356],[50000],[],[]
109,1027,[489],[500],[],[]
110,1028,[526],[350],[],[]
111,1030,[525],[500],[],[]
112,1031,[216],[500],[],[]
113,1033,[11497],[100],[],[]
114,1034,[11497],[100],[],[]
115,1035,[11497],[100],[],[]
116,1067,[2022],[1000],[],[]
117,1090,[620],[-1000],[],[]
118,1100,[12538],[250],[],[]
119,1107,[12347],[50000],[],[]
120,1112,[2022],[1000],[],[]
121,1126,[12537],[250],[],[]
122,1134,[729],[250],[],[]
123,1139,[20709],[500],[],[]
124,1169,[216],[1000],[],[]
125,1170,[216],[1000],[],[]
126,1171,[216],[1000],[],[]
127,1174,[216],[1000],[],[]
128,1206,[546],[50],[],[]
129,1207,[546],[50],[],[]
130,1208,[546],[50],[],[]
131,1210,[546],[50],[],[]
132,286,[3335],[1000],[],[]
133,288,[215],[1000],[],[]
134,1238,[5806],[1000],[],[]
135,1239,[3824],[1000],[],[]
136,1240,[5806],[1000],[],[]
137,1253,[12845],[2000],[],[]
138,1254,[19250],[2500],[],[]
139,1255,[12845],[2000],[],[]
140,11404,[12845],[2000],[],[]
141,1268,[618],[500],[],[]
142,1270,[487],[500],[],[]
143,1271,[20680],[500],[],[]
144,1273,[49],[500],[],[]
145,1274,[42],[500],[],[]
146,1276,[616],[500],[],[]
147,1277,[159],[1000],[],[]
148,1278,[6038],[500],[],[]
149,1279,[342],[500],[],[]
150,1280,[18291],[100],[],[]
151,1281,[18291],[100],[],[]
152,1282,[12379],[100],[],[]
153,11406,[18291],[100],[],[]
154,1424,[18995],[50],[],[]
155,1425,[172],[100],[],[]
156,1426,[18995],[50],[],[]
157,3525,[17259],[500],[],[]
158,3526,[19372],[10000],[],[]
159,3527,[17259],[500],[],[]
160,3529,[17259],[500],[],[]
161,1483,[658],[2000],[],[]
162,1487,[215],[1000],[],[]
163,1488,[215],[1000],[],[]
164,1500,[3479],[500],[],[]
165,1501,[11666],[150],[],[]
166,1502,[3479],[500],[],[]
167,1503,[3479],[500],[],[]
168,1823,[6034],[1000],[],[]
169,1824,[6034],[1000],[],[]
170,1825,[6034],[1000],[],[]
171,1841,[788],[100],[],[]
172,1842,[19579],[50],[],[]
173,1843,[788],[100],[],[]
174,11402,[788],[100],[],[]
175,1852,[433],[2000],[],[]
176,1858,[433],[2000],[],[]
177,1862,[141],[250],[],[]
178,1864,[433],[2000],[],[]
179,1871,[433],[2000],[],[]
180,1872,[433],[2000],[],[]
181,1877,[433],[2000],[],[]
182,1884,[433],[2000],[],[]
183,1878,[433],[2000],[],[]
184,1887,[433],[2000],[],[]
185,1888,[433],[2000],[],[]
186,1893,[433],[2000],[],[]
187,1900,[433],[2000],[],[]
188,1909,[433],[2000],[],[]
189,1919,[7799],[1000],[],[]
190,1920,[7799],[1000],[],[]
191,1921,[7799],[1000],[],[]
192,1927,[2656],[500],[],[]
193,1928,[1931],[250],[],[]
194,1934,[433],[2000],[],[]
195,1937,[433],[2000],[],[]
196,1938,[12835],[100],[],[]
197,1939,[497],[500],[],[]
198,1941,[497],[500],[],[]
199,1942,[25],[500],[],[]
200,1943,[24],[500],[],[]
201,1944,[1340],[500],[],[]
202,1954,[1787],[500],[],[]
203,1957,[9985],[1000],[],[]
204,1959,[5708],[100],[],[]
205,1960,[5708],[100],[],[]
206,1961,[5708],[100],[],[]
207,1971,[19477],[1000],[],[]
208,11415,[19477],[1000],[],[]
209,1977,[356],[200000],[],[]
210,1978,[356],[50000],[],[]
211,1979,[8431],[4000],[],[]
212,1980,[356],[50000],[],[]
213,1991,[679],[1000],[],[]
214,1992,[311],[4000],[],[]
215,1993,[311],[4000],[],[]
216,1994,[311],[4000],[],[]
217,2052,[19477],[1000],[],[]
218,2053,[19477],[1000],[],[]
219,2100,[18995],[100],[],[]
220,2101,[18995],[100],[],[]
221,2102,[18995],[150],[],[]
222,2133,[14769],[500],[],[]
223,2135,[10705],[4000],[],[]
224,2136,[10705],[4000],[],[]
225,2137,[10705],[4000],[],[]
226,11405,[10705],[4000],[],[]
227,2149,[5708],[100],[],[]
228,2150,[5708],[100],[],[]
229,2151,[5708],[100],[],[]
230,2175,[172],[50],[],[]
231,2176,[1127],[100],[],[]
232,2177,[172],[50],[],[]
233,3196,[172],[50],[],[]
234,2202,[215],[1000],[],[]
235,11399,[215],[1000],[],[]
236,2214,[175],[2000],[],[]
237,2215,[19244],[2000],[],[]
238,2216,[175],[2000],[],[]
239,2258,[1340],[500],[],[]
240,2261,[42],[500],[],[]
241,2262,[49],[500],[],[]
242,2263,[56],[500],[],[]
243,2265,[11792],[500],[],[]
244,2268,[497],[500],[],[]
245,2269,[175],[500],[],[]
246,2270,[207],[-1000],[],[]
247,2283,[206],[-1000],[],[]
248,2291,[205],[-1000],[],[]
249,2317,[18291],[100],[],[]
250,2318,[18291],[100],[],[]
251,2320,[3335],[1000],[],[]
252,2387,[1230],[500],[],[]
253,2388,[19077],[250],[],[]
254,2389,[1230],[500],[],[]
255,2400,[433],[500],[],[]
256,2446,[1359],[500],[],[]
257,2448,[25],[500],[],[]
258,2451,[433],[500],[],[]
259,2453,[1249],[500],[],[]
260,2454,[952],[100],[],[]
261,2455,[952],[100],[],[]
262,2456,[952],[100],[],[]
263,2467,[209],[500],[],[]
264,2468,[10208],[100],[],[]
265,2476,[461],[0],[],[]
266,2477,[2022],[500],[],[]
267,2513,[2280],[100],[],[]
268,2514,[2280],[100],[],[]
269,2515,[2280],[100],[],[]
270,2516,[2280],[100],[],[]
271,2590,[9273],[1000],[],[]
272,2591,[555],[1000],[],[]
273,2592,[2602],[500],[],[]
274,2593,[25],[500],[],[]
275,2594,[311],[1000],[],[]
276,2595,[231],[5000],[],[]
277,2610,[4156],[750],[],[]
278,2611,[4156],[750],[],[]
279,2612,[4156],[750],[],[]
280,2614,[6458],[250],[],[]
281,2654,[177],[1000],[],[]
282,2677,[340],[1000],[],[]
283,2705,[616],[2000],[],[]
284,2706,[616],[2000],[],[]
285,2707,[616],[2000],[],[]
286,2709,[19184],[500],[],[]
287,2710,[19184],[500],[],[]
288,2711,[19184],[500],[],[]
289,2718,[19184],[500],[],[]
290,2782,[497],[500],[],[]
291,2783,[2961],[-500],[],[]
292,2786,[2475],[3000],[],[]
293,2788,[12966],[-500],[],[]
294,2789,[1840],[1000],[],[]
295,2796,[5713],[100],[],[]
296,2797,[5713],[50],[],[]
297,2798,[5713],[100],[],[]
298,11401,[5713],[100],[],[]
299,2856,[231],[5000],[],[]
300,2858,[144],[500],[],[]
301,2862,[146],[500],[],[]
302,2866,[148],[500],[],[]
303,2870,[12575],[750],[],[]
304,2871,[12575],[750],[],[]
305,2872,[12575],[750],[],[]
306,2883,[433],[500],[],[]
307,2943,[12985],[50],[],[]
308,2944,[8000],[100],[],[]
309,2945,[12985],[50],[],[]
310,2946,[24],[1000],[],[]
311,2996,[18995],[50],[],[]
312,2997,[3441],[200],[],[]
313,2998,[18995],[50],[],[]
314,3021,[26],[500],[],[]
315,3022,[3598],[1500],[],[]
316,3023,[11976],[2000],[],[]
317,3024,[3598],[1500],[],[]
318,3057,[2042],[1000],[],[]
319,3058,[19049],[500],[],[]
320,3059,[2042],[1000],[],[]
321,3079,[231],[5000],[],[]
322,3087,[216],[1000],[],[]
323,3121,[4409],[500],[],[]
324,3130,[4409],[500],[],[]
325,3135,[12406],[2500],[],[]
326,3136,[2104],[100],[],[]
327,3137,[12406],[2500],[],[]
328,3203,[7799],[1000],[],[]
329,3524,[2270],[250],[],[]
330,3555,"[215,3335]","[1000,1000]",[],[]
331,3556,"[215,3335]","[1000,1000]",[],[]
332,3729,[175],[2000],[],[]
333,3730,[18998],[200],[],[]
334,3731,[175],[2000],[],[]
335,3764,[843],[2000],[],[]
336,3765,[6501],[15000],[],[]
337,3766,[5708],[100],[],[]
338,3767,[11892],[1000],[],[]
339,3768,[11409],[250],[],[]
340,3769,[12845],[2000],[],[]
341,3777,[12539],[250],[],[]
342,3981,[95],[2000],[],[]
343,3982,[95],[2000],[],[]
344,3983,[18291],[100],[],[]
345,4309,[2505],[50],[],[]
346,4310,[2505],[50],[],[]
347,4311,[2505],[50],[],[]
348,4322,[3335],[2000],[],[]
349,4323,[3335],[2000],[],[]
350,4324,[3335],[2000],[],[]
351,4328,[3335],[2000],[],[]
352,4329,[3335],[2000],[],[]
353,4330,[3335],[2000],[],[]
354,4421,[3335],[2000],[],[]
355,4423,[3335],[2000],[],[]
356,4425,[8084],[1000],[],[]
357,4426,[8084],[1000],[],[]
358,4427,[8084],[1000],[],[]
359,4437,[26],[500],[],[]
360,4446,[2542],[1000],[],[]
361,4454,[5121],[1000],[],[]
362,4455,[12845],[2000],[],[]
363,4456,[18348],[1000],[],[]
364,4459,[5121],[1000],[],[]
365,4460,[12845],[2000],[],[]
366,4461,[3335],[2000],[],[]
367,4464,[5121],[1000],[],[]
368,4465,[12845],[2000],[],[]
369,4466,[3335],[2000],[],[]
370,4506,[2071],[1000],[],[]
371,4508,[447],[750],[],[]
372,4509,[447],[750],[],[]
373,4510,[447],[750],[],[]
374,4527,[3335],[2000],[],[]
375,4524,[3015],[500],[],[]
376,4578,[3335],[2000],[],[]
377,10427,[461],[0],[],[]
378,4665,[3335],[500],[],[]
379,4666,[3335],[500],[],[]
380,4667,[11640],[2000],[],[]
381,4713,[19245],[200],[],[]
382,4714,[19245],[200],[],[]
383,4715,[19245],[200],[],[]
384,4716,[2948],[1000],[],[]
385,4735,[18995],[100],[],[]
386,4736,[3186],[500],[],[]
387,4737,[18995],[100],[],[]
388,4786,[1652],[100],[],[]
389,4787,[2912],[1000],[],[]
390,4788,[6265],[100000],[],[]
391,4790,[172],[100],[],[]
392,4791,[172],[100],[],[]
393,4792,[172],[100],[],[]
394,4832,[24],[500],[],[]
395,4848,[18032],[250],[],[]
396,4849,[12029],[2000],[],[]
397,4850,[18032],[250],[],[]
398,4855,[1871],[1000],[],[]
399,4856,[1871],[1000],[],[]
400,4857,[1871],[1000],[],[]
401,4864,[4156],[750],[],[]
402,4865,[4156],[750],[],[]
403,4866,[4156],[750],[],[]
404,4943,[177],[500],[],[]
405,4953,[18998],[50],[],[]
406,4954,[18998],[50],[],[]
407,4955,[18998],[50],[],[]
408,4975,[175],[2000],[],[]
409,4976,[5708],[200],[],[]
410,4977,[175],[2000],[],[]
411,4985,[7937],[50],[],[]
