"rownum","Id","rid","rid","rid","i32","rid","i32","rid","[rid]","[i32]"
0,"MicrotransactionBreachHandOnKill","",0,2,-1082227215,"",1,"",[],[]
1,"MicrotransactionSkySwordOnKill","",1,2,-1632239980,"",1,"",[],[]
2,"MicrotransactionBirdsOnRareKill","",2,2,-414153804,"",1,"",[],[]
3,"MicrotransactionMoltenLiquifyOnKill","",3,2,-1810810129,"",1,"",[],[]
4,"MicrotransactionBloodAndGoreOnKill","",4,2,-189694165,"",1,"",[],[]
5,"RaijuScourgeLightningOnKill","",5,1,-1006113272,"",0,"",[],[]
6,"MicrotransactionBloodGolemBeamOnKill","","",3,111394361,0,0,"",[],[]
7,"MicrotransactionCordycepBowOnKill","",6,3,-1853401870,"",0,"",[],[]
8,"MicrotransactionStatueOnKill","",7,4,1768826260,"",2,"",[],[]
9,"MicrotransactionAnchorDropOnKill","",8,2,817073343,"",1,"",[],[]
10,"MicrotransactionSharkAttackOnKill","",9,2,995650503,"",1,"",[],[]
11,"MicrotransactionTentacleConsumeOnKill","",10,2,689328310,"",1,"",[],[]
12,"MicrotransactionDragonFireOnKill","",11,2,-893620649,"",1,"",[],[]
13,"MicrotransactionBlackHoleOnKill","",12,2,203057589,"",1,"",[],[]
14,"MicrotransactionVaalPalmHoleOnKill","",13,4,299289212,"",2,"",[],[]
15,"MicrotransactionCelestialEmperorOnKill","",14,2,-196548243,"",1,"",[],[]
16,"MicrotransactionBlackstarMeteorOnKill","",15,2,-2088551413,"",1,"",[],[]
17,"MicrotransactionNecroticFlamesOnKill","",16,2,223926138,"",1,"",[],[]
18,"MicrotransactionAesirZeusLightningOnKill","",17,2,1920265919,"",1,"",[],[]
19,"MicrotransactionSulphiteShatterOnKill","",18,2,-1939535325,"",1,"",[],[]
20,"MicrotransactionVoodooKingGlovesOnKillNormal","",19,6,-69527404,"",0,"",[],[]
21,"MicrotransactionVoodooKingGlovesOnKillMagic","",20,7,870416627,"",0,"",[],[]
22,"MicrotransactionVoodooKingGlovesOnKillRare","",21,8,919553805,"",0,"",[],[]
23,"MicrotransactionVoodooKingGlovesOnKillUnique","",22,9,1415584878,"",0,"",[],[]
24,"MicrotransactionSandwraithMastodon",24,23,5,-1603682859,"",0,19584,[],[]
25,"MicrotransactionSandwraithBeam","","",3,1674253101,1,0,"",[],[]
26,"NightLotusRareUniqueOnKill","",25,1,-584874154,"",0,19558,[],[]
27,"LocustOnKillEffect","",26,2,-16813829,"",1,"",[],[]
28,"MicrotransactionChaosOrbFinisher","",27,2,260879709,"",1,"",[],[]
29,"MicrotransactionExaltedOrbFinisher","",28,2,-587511722,"",1,"",[],[]
30,"MicrotransactionVaalOrbFinisher","",29,2,-1664522803,"",1,"",[],[]
31,"MicrotransactionMirrorFinisher","",30,2,-2028515942,"",1,"",[],[]
32,"MicrotransactionShaperSlamFinisher","",31,4,-2043092856,"",2,"",[],[]
33,"HeadhunterOnRareKill",32,"",2,2086966525,"",0,"",[],[]
34,"DivineArtilleryStrikeRareOnKill","",33,2,-1336172176,"",1,"",[],[]
35,"MicrotransactionIceShatterFinisher","",34,2,1581560275,"",1,"",[],[]
36,"MicrotransactionPillarOfFlameOnKill","",35,2,-2007568898,"",1,"",[],[]
37,"MtxEldritchHungerArmourHelmetKillstreak","","",3,-444187267,"",0,"",[0],[1]
38,"SolarGuardianBackAttachmentKillstreak","","",3,-815262299,"",0,"",[1],[1]
39,"MTXCrabArmourCrabsOnKill","",36,1,793311404,"",0,"",[],[]
40,"MtxMultislashOnKill","",37,2,1016456034,"",1,"",[],[]
41,"MtxIonCannonOnKill","",38,4,1609154388,"",2,"",[],[]
42,"MtxBloodCycloneOnKill","",39,2,1510511601,"",1,"",[],[]
43,"MtxKaruiElbowDrop","",40,4,-87103003,"",2,"",[],[]
44,"MtxKaomGroundnPound","",41,4,-1852142174,"",2,"",[],[]
45,"MtxVerisiumKnight","",42,4,-381305331,"",2,"",[],[]
46,"MtxExplodingHeart","",43,2,1675240250,"",1,"",[],[]
47,"MicrotransactionHokoRareFinisher","",44,2,561894318,"",1,"",[],[]
