"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","Tier","i32","i32","bool"
0,1092,8441,"",12,1,5,""
1,1093,8294,"",14,1,5,""
2,1094,8308,"",5,6,10,""
3,1095,8307,"",2,6,10,""
4,1268,8353,"",11,1,5,""
5,1096,8431,"",15,1,5,""
6,1097,8433,"",0,1,5,""
7,1098,8292,"",8,1,5,""
8,1099,8298,"",0,1,5,""
9,1100,8299,"",2,1,5,""
10,1101,8302,"",3,1,5,""
11,1102,8439,"",0,6,10,""
12,1103,8425,"",3,1,5,""
13,1104,8396,"",3,1,5,""
14,1105,8368,"",0,1,5,""
15,1106,8389,"",10,6,10,""
16,1107,8313,"",0,1,5,""
17,1108,8362,"",11,6,10,""
18,1109,8312,"",10,1,5,""
19,1110,8335,"",4,6,10,""
20,1111,8289,"",13,1,5,""
21,1112,8436,"",8,6,10,""
22,1113,8432,"",4,1,5,""
23,1114,8437,"",12,11,15,""
24,1115,8328,"",3,1,5,""
25,1116,10043,"",3,0,0,""
26,1117,8367,"",7,6,10,""
27,1119,8301,"",11,1,5,""
28,1120,8384,"",13,6,10,""
29,1121,8397,"",0,1,5,""
30,1122,8383,"",16,11,15,""
31,1123,8321,"",0,11,15,""
32,1263,8372,"",0,1,5,""
33,1265,8366,"",0,1,5,""
34,1266,8393,"",11,1,5,""
35,1267,8388,"",0,1,5,""
36,1269,8317,"",8,1,5,""
37,1270,8325,"",7,1,5,""
38,1124,8435,"",0,6,10,""
39,1125,8430,"",10,1,5,""
40,1126,8422,"",9,1,5,""
41,1127,8391,"",14,1,5,""
42,1128,12792,"",14,0,0,1
43,1129,8300,"",7,1,5,""
44,1130,8303,"",9,6,10,""
45,1131,8330,"",5,6,10,""
46,1132,8378,"",0,6,10,""
47,1133,8319,"",9,6,10,""
48,1134,8343,"",0,1,5,""
49,1135,8423,"",4,1,5,""
50,1136,8429,"",5,1,5,""
51,1137,8293,"",8,1,5,""
52,1138,8309,"",0,11,15,""
53,1139,8305,"",15,6,10,""
54,1140,8329,"",0,1,5,""
55,1141,8331,"",0,1,5,""
56,1142,8337,"",13,1,5,""
57,1143,8345,"",5,1,5,""
58,1144,9546,"",5,0,0,""
59,1145,8342,"",4,11,15,""
60,1146,12552,"",4,0,0,""
61,1147,8371,"",10,6,10,""
62,1148,8424,"",11,6,10,""
63,1149,8418,"",9,6,10,""
64,1150,8374,"",0,6,10,""
65,1151,8379,"",14,6,10,""
66,1152,8326,"",8,1,5,""
67,1153,8314,"",2,1,5,""
68,1154,12793,"",2,0,0,""
69,1155,8334,"",1,6,10,""
70,1156,9722,"",1,0,0,""
71,1157,8364,"",15,6,10,""
72,1158,12165,"",15,0,0,""
73,1159,8363,"",1,11,15,""
74,1160,8339,"",0,6,10,""
75,1161,8365,"",0,6,10,""
76,1162,8440,"",0,11,15,""
77,1163,8434,"",12,11,15,""
78,1164,8403,"",0,6,10,""
79,1165,8304,"",4,11,15,""
80,1166,8452,"",4,0,0,""
81,1167,8323,"",12,6,10,""
82,1168,8358,"",3,1,5,""
83,1169,8360,"",5,11,15,""
84,1170,10795,"",5,0,0,1
85,1171,8338,"",0,6,10,""
86,1172,8347,"",6,0,0,""
87,1173,9658,"",6,0,0,""
88,1174,8348,"",2,0,0,""
89,1176,8392,"",0,6,10,""
90,1177,8428,"",4,6,10,""
91,1178,12791,"",4,0,0,""
92,1179,8443,"",16,11,15,""
93,1180,8320,"",0,11,15,""
94,1181,8311,"",0,11,15,""
95,1182,8377,"",5,6,10,""
96,1183,8375,"",6,6,10,""
97,1184,8381,"",4,6,10,""
98,1185,8357,"",14,6,10,""
99,1186,9641,"",14,0,0,""
100,1187,8340,"",0,6,10,""
101,1188,8351,"",12,6,10,""
102,1189,12551,"",12,0,0,""
103,1190,8387,"",1,6,10,""
104,1191,8427,"",1,6,10,""
105,1193,8380,"",0,11,15,""
106,1194,8419,"",6,6,10,""
107,1195,8332,"",8,0,0,""
108,1196,8373,"",0,6,10,""
109,1197,8369,"",0,11,15,""
110,1198,8341,"",3,6,10,""
111,1199,8346,"",11,0,0,""
112,1200,8350,"",7,0,0,""
113,1201,9565,"",7,0,0,""
114,1202,8352,"",16,6,10,""
115,1203,8355,"",6,6,10,""
116,1204,10794,"",6,0,0,""
117,1205,8382,"",2,11,15,""
118,1206,8336,"",5,6,10,""
119,1207,8318,"",0,6,10,""
120,1208,8327,"",7,6,10,""
121,1209,8349,"",14,11,15,""
122,1210,8390,"",0,6,10,""
123,1211,8295,"",0,6,10,""
124,1212,8315,"",4,0,0,""
125,1213,8316,"",15,6,10,""
126,1215,8421,"",6,11,15,""
127,1216,8416,"",5,11,15,""
128,1217,8354,"",3,6,10,""
129,1218,9608,"",3,0,0,""
130,1219,8333,"",6,0,0,""
131,1220,8291,"",16,11,15,""
132,1221,8310,"",0,6,10,""
133,1222,8370,"",0,11,15,""
134,1223,9662,"",10,0,0,""
135,1224,8376,"",12,6,10,""
136,1225,9876,"",12,0,0,""
137,1226,8324,"",7,11,15,""
138,1227,8398,"",13,11,15,""
139,1228,8296,"",0,6,10,""
140,1229,8426,"",0,6,10,""
141,1230,8361,"",10,11,15,""
142,1231,8385,"",15,11,15,""
143,1232,8395,"",0,11,15,""
144,1233,8359,"",0,6,10,""
145,1234,8297,"",13,11,15,""
146,1235,8400,"",0,11,15,""
147,1236,8399,"",6,11,15,""
148,1237,8306,"",0,11,15,""
149,1238,8402,"",2,11,15,""
150,1239,8442,"",0,11,15,""
151,1240,8386,"",0,11,15,""
152,1241,8438,"",10,11,15,""
153,1242,8394,"",9,11,15,""
154,1243,8417,"",2,11,15,""
155,1244,8420,"",9,11,15,""
156,1245,8415,"",0,11,15,""
157,1246,8356,"",0,11,15,""
158,1247,8414,"",2,11,15,""
159,1261,8322,"",0,0,0,""
160,1262,8344,"",7,0,0,""
161,1271,8401,"",8,0,0,""
162,1248,8404,"",16,0,0,1
163,1249,8405,"",16,0,0,1
164,1251,8406,"",16,0,0,1
165,1250,8407,"",16,0,0,1
166,1253,8409,"",16,0,0,1
167,1259,8290,"",3,0,0,""
168,1273,8450,"",17,0,0,1
169,1274,8449,"",17,0,0,1
170,1275,8451,"",17,0,0,1
171,1276,8447,"",17,0,0,1
172,1277,8448,"",17,0,0,1
