"rownum","Id","Description","Item","rid","MapStats","i32","IsCatalyst","HASH16","CatalystMod"
0,"JewelleryElementalQuality","Quality (Elemental Damage Modifiers)",291,0,[],1,1,-25689,21026
1,"JewelleryCasterQuality","Quality (Caster Modifiers)",292,1,[],1,1,-19106,21027
2,"JewelleryAttackQuality","Quality (Attack Modifiers)",293,2,[],1,1,28831,21028
3,"JewelleryDefensesQuality","Quality (Defence Modifiers)",294,3,[],1,1,105,21029
4,"JewelleryResourceQuality","Quality (Life and Mana Modifiers)",295,4,[],1,1,-14402,21030
5,"JewelleryResistanceQuality","Quality (Resistance Modifiers)",296,5,[],1,1,-8934,21031
6,"JewelleryAttributeQuality","Quality (Attribute Modifiers)",297,6,[],1,1,14740,21032
7,"JewelleryPhysicalChaosQuality","Quality (Physical and Chaos Damage Modifiers)",298,7,[],1,1,32181,21033
8,"JewellerySpeedQuality_","Quality (Speed Modifiers)",299,8,[],1,1,6015,21034
9,"JewelleryCriticalQuality","Quality (Critical Modifiers)",300,9,[],1,1,11749,21035
10,"MapRarityQuality","Quality (Rarity)",26,"",[1238],3,"",-25591,""
11,"MapPackSizeQuality","Quality (Pack Size)",27,"",[1021],1,"",-4143,""
12,"MapDivinationCardQuality","Quality (Divination Cards)",28,"",[20477],5,"",-1415,""
13,"MapScarabQuality","Quality (Scarabs)",29,"",[20315],5,"",-27134,""
14,"MapCurrencyQuality","Quality (Currency)",30,"",[20316],5,"",-1843,""
