"rownum","Id","MonsterTypesKey","i32","ObjectSize","MinimumAttackDistance","MaximumAttackDistance","ACTFiles","AOFiles","BaseMonsterTypeIndex","ModsKeys","i32","string","string","ModelSizeMultiplier","i32","i32","i32","i32","i32","TagsKeys","ExperienceMultiplier","[i32]","i32","i32","i32","CriticalStrikeChance","i32","GrantedEffectsKeys","AISFile","ModsKeys2","Stance","rid","Name","DamageMultiplier","LifeMultiplier","AttackSpeed","Weapon1_ItemVisualIdentityKeys","Weapon2_ItemVisualIdentityKeys","Back_ItemVisualIdentityKey","MainHand_ItemClassesKey","OffHand_ItemClassesKey","Helmet_ItemVisualIdentityKey","i32","KillSpecificMonsterCount_AchievementItemsKeys","Special_ModsKeys","KillRare_AchievementItemsKeys","bool","i32","i32","i32","i32","i32","i32","HASH16","bool","string","KillWhileOnslaughtIsActive_AchievementItemsKey","MonsterSegmentsKey","MonsterArmoursKey","KillWhileTalismanIsActive_AchievementItemsKey","Part1_ModsKeys","Part2_ModsKeys","Endgame_ModsKeys","rid","i32","i32","[rid]","[rid]","i32","SinkAnimation_AOFile","bool","[rid]","bool","bool","bool","i32","i32","f32","i32","EPKFile","i32","MonsterConditionalEffectPacksKey","bool","bool","i32","bool","i32","i32","i32","i32","i32","i32","AddonMonsterTypeIndex","i32","i32","i32","i32","i32","bool","BossHealthBar","bool"
0,"Any",1418,40,2,6,6,[],[],"Metadata/Monsters/Clone/Clone",[],1,"","",100,1,3,9,13,0,"[74,804]",100,[],105,105,700,500,0,[381],"",[],"",10,"[ANY MONSTER]",100,100,830,[],[],"","","","",0,[],[],[],"",0,6,100,0,0,100,6509,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,100,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
1,"Metadata/Monsters/Bandits/BanditBossHeavyStrike_",251,22,3,4,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/BanditsBossCalaf.ao""]","Metadata/Monsters/Bandits/BanditBoss",[20603],1,"","",115,3,6,3,5,100,"[750,821,780,774,71,48,796,764,31,765,810,118,802]",130,[],105,105,700,500,0,"[390,1244,11095]","Metadata/Monsters/Bandits/BanditBossHeavyStrike.ais","[6190,6196]","",1,"Calaf, Headstaver",189,176,1350,[7358],[7485],"",12,26,"",0,[885],[],[],"",1,6,100,0,0,100,7716,"","","",2,8,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,1,0,0,0,176,"",0,"",1,1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
2,"Metadata/Monsters/Bandits/BanditBossHeavyStrikeEndlessLedge",255,22,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/BanditsBossCalaf.ao""]","Metadata/Monsters/Bandits/BanditBoss",[20603],1,"","",115,3,6,3,5,100,"[750,821,780,774,71,48,796,764,31,765,810,118,802]",150,[],105,105,700,500,0,"[390,1243,11095]","Metadata/Monsters/Bandits/BanditBossHeavyStrike.ais","[6190,6196]","",1,"Calaf, Headstaver",150,180,1350,[7358],[7485],"",12,26,"",0,[],[],[],"",1,6,100,0,0,100,-3450,"","","",2,8,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,1,0,0,0,180,"",0,"",1,1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
3,"Metadata/Monsters/Bandits/BanditBossBow",286,19,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/BanditBowUnique",[],1,"","",100,3,6,4,1,100,"[750,806,786,71,48,796,31,765,822,32,118,801]",120,[3],105,105,700,500,0,"[390,11096]","Metadata/Monsters/Bandits/BanditBowUnique.ais","[6190,6196]","",1,"Merciless Killer",144,108,1995,[8453],[7374],7770,13,"","",0,[],[],[],"",1,6,100,0,0,100,12394,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,1,0,0,0,108,"",0,"",1,1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
4,"Metadata/Monsters/Bandits/BanditBow",286,19,3,6,45,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/BanditBow",[],1,"","",100,3,6,4,1,0,"[750,806,786,71,48,796,31,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,11096]","Metadata/Monsters/Bandits/BanditBow.ais","[6190,6196]","",1,"Callow Sniper",144,108,1995,[8453],[7374],7770,13,"","",0,[],[],[640],1,1,1,100,0,0,100,-28044,"","","",0,"","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
5,"Metadata/Monsters/Bandits/BanditBowKraitynSpecific",286,19,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/BanditBow",[],1,"","",100,3,6,4,1,0,"[750,806,786,71,48,796,31,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,11096]","Metadata/Monsters/Bandits/BanditBow.ais","[6190,6196]","",1,"Kraityn's Scout",144,108,1995,[8453],[7374],7770,13,"","",0,[],[],[604],1,1,6,100,0,0,100,1141,"","","",0,"","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
6,"Metadata/Monsters/Bandits/BanditBowBurningArrow",286,19,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/BanditBow",[],1,"","",100,3,6,4,1,75,"[750,766,806,786,71,48,796,31,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,1924,11096]","Metadata/Monsters/Bandits/BanditBow.ais","[6190,6196]","",1,"Kraityn's Scout",144,108,1995,[8453],[7374],7770,13,"","",0,[],[],[604],1,1,4,5,0,0,5,29990,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
7,"Metadata/Monsters/Bandits/BanditBowChampion",289,22,3,6,40,"[""Metadata/Monsters/Bandits/BanditBowChampion.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/BanditBowChampion",[],1,"","",115,3,6,4,1,100,"[750,766,806,786,71,48,796,31,765,822,32,118,802]",140,[3],105,105,700,500,0,"[382,1039,4958,4962]","Metadata/Monsters/Bandits/BanditBowChampion.ais","[6190,6196]","",1,"Kraityn's Sentry",73,157,1995,[8453],[7374],7770,13,"","",0,[],[],[],1,1,3,100,2,50,5,2634,"","","",1,7,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,157,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
8,"Metadata/Monsters/Bandits/BanditBowBlastRain",286,19,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/BanditBow",[],1,"","",100,3,6,4,1,75,"[750,806,786,71,48,796,31,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,11096,4957]","Metadata/Monsters/Bandits/BanditBow.ais","[6190,6196]","",1,"Oak's Sniper",144,108,1995,[8453],[7374],7770,13,"","",0,[],[],[616],1,1,4,5,0,0,5,-16480,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
9,"Metadata/Monsters/Bandits/BanditBowExplosiveArrow",286,19,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/BanditBow",[],1,"","",100,3,6,4,1,75,"[750,806,786,71,48,796,31,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,1038,11096]","Metadata/Monsters/Bandits/BanditBow.ais","[6190,6196]","",1,"Oak's Sniper",144,108,1995,[8453],[7374],7770,13,"","",0,[],[],[616],1,1,4,5,0,0,5,-15378,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
