"rownum","Id","Name","IsCategory","Category","bool","row","bool","i32","i32"
0,"Specials","Specials",1,"","",28,"",-16843010,-16843010
1,"NewItems","New",1,"","",28,"",-16843010,-16843010
2,"StashTabs","Stash Tabs",1,"",1,28,"",-16843010,-16843010
3,"Bundles","Bundles",1,"","",28,"",-16843010,-16843010
4,"ArmourEffects","Armour",1,"",1,28,"",-16843010,-16843010
5,"BackAttachments","Back Attachments",1,"",1,28,"",-16843010,-16843010
6,"WeaponEffects","Weapon",1,"",1,28,"",-16843010,-16843010
7,"FinisherEffects","Finisher Effects",1,"","",28,"",6,0
8,"Portals","Portals",1,"",1,28,"",-16843010,-16843010
9,"AlternateSkillEffects","Skill Effects",1,"","",28,"",16,0
10,"CharacterEffects","Character",1,"",1,28,"",-16843010,-16843010
11,"FootprintEffects","Footprints",1,"","",28,"",-16843010,-16843010
12,"Guild","Guild",1,"","",28,"",-16843010,-16843010
13,"GuildHideout","Guild Hideout",1,"","",28,"",-16843010,-16843010
14,"Pets","Pets",1,"",1,28,"",-16843010,-16843010
15,"Hideout","Hideout",1,"",1,28,"",-16843010,-16843010
16,"VisualEffects","Visual Effects",1,"",1,28,"",-16843010,-16843010
17,"GuildStashTabs","Stash Tabs","","","",28,1,-16843010,-16843010
18,"GuildHideouts","Hideouts","","","",28,1,-16843010,-16843010
19,"GuildHideoutDecorations","Hideout Decorations","","","",28,1,-16843010,-16843010
20,"GuildHideoutSkins","Utility Skins","","","",28,1,-16843010,-16843010
21,"GuildBundles","Bundles","","","",28,1,-16843010,-16843010
22,"Consumable","Consumable","","","",28,"",-16843010,-16843010
23,"MysteryPacks","Mystery Packs","",22,"",28,"",-16843010,-16843010
24,"MostPopular","Most Popular","","","",28,"",-16843010,-16843010
25,"AccountFeatures","Account Features",1,"","",28,"",-16843010,-16843010
26,"ClassicEffects","Classic Effects","","","",28,"",-16843010,-16843010
27,"TencentHotAndNew","Hot and New",1,"","",28,"",-16843010,-16843010
28,"TencentAccountFunctions","Account Functions",1,"","",28,"",-16843010,-16843010
29,"TencentGuildFunctions","Guild Functions",1,"","",28,"",-16843010,-16843010
30,"TencentCosmetics","Cosmetics",1,"","",28,"",-16843010,-16843010
31,"TencentBackAttachments","Back Attachments",1,"","",28,"",-16843010,-16843010
32,"TencentWeaponEffects","Weapon Effects",1,"","",28,"",-16843010,-16843010
33,"TencentSkillEffects","Skill Effects",1,"","",28,"",-16843010,-16843010
34,"TencentCharacterEffects","Character Effects",1,"","",28,"",-16843010,-16843010
35,"TencentFootprintsEffects","Footprints Effects",1,"","",28,"",-16843010,-16843010
36,"TencentPortalEffects","Portal Effects",1,"","",28,"",-16843010,-16843010
37,"TencentPets","Pets",1,"","",28,"",-16843010,-16843010
38,"TencentHideout","Hideout",1,"","",28,"",-16843010,-16843010
39,"TencentTradeableMicrotransactions","Tradeable Microtransaction",1,"","",28,"",-16843010,-16843010
40,"TencentSecondary","Tencent Misc","","","",28,"",-16843010,-16843010
41,"CursorMtx","Cursor Skin","","","",28,"",10,0
42,"HUDMtx","HUD Skin","","","",28,"",-16843010,-16843010
43,"JewelMtx","Passive Jewel Skin","","","",28,"",10,0
44,"FlaskMtx","Flask Skin","","","",28,"",10,0
45,"BeltMtx","Belt Skin","","","",28,"",10,0
46,"AmuletMtx","Amulet Skin","","","",28,"",10,0
47,"WeaponSkin1Mtx","Weapon Skin","","","",28,"",6,0
48,"WeaponSkin2Mtx","Weapon Skin","","","",28,"",6,0
49,"WeaponEffect1Mtx","Weapon Effect","","","",28,"",6,0
50,"WeaponEffect2Mtx","Weapon Effect","","","",28,"",6,0
51,"WeaponAddedEffect1Mtx","Weapon Added Effect","","","",28,"",6,0
52,"WeaponAddedEffect2Mtx","Weapon Added Effect","","","",28,"",6,0
53,"HelmetSkinMtx","Helmet Skin","",4,"",28,"",4,0
54,"HelmetAttachmentMtx","Helmet Attachment","",4,"",28,"",4,0
55,"ArmourSkinMtx","Armour Skin","",4,"",28,"",4,0
56,"ArmourAttachmentMtx","Armour Attachment","",4,"",28,"",4,0
57,"GlovesMtx","Gloves","",4,"",28,"",4,0
58,"BootsMtx","Boots","",4,"",28,"",4,0
59,"FootprintsMtx","Footprints","","","",28,"",16,0
60,"ShieldSkin","Shield Skin","","","",28,"",6,0
61,"ApparitionMtx","Apparition","","","",28,"",16,0
62,"CharacterEffectMtx","Character Effect","","","",28,"",10,0
63,"PetMtx","Pet","","","",28,"",-16843010,-16843010
64,"SocialFrameMtx","Social Frame","","","",28,"",-16843010,-16843010
65,"PortraitMtx","Portrait","","","",28,"",-16843010,-16843010
66,"PortalMtx","Portal","","","",28,"",8,0
67,"RingMtx","Ring Skin","","","",28,"",10,0
68,"HipAttachmentMtx","Hip Attachment","","","",28,"",10,0
69,"SlotlessMtx","[DNT]","","","",28,"",-16843010,-16843010
70,"AlternateCharges","Alternate Charge Skin","",10,"",28,"",16,0
71,"AncestralCallMtx","Ancestral Call","",9,"",28,"",-16843010,-16843010
72,"AncestralWarchiefMtx","Ancestral Warchief","",9,"",28,"",-16843010,-16843010
73,"AngerMtx","Anger","",9,"",28,"",-16843010,-16843010
74,"ArcMtx","Arc","",9,"",28,"",-16843010,-16843010
75,"ArcticArmourMtx","Arctic Armour","",9,"",28,"",-16843010,-16843010
76,"BallLightningMtx","Ball Lightning","",9,"",28,"",-16843010,-16843010
77,"BarrageMtx","Barrage","",9,"",28,"",-16843010,-16843010
78,"BladefallMtx","Bladefall","",9,"",28,"",-16843010,-16843010
79,"BladeflurryMtx","Blade Flurry","",9,"",28,"",-16843010,-16843010
80,"BladeVortexMtx","Blade Vortex","",9,"",28,"",-16843010,-16843010
81,"BlasphemyMtx","Blasphemy","",9,"",28,"",-16843010,-16843010
82,"BlastRainMtx","Blast Rain","",9,"",28,"",-16843010,-16843010
83,"BlinkArrowMtx","Blink Arrow","",9,"",28,"",-16843010,-16843010
84,"BloodRageMtx","Blood Rage","",9,"",28,"",-16843010,-16843010
85,"ClarityMtx","Clarity","",9,"",28,"",-16843010,-16843010
86,"CleaveMtx","Cleave","",9,"",28,"",-16843010,-16843010
87,"ChargedDashMtx","Charged Dash","",9,"",28,"",-16843010,-16843010
88,"ColdSnapMtx","Cold Snap","",9,"",28,"",-16843010,-16843010
89,"ContagionMtx","Contagion","",9,"",28,"",-16843010,-16843010
90,"ConvocationMtx","Convocation","",9,"",28,"",-16843010,-16843010
91,"CremationMtx","Cremation","",9,"",28,"",-16843010,-16843010
92,"CycloneMtx","Cyclone","",9,"",28,"",-16843010,-16843010
93,"DecoyTotemMtx","Decoy Totem","",9,"",28,"",-16843010,-16843010
94,"DesecrateMtx","Desecrate","",9,"",28,"",-16843010,-16843010
95,"DeterminationMtx","Determination","",9,"",28,"",-16843010,-16843010
96,"DevouringTotemMtx","Devouring Totem","",9,"",28,"",-16843010,-16843010
97,"DischargeMtx","Discharged","",9,"",28,"",-16843010,-16843010
98,"DisciplineMtx","Discipline","",9,"",28,"",-16843010,-16843010
99,"DoubleStrikeMtx","Double Strike","",9,"",28,"",-16843010,-16843010
100,"EarthquakeMtx","Earthquake","",9,"",28,"",-16843010,-16843010
101,"ElementalHitMtx","Elemental Hit","",9,"",28,"",-16843010,-16843010
102,"EssenceDrainMtx","Essence Drain","",9,"",28,"",-16843010,-16843010
103,"EtherealKnivesMtx","Ethereal Knives","",9,"",28,"",-16843010,-16843010
104,"FireballMtx","Fireball","",9,"",28,"",-16843010,-16843010
105,"FirestormMtx","Firestorm","",9,"",28,"",-16843010,-16843010
106,"FlameblastMtx","Flameblast","",9,"",28,"",-16843010,-16843010
107,"FlameDashMtx","Flame Dash","",9,"",28,"",-16843010,-16843010
108,"FlameTotemMtx","Holy Flame Totem","",9,"",28,"",-16843010,-16843010
109,"FlickerStrikeMtx","Flicker Strike","",9,"",28,"",-16843010,-16843010
110,"FreezingPulseMtx","Freezing Pulse","",9,"",28,"",-16843010,-16843010
111,"FrostBladesMtx","Frost Blades","",9,"",28,"",-16843010,-16843010
112,"FrostBoltMtx","Frostbolt","",9,"",28,"",-16843010,-16843010
113,"FrostBoltNovaMtx","Vortex","",9,"",28,"",-16843010,-16843010
114,"FrostBombMtx","Frost Bomb","",9,"",28,"",-16843010,-16843010
115,"GlacialCascadeMtx","Glacial Cascade","",9,"",28,"",-16843010,-16843010
116,"GraceMtx","Grace","",9,"",28,"",-16843010,-16843010
117,"GroundSlamMtx","Ground Slam","",9,"",28,"",-16843010,-16843010
118,"HasteMtx","Haste","",9,"",28,"",-16843010,-16843010
119,"HatredMtx","Hatred","",9,"",28,"",-16843010,-16843010
120,"HeraldOfAgonyMtx","Herald of Agony","",9,"",28,"",-16843010,-16843010
121,"HeraldOfAshMtx","Herald of Ash","",9,"",28,"",-16843010,-16843010
122,"HeraldOfIceMtx","Herald of Ice","",9,"",28,"",-16843010,-16843010
123,"HeraldOfLightMtx","Herald of Purity","",9,"",28,"",-16843010,-16843010
124,"HeraldOfThunderMtx","Herald of Thunder","",9,"",28,"",-16843010,-16843010
125,"HexblastMtx","Hexblast","",9,"",28,"",-16843010,-16843010
126,"HolyRelicMtx","Summon Holy Relic","",9,"",28,"",-16843010,-16843010
127,"IceNovaMtx","Ice Nova","",9,"",28,"",-16843010,-16843010
128,"IceSpearMtx","Ice Spear","",9,"",28,"",-16843010,-16843010
129,"IceTrapMtx","Ice Trap","",9,"",28,"",-16843010,-16843010
130,"ImmortalCallMtx","Immortal Call","",9,"",28,"",-16843010,-16843010
131,"IncinerateMtx","Incinerate","",9,"",28,"",-16843010,-16843010
132,"KineticBlastMtx","Kinetic Blast","",9,"",28,"",-16843010,-16843010
133,"LacerateMtx","Lacerate","",9,"",28,"",-16843010,-16843010
134,"LightningSpireMtx","Lightning Spire","",9,"",28,"",-16843010,-16843010
135,"LightningWarpMtx","Lightning Warp","",9,"",28,"",-16843010,-16843010
136,"LeapSlamMtx","Leap Slam","",9,"",28,"",-16843010,-16843010
137,"LightningArrowMtx","Lightning Arrow","",9,"",28,"",-16843010,-16843010
138,"MagmaOrbMtx","Rolling Magma","",9,"",28,"",-16843010,-16843010
139,"MirageArcherMtx","Mirage Archer","",9,"",28,"",-16843010,-16843010
140,"MirrorArrowMtx","Mirror Arrow","",9,"",28,"",-16843010,-16843010
141,"MoltenShellMtx","Molten Shell","",9,"",28,"",-16843010,-16843010
142,"MoltenStrikeMtx","Molten Strike","",9,"",28,"",-16843010,-16843010
143,"OrbOfStormsMtx","Orb of Storms","",9,"",28,"",-16843010,-16843010
