"rownum","Area","PosX","PosY","Tags","[i32]","bool","TextAudio","CompletionAchievements"
0,0,0,0,[731],[1],"",11922,[]
1,1764,981,797,"[718,732]","[1,3]","",11913,"[8144,8315]"
2,1765,1078,700,"[717,732]","[1,3]","",11912,"[8145,8315]"
3,1766,962,587,"[718,732]","[1,3]","",11913,"[8146,8315]"
4,1767,1273,421,"[719,732]","[1,3]","",11913,"[8147,8315]"
5,1768,1181,611,"[724,732]","[1,3]","",11915,"[8148,8315]"
6,1769,1248,862,"[714,732]","[1,3]","",11914,"[8149,8315]"
7,1770,1020,314,"[720,732]","[1,3]","",11913,"[8150,8315]"
8,1771,857,259,"[721,732]","[1,3]","",11913,"[8151,8315]"
9,1772,938,198,"[722,732]","[1,3]","",11910,"[8152,8315]"
10,1773,1093,501,"[725,732]","[1,3]","",11916,"[8153,8315]"
11,1776,1282,212,"[723,732]","[1,3]","",11910,"[8156,8315]"
12,1774,1132,310,"[715,732]","[1,3]",1,11911,"[8154,8315]"
13,1775,1209,333,"[715,732]","[1,3]",1,11911,"[8155,8315]"
14,1777,1397,229,"[726,732]","[1,3]","",11917,"[8157,8315]"
15,1778,868,922,"[717,732]","[1,3]","",11912,"[8158,8315]"
