"rownum","WordsKey","ItemVisualIdentityKey","UniqueStashTypesKey","i32","i32","OverrideWidth","OverrideHeight","ShowIfEmptyChallengeLeague","ShowIfEmptyStandard","RenamedVersion","BaseVersion","IsAlternateArt"
0,41,7872,7,0,0,0,0,1,1,"","",""
1,42,7873,6,0,0,1,3,1,1,"","",""
2,43,7874,1,0,0,0,0,1,1,"","",""
3,44,7875,2,0,0,0,0,1,1,"","",""
4,45,7876,2,1,0,0,0,1,1,"","",""
5,47,7877,2,2,0,0,0,1,1,"","",""
6,48,7878,9,0,0,0,0,1,1,"","",""
7,49,7879,1,1,0,0,0,"","","","",""
8,50,7880,15,0,0,0,0,1,1,"","",""
9,51,7881,4,0,0,0,0,1,1,"","",""
10,52,7882,9,2,0,0,0,1,1,"","",""
11,53,7883,6,2,0,2,3,1,1,"","",""
12,54,7884,16,0,0,0,0,1,1,"","",""
13,55,7885,16,2,0,0,0,1,1,"","",""
14,56,7886,9,4,0,0,0,1,1,"","",""
15,58,7888,8,0,0,0,0,1,1,"","",""
16,59,7889,8,2,0,0,0,1,1,"","",""
17,60,7891,6,4,0,0,0,1,1,"","",""
18,61,7892,6,6,0,0,0,1,1,"","",""
19,62,7893,2,3,0,0,0,1,1,"","",""
20,64,7895,2,4,0,0,0,1,1,"","",""
21,66,7897,11,0,0,0,0,"","","","",""
22,67,7898,1,2,0,0,0,1,1,"","",""
23,68,7899,1,3,0,0,0,1,1,"","",""
24,70,7901,1,4,0,0,0,1,1,"","",""
25,71,7902,15,2,0,0,0,1,1,"","",""
26,72,7903,15,4,0,0,0,1,1,"","",""
27,74,7905,16,4,0,0,0,1,1,"","",""
28,75,7906,16,6,0,0,0,1,1,"","",""
29,76,7907,16,8,0,0,0,1,1,"","",""
30,77,7908,16,10,0,0,0,1,1,"","",""
31,78,7909,16,12,0,0,0,1,1,"","",""
32,79,7910,16,14,0,0,0,1,1,"","",""
33,80,7911,16,16,0,0,0,"","","","",""
34,81,7912,16,18,0,0,0,1,1,"","",""
35,82,7913,16,20,0,0,0,1,1,"","",""
36,83,7914,1,5,0,0,0,1,1,"","",""
37,84,7915,14,0,0,0,0,1,1,"","",""
38,85,7916,4,1,0,0,0,1,1,"","",""
39,86,7917,14,2,0,0,0,1,1,"","",""
40,88,7919,14,4,0,0,0,1,1,"","",""
41,89,7920,14,6,0,0,0,1,1,"","",""
42,90,7921,14,8,0,0,0,1,1,"","",""
43,91,7922,14,10,0,0,0,1,1,"","",""
44,92,7923,14,12,0,0,0,1,1,"","",""
45,93,7924,13,0,0,0,0,1,1,"","",""
46,94,7925,13,2,0,0,0,1,1,"","",""
47,95,7926,13,4,0,0,0,1,1,"","",""
48,96,7927,13,6,0,0,0,1,1,"","",""
49,97,7928,13,8,0,0,0,1,1,"","",""
50,98,7929,13,10,0,0,0,1,1,"","",""
51,99,7930,13,12,0,0,0,1,1,"","",""
52,100,7931,13,14,0,0,0,1,1,"","",""
53,101,8464,1,6,0,0,0,1,1,"","",""
54,102,8465,1,7,0,0,0,1,1,"","",""
55,103,8466,12,0,0,0,0,1,1,"","",""
56,104,8467,12,2,0,0,0,1,1,"","",""
57,105,8468,12,4,0,0,0,1,1,"","",""
58,106,8469,12,6,0,0,0,1,1,"","",""
59,107,8470,17,0,0,0,0,1,1,"","",""
60,108,8471,17,2,0,0,0,1,1,"","",""
61,109,8472,17,4,0,0,0,1,1,"","",""
62,110,8473,17,6,0,0,0,1,1,"","",""
63,111,8474,17,8,0,0,0,1,1,"","",""
64,112,8912,7,2,0,0,0,1,1,"","",""
65,113,8913,6,8,0,2,4,1,1,"","",""
66,263,8914,6,10,0,1,4,1,1,"","",""
67,114,8914,6,0,0,0,0,"","",66,"",""
