"rownum","MonsterVarietiesKey","LegionFactionsKey","LegionRanksKey","i32","MiscAnimatedKey","i32","i32","[i32]","[i32]","[i32]","[i32]","[i32]","[i32]","i32","i32","[rid]","MonsterVarietiesKey2"
0,7510,0,0,0,[3073],10,2,[100],[200],[0],[440],[600],[60],15,50,[1],""
1,7511,0,0,0,[3074],10,2,[100],[200],[0],[580],[650],[60],15,50,[1],""
2,7512,0,0,0,[3073],10,2,[100],[200],[0],[440],[600],[60],15,50,[1],""
3,7513,0,0,0,[3074],10,2,[100],[200],[0],[550],[580],[60],15,50,[1],""
4,7514,0,0,0,[],0,2,[],[],[],[],[],[],15,50,[],""
5,7524,0,1,0,[3073],10,1,[100],[200],[0],[440],[600],[60],15,50,[1],""
6,7527,0,1,1,[3077],10,1,[10],[20],[0],[130],[300],[60],15,50,[1],""
7,7530,0,1,0,[],0,1,[],[],[],[],[],[],15,120,[],""
8,7534,0,2,0,[],0,1,[],[],[],[],[],[],15,50,[],""
9,7537,0,2,2,[],0,1,[],[],[],[],[],[],15,50,[],""
10,7542,0,3,3,[],0,1,[],[],[],[],[],[],15,50,[],""
11,7543,2,0,0,[3078],10,1,[100],[200],[0],[900],[1010],[60],15,60,[1],""
12,7547,2,1,1,[3081],10,1,[130],[200],[0],[170],[550],[75],15,60,[1],""
13,7550,2,1,0,[3080],10,1,[100],[200],[0],[580],[650],[50],15,60,[1],""
14,7555,2,2,0,[],0,1,[],[],[],[],[],[],15,40,[],""
15,7558,2,2,0,[],0,1,[],[],[],[],[],[],15,40,[],""
16,7561,2,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
17,7566,3,0,0,[3086],10,2,[100],[200],[0],[900],[1010],[60],15,50,[1],""
18,7569,3,0,0,[3086],10,1,[100],[200],[0],[900],[1010],[60],15,50,[1],""
19,7575,3,1,0,[],0,1,[],[],[],[],[],[],15,50,[],""
20,7576,3,1,1,[],0,1,[],[],[],[],[],[],15,110,[],""
21,7579,3,1,0,[],0,1,[],[],[],[],[],[],15,110,[],""
22,7585,3,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
23,7588,3,2,1,[],0,1,[],[],[],[],[],[],15,60,[],""
24,7592,3,3,3,[],0,1,[],[],[],[],[],[],15,60,[],7591
25,7595,4,0,0,[3084],10,1,[100],[200],[0],[440],[530],[60],15,50,[1],""
26,7596,4,0,0,[3084],10,1,[100],[200],[0],[440],[520],[60],15,50,[1],""
27,7597,4,0,0,[],0,1,[],[],[],[],[],[],15,60,[],""
28,7607,4,1,2,[],0,1,[],[],[],[],[],[],15,50,[],""
29,7608,4,1,2,[],0,1,[],[],[],[],[],[],15,50,[],""
30,7615,4,2,2,[],0,1,[],[],[],[],[],[],15,60,[],""
31,7618,4,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
32,7621,4,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
33,7623,1,0,0,[3088],10,1,[100],[200],[0],[440],[600],[60],15,50,[1],""
34,7624,1,0,0,[3088],10,1,[100],[200],[0],[440],[550],[60],15,50,[1],""
35,7625,1,0,1,[],0,1,[],[],[],[],[],[],15,50,[],""
36,7635,1,1,2,[],0,3,[],[],[],[],[],[],15,50,[],""
37,7639,1,0,0,[],0,1,[],[],[],[],[],[],15,50,[],""
38,7642,1,1,0,[],0,1,[],[],[],[],[],[],15,60,[],""
39,7644,1,1,0,[],0,1,[],[],[],[],[],[],15,60,[],""
40,7647,1,2,1,[],0,1,[],[],[],[],[],[],15,40,[],""
41,7650,1,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
42,7653,1,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
43,7515,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
44,7516,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
45,7517,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
46,7518,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
47,7519,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
48,7531,0,57,0,[],0,1,[],[],[],[],[],[],150,50,[],""
49,7532,0,57,1,[],0,1,[],[],[],[],[],[],150,50,[],""
50,7533,0,57,0,[],0,1,[],[],[],[],[],[],150,120,[],""
51,7544,2,57,0,[],0,8,[],[],[],[],[],[],150,60,[],""
52,7553,2,57,1,[],0,1,[],[],[],[],[],[],150,60,[],""
53,7554,2,57,0,[],0,1,[],[],[],[],[],[],150,60,[],""
54,7572,3,57,0,[],0,5,[],[],[],[],[],[],150,50,[],""
55,7573,3,57,0,[],0,5,[],[],[],[],[],[],150,50,[],""
56,7582,3,57,0,[],0,1,[],[],[],[],[],[],150,50,[],""
57,7583,3,57,1,[],0,1,[],[],[],[],[],[],150,110,[],""
58,7584,3,57,0,[],0,1,[],[],[],[],[],[],150,110,[],""
59,7598,4,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
60,7599,4,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
61,7600,4,57,0,[],0,3,[],[],[],[],[],[],150,60,[],""
62,7609,4,57,2,[],0,1,[],[],[],[],[],[],150,50,[],""
63,7610,4,57,2,[],0,1,[],[],[],[],[],[],150,50,[],""
64,7626,1,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
65,7627,1,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
66,7628,1,57,1,[],0,1,[],[],[],[],[],[],150,50,[],""
67,7636,1,57,2,[],0,3,[],[],[],[],[],[],150,50,[],""
68,7640,1,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
69,7645,1,57,0,[],0,1,[],[],[],[],[],[],150,60,[],""
70,7646,1,57,0,[],0,1,[],[],[],[],[],[],150,60,[],""
