"rownum","Id","Name","Metadata","rid","NPCMasterKey","ShortName","i32","NPCAudios1","NPCAudios2","HASH16","row","Portrait","DialogueStyle","bool","rid","Gender","bool"
0,"Metadata/NPC/Act1/Tarkleigh","Tarkleigh","Metadata/NPC/NPC","","","",1,[0],[1],18329,"","","",1,0,"M",""
1,"Metadata/NPC/Act1/Nessa","Nessa","Metadata/NPC/NPC","","","",1,[2],[3],16035,"","","",1,11,"F",""
2,"Metadata/NPC/Act1/Bestel","Bestel","Metadata/NPC/NPC","","","",1,[4],[],-9048,"","","",1,"","M",""
3,"Metadata/NPC/Act1/Doorman","Doorman","Metadata/NPC/NPC","","","",1,[],[],31831,"","","",1,"","M",""
4,"Metadata/NPC/Act1/Fairgraves","Captain Fairgraves","Metadata/NPC/NPC","","","Fairgraves",1,[],[5],-25816,"","","",1,"","M",""
5,"Metadata/Monsters/Skeletons/SkeletonBossFairgraves","Captain Fairgraves","Metadata/Monsters/Skeletons/SkeletonBossEmerge","","","Fairgraves",0,[],[],-18233,"","","",1,"","M",""
6,"Metadata/NPC/Act1/WoundedExile","Dying Exile","Metadata/NPC/NPC","","","",1,[],[],-16916,"","","",1,"","M",""
7,"Metadata/NPC/Act1/Brutus","Brutus, the Warden","Metadata/NPC/NPC","","","Brutus",1,[],[],-20501,"","","",1,"","M",""
8,"Metadata/NPC/Act1/Merveil","Merveil","Metadata/NPC/NPC","","","",1,[],[],20647,"","","",1,"","F",""
9,"Metadata/NPC/Act2/Eramir","Eramir","Metadata/NPC/NPC","","","",2,[6],[7],5275,"","","",1,"","M",""
10,"Metadata/NPC/Act2/Yeena","Yeena","Metadata/NPC/NPC","","","",2,[8],[9],66,"","","",1,12,"F",""
11,"Metadata/NPC/Act2/Greust","Greust","Metadata/NPC/NPC","","","",2,[10],[11],-5225,"","","",1,1,"M",""
12,"Metadata/NPC/Act2/Silk","Silk","Metadata/NPC/NPC","","","",2,[12],[],-5272,"","","",1,"","M",""
13,"Metadata/Monsters/BanditLeaderInt/BanditLeaderAlira","Alira","Metadata/NPC/NPC","","","",2,[],[],-12674,"","","",1,"","F",""
14,"Metadata/Monsters/BanditLeaderInt/BanditLeaderAliraGauntlet","Alira","Metadata/NPC/NPC","","","",2,[],[],26844,"","","",1,"","F",""
15,"Metadata/Monsters/BanditLeaderDexInt/BanditLeaderKraityn","Kraityn","Metadata/NPC/NPC","","","",2,[],[],22072,"","","",1,"","M",""
16,"Metadata/Monsters/BanditLeaderDexInt/BanditLeaderKraitynGauntlet","Kraityn","Metadata/NPC/NPC","","","",2,[],[],-1007,"","","",1,"","M",""
17,"Metadata/Monsters/BanditLeaderStrDex/BanditLeaderOak","Oak","Metadata/NPC/NPC","","","",2,[],[],6319,"","","",1,"","M",""
18,"Metadata/Monsters/LeagueAffliction/AfflictionDemonBossPhysicalWildOakGauntlet","Definitely Oak","Metadata/NPC/NPC","","","",2,[],[],-9403,"","","",1,"","M",""
19,"Metadata/NPC/Act3/Hargan","Hargan","Metadata/NPC/NPC","","","",3,[14],[15],-10828,"","","",1,2,"M",""
20,"Metadata/NPC/Act3/Dialla","Lady Dialla","Metadata/NPC/NPC","","","Dialla",3,[16],[17],12298,"","","",1,"","F",""
21,"Metadata/NPC/Act3/DiallaTower","Lady Dialla","Metadata/NPC/NPC","","","Dialla",3,[16],[],1838,"","","",1,"","F",""
22,"Metadata/NPC/Act3/Maramoa","Maramoa","Metadata/NPC/NPC",843,"","",3,[18],[19],20488,"","","",1,"","F",""
23,"Metadata/NPC/Act3/Grigor","Grigor","Metadata/NPC/NPC","","","",3,[20],[21],-7646,"","","",1,"","M",""
24,"Metadata/NPC/Act3/ClarissaTown","Clarissa","Metadata/NPC/NPC","","","",3,[22],[23],32620,"","","",1,13,"F",""
25,"Metadata/NPC/Act3/ClarissaSlums","Clarissa","Metadata/NPC/NPC","","","",3,[],[],-7194,"","","",1,"","F",""
26,"Metadata/NPC/Info/PrisonDiary","Shavronne's Journal","Metadata/NPC/Info/StoryGlyphBase",542,"","",1,[],[],10734,"","","",1,"","",""
27,"Metadata/NPC/Act2/HelenaTown","Helena","Metadata/NPC/NPC","",3,"",2,[24],[25],18941,"","","",1,"","F",""
28,"Metadata/NPC/Act2/HelenaSins","Helena","Metadata/NPC/NPC","",3,"",2,[],[],22927,"","","",1,"","F",""
29,"Metadata/NPC/Act3/Siosa","Siosa","Metadata/NPC/NPC",844,"","",3,[26],[27],4688,"","","",1,31,"M",""
30,"Metadata/NPC/Act3/Fairgraves","Captain Fairgraves","Metadata/NPC/NPC","","","Fairgraves",3,[28],[],-31106,"","","",1,"","M",""
31,"Metadata/NPC/Piety","Piety","Metadata/NPC/NPC","","","",0,[],[],26069,"","","",1,"","F",""
32,"Metadata/NPC/Gravicius","Gravicius","Metadata/NPC/NPC","","","",0,[],[],4169,"","","",1,"","M",""
33,"Metadata/NPC/Dominus","Dominus","Metadata/NPC/NPC","","","",0,[],[],1936,"","","",1,"","M",""
34,"Metadata/NPC/Act4/Kaom","King Kaom","Metadata/NPC/NPC","","","Kaom",0,[],[],-17963,"","","",1,"","M",""
35,"Metadata/NPC/Act4/Maligaro","Maligaro, the Inquisitor","Metadata/NPC/NPC","","","Maligaro",0,[],[],-15572,"","","",1,"","M",""
