"rownum","Id","rid","[rid]","Gem","BK2File"
0,"ProxyKey1",0,[12],6843,"Art/Videos/ChinaSkillVideos/Guardian_Lightningtendrils+eleprolif.BK2"
1,"ProxyKey2",7,[12],6712,"Art/Videos/ChinaSkillVideos/Guardian_Clarity.BK2"
2,"ProxyKey3",10,[12],6692,"Art/Videos/ChinaSkillVideos/Guardian_Firestorm.BK2"
3,"ProxyKey4",2,[12],6930,"Art/Videos/ChinaSkillVideos/Guardian_Lightningtendrils+eleprolif+stormBarrier.BK2"
4,"ProxyKey5",3,"[11,12]",6734,"Art/Videos/ChinaSkillVideos/HeirophantGuard_FlameTotem.BK2"
5,"ProxyKey6",8,"[11,12]",6622,"Art/Videos/ChinaSkillVideos/HeirophantGuard_FlameTotem+LightningDamage.BK2"
6,"ProxyKey7",0,[11],6897,"Art/Videos/ChinaSkillVideos/Heirophant_Frostbolt+eleprolif.BK2"
7,"ProxyKey8",7,[11],6862,"Art/Videos/ChinaSkillVideos/Hierophant_FlameDash.BK2"
8,"ProxyKey9",10,[11],6586,"Art/Videos/ChinaSkillVideos/Heirophant_IceNova.BK2"
9,"ProxyKey10",2,[11],6922,"Art/Videos/ChinaSkillVideos/Heirophant_Frostbolt+Eleprolif+surge.BK2"
10,"ProxyKey11",0,[10],6822,"Art/Videos/ChinaSkillVideos/Inquisitor_Moltenstrike+Eleprolif.BK2"
11,"ProxyKey13",8,[10],6613,"Art/Videos/ChinaSkillVideos/Inquisitor_AncestralProtector+FireDamage.BK2"
12,"ProxyKey14",7,[10],6587,"Art/Videos/ChinaSkillVideos/Inquisitor_LeapSlam.BK2"
13,"ProxyKey15",10,[10],6611,"Art/Videos/ChinaSkillVideos/Inquisitor_StaticStrike.BK2"
14,"ProxyKey16",2,[10],6933,"Art/Videos/ChinaSkillVideos/Inquisitor_MoltenStrike+eleprolif+AncestralCall.BK2"
15,"ProxyKey17",2,[15],6921,"Art/Videos/ChinaSkillVideos/Champion_Molten+Bleed+Onslaught.BK2"
16,"ProxyKey18",0,"[14,15]",6822,"Art/Videos/ChinaSkillVideos/SlayerChampion_MoltenStrike+Bleed.BK2"
17,"ProxyKey19",8,[14],6613,"Art/Videos/ChinaSkillVideos/Gladiator_Vigilant+FireDamage.BK2"
18,"ProxyKey20",3,[14],6864,"Art/Videos/ChinaSkillVideos/Gladiator_Vigilant.BK2"
19,"ProxyKey21",2,[14],6933,"Art/Videos/ChinaSkillVideos/Gladiator_Molten+Bleed+AncestralCall.BK2"
20,"ProxyKey87",8,[15],6613,"Art/Videos/ChinaSkillVideos/Champion_Protector+FireDamage.BK2"
21,"ProxyKey23",7,"[13,14,15]",6587,"Art/Videos/ChinaSkillVideos/SlayerGladChamp_LeapSlam.BK2"
22,"ProxyKey24",10,"[13,14,15]",6597,"Art/Videos/ChinaSkillVideos/SlayerGladChamp_Lacerate.BK2"
23,"ProxyKey25",0,[13],6593,"Art/Videos/ChinaSkillVideos/Slayer_Cleave+Bleed.BK2"
24,"ProxyKey26",8,[13],6916,"Art/Videos/ChinaSkillVideos/Slayer_Protector+Maim.BK2"
25,"ProxyKey27",2,[13],6920,"Art/Videos/ChinaSkillVideos/Slayer_Cleave+Bleed+Ruthless.BK2"
26,"ProxyKey28",0,"[2,3]",6822,"Art/Videos/ChinaSkillVideos/ChieftanBersek_MoltenStrike+Ruthless.BK2"
27,"ProxyKey30",2,"[2,3]",6933,"Art/Videos/ChinaSkillVideos/ChieftanBeserk_MoltenStrike+Ruthless+AncestralCall.BK2"
28,"ProxyKey31",8,"[2,3]",6613,"Art/Videos/ChinaSkillVideos/ChieftainBerserker_AncestralProtector+FireDamage.BK2"
29,"ProxyKey32",7,"[1,2,3]",6587,"Art/Videos/ChinaSkillVideos/JuggernautChiefBeserk_LeapSlam.BK2"
30,"ProxyKey33",10,"[1,2,3]",6896,"Art/Videos/ChinaSkillVideos/JuggernautChiefBeserk_Sunder.BK2"
31,"ProxyKey34",0,[1],6592,"Art/Videos/ChinaSkillVideos/Juggernaut_Slam+Ruthless.BK2"
32,"ProxyKey35",3,[1],6864,"Art/Videos/ChinaSkillVideos/Juggernaut_VigilantStrike.BK2"
33,"ProxyKey36",2,[1],6909,"Art/Videos/ChinaSkillVideos/Juggernaut_+Slam+Bleed+Ruthless.BK2"
34,"ProxyKey86",8,[1],6613,"Art/Videos/ChinaSkillVideos/Juggernaut_VigilantStrike+FireDamage.BK2"
35,"ProxyKey37",0,[6],6604,"Art/Videos/ChinaSkillVideos/Necromancer_Zombie+surge.BK2"
36,"ProxyKey38",3,[6],6788,"Art/Videos/ChinaSkillVideos/Necromancer_SRS.BK2"
37,"ProxyKey39",8,[6],6683,"Art/Videos/ChinaSkillVideos/Necromancer_SRS+minionDamage.BK2"
38,"ProxyKey40",7,[6],6671,"Art/Videos/ChinaSkillVideos/Necromancer_SummonSkeletons.BK2"
39,"ProxyKey41",10,[6],6792,"Art/Videos/ChinaSkillVideos/Necromancer_SpiritOffering.BK2"
40,"ProxyKey42",0,[5],6889,"Art/Videos/ChinaSkillVideos/Occultist_Blight+Surge.BK2"
41,"ProxyKey43",3,[5],6887,"Art/Videos/ChinaSkillVideos/Occultist_Contagion.BK2"
42,"ProxyKey44",8,[5],6891,"Art/Videos/ChinaSkillVideos/Occultist_Contagion+Voidmanip.BK2"
43,"ProxyKey45",7,[5],6888,"Art/Videos/ChinaSkillVideos/Occultist_Wither(+blight).BK2"
44,"ProxyKey46",10,[5],6890,"Art/Videos/ChinaSkillVideos/Occultist_EssenseDrain.BK2"
45,"ProxyKey47",2,"[4,5]",6930,"Art/Videos/ChinaSkillVideos/Occultist_Blight+Surge+Barrier.BK2"
46,"ProxyKey89",2,[6],6910,"Art/Videos/ChinaSkillVideos/Necromancer_Zombie+Surge+LesserPoison.BK2"
47,"ProxyKey48",0,[4],6843,"Art/Videos/ChinaSkillVideos/Elementalist_Surge+Tendrils.BK2"
48,"ProxyKey49",3,[4],6882,"Art/Videos/ChinaSkillVideos/Elementalist_OrbofStorms.BK2"
49,"ProxyKey50",8,[4],6622,"Art/Videos/ChinaSkillVideos/Elementalist_OrbStorms+LightningDamage.BK2"
50,"ProxyKey51",7,[4],6670,"Art/Videos/ChinaSkillVideos/Elementalist_LightningWarp.BK2"
51,"ProxyKey52",10,[4],6699,"Art/Videos/ChinaSkillVideos/Elementalist_arc.BK2"
52,"ProxyKey53",0,[18],6863,"Art/Videos/ChinaSkillVideos/Assassin_FrostBlades+LessPoison.BK2"
53,"ProxyKey54",3,[18],6673,"Art/Videos/ChinaSkillVideos/Assassin_Riposte.BK2"
54,"ProxyKey55",8,[18],6619,"Art/Videos/ChinaSkillVideos/Assassin_Ripose+ColdDamage.BK2"
55,"ProxyKey56",7,[18],6601,"Art/Videos/ChinaSkillVideos/Assassin_WhirlingBlades.BK2"
56,"ProxyKey57",10,[18],6758,"Art/Videos/ChinaSkillVideos/Assassin_Reave.BK2"
57,"ProxyKey58",2,[18],6921,"Art/Videos/ChinaSkillVideos/Assassin_Frostblades+LessPoison+Onslaught.BK2"
58,"ProxyKey59",0,[17],6727,"Art/Videos/ChinaSkillVideos/Saboteur_FireTrap+LessPoison.BK2"
59,"ProxyKey60",3,[17],6725,"Art/Videos/ChinaSkillVideos/Saboteur_BearTrap.BK2"
60,"ProxyKey61",8,[17],6761,"Art/Videos/ChinaSkillVideos/Saboteur_BearTrap+Multitrap.BK2"
61,"ProxyKey62",7,[17],6862,"Art/Videos/ChinaSkillVideos/Saboteur_FlameDash.BK2"
62,"ProxyKey63",10,[17],6763,"Art/Videos/ChinaSkillVideos/Saboteur_LightningTrap.BK2"
63,"ProxyKey64",2,[17],6710,"Art/Videos/ChinaSkillVideos/Saboteur_Firetrap+LessPoison+EleProlif.BK2"
64,"ProxyKey65",0,[16],6730,"Art/Videos/ChinaSkillVideos/Trickster_Knives+LessPoison.BK2"
65,"ProxyKey66",3,[16],6887,"Art/Videos/ChinaSkillVideos/Trickster_Contagion.BK2"
66,"ProxyKey67",8,[16],6891,"Art/Videos/ChinaSkillVideos/Trickster_Contagion+Voidmanip.BK2"
67,"ProxyKey68",7,[16],6888,"Art/Videos/ChinaSkillVideos/Trickster_Wither.BK2"
68,"ProxyKey69",10,[16],6890,"Art/Videos/ChinaSkillVideos/Trickster_EssenceDrain.BK2"
69,"ProxyKey70",2,[16],6644,"Art/Videos/ChinaSkillVideos/Trickster_Knives+LessPoison+Pierce.BK2"
70,"ProxyKey71",0,[9],6612,"Art/Videos/ChinaSkillVideos/Deadeye_Splitarrow+Pierce.BK2"
71,"ProxyKey72",3,[9],6876,"Art/Videos/ChinaSkillVideos/Deadeye_SiegeBallista.BK2"
72,"ProxyKey73",10,[9],6698,"Art/Videos/ChinaSkillVideos/Deadeye_LA.BK2"
73,"ProxyKey74",2,[9],6931,"Art/Videos/ChinaSkillVideos/Deadeye_Split+Pierce+Volley.BK2"
74,"ProxyKey75",7,"[8,9]",6848,"Art/Videos/ChinaSkillVideos/PathfinderDeadeye_BlinkArrow.BK2"
75,"ProxyKey76",0,[8],6610,"Art/Videos/ChinaSkillVideos/Pathfinder_IceShot+Pierce.BK2"
76,"ProxyKey77",8,[8],6616,"Art/Videos/ChinaSkillVideos/Pathfinder_Puncture+LMP.BK2"
77,"ProxyKey78",10,[8],6681,"Art/Videos/ChinaSkillVideos/Pathfinder_RoA.BK2"
78,"ProxyKey79",2,[8],6935,"Art/Videos/ChinaSkillVideos/Pathfinder_Iceshot+Pierce+SpiritArcher.BK2"
79,"ProxyKey80",8,[9],6619,"Art/Videos/ChinaSkillVideos/Deadeye_SiegeBallista+ColdDamage.BK2"
80,"ProxyKey90",8,[7],6619,"Art/Videos/ChinaSkillVideos/Raider_Puncture+AddedCold.BK2"
