"rownum","BaseItemTypesKey","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","Display_Wand_ModsKey","Display_Bow_ModsKey","Display_Quiver_ModsKey","Display_Amulet_ModsKey","Display_Ring_ModsKey","Display_Belt_ModsKey","Display_Gloves_ModsKey","Display_Boots_ModsKey","Display_BodyArmour_ModsKey","Display_Helmet_ModsKey","Display_Shield_ModsKey","HASH32","DropLevel","Monster_ModsKeys","EssenceTypeKey","Level","[i32]","Display_Weapon_ModsKey","Display_MeleeWeapon_ModsKey","Display_OneHandWeapon_ModsKey","Display_TwoHandWeapon_ModsKey","Display_TwoHandMeleeWeapon_ModsKey","Display_Armour_ModsKey","Display_RangedWeapon_ModsKey","Helmet_ModsKey","BodyArmour_ModsKey","Boots_ModsKey","Gloves_ModsKey","Bow_ModsKey","Wand_ModsKey","Staff_ModsKey","TwoHandSword_ModsKey","TwoHandAxe_ModsKey","TwoHandMace_ModsKey","Claw_ModsKey","Dagger_ModsKey","OneHandSword_ModsKey","OneHandThrustingSword_ModsKey","OneHandAxe_ModsKey","OneHandMace_ModsKey","Sceptre_ModsKey","Display_Monster_ModsKey","ItemLevelRestriction","Belt_ModsKey","Amulet_ModsKey","Ring_ModsKey","Display_Jewellery_ModsKey","Shield_ModsKey","Display_Items_ModsKey","IsScreamingEssence","MemoryLines","[i32]","Level2"
0,81,"","","","","","","","","","","","",1920,3216,"","",3216,"","","","","",-1010710615,[1],"[12867,12891,12883]",0,1,[700],1908,"","","",1920,3216,"",3216,3216,3216,3216,1920,1908,1920,1920,1920,1920,1908,1908,1908,1908,1908,1908,1908,12719,35,3216,3739,3739,3739,3216,"","","[12875,12891]",[1905],[1]
1,82,"","","","","","","","","","","","",1921,3217,"","",3217,"","","","","",1794042691,[12],"[12868,12891,12884]",0,2,[770],1909,"","","",1921,3217,"",3217,3217,3217,3217,1921,1909,1921,1921,1921,1921,1909,1909,1909,1909,1909,1909,1909,12720,45,3217,3740,3740,3740,3217,"","","[12876,12891]",[1905],[12]
2,83,"","","","","","","","","","","","",1923,3218,"","",3218,"","","","","",-1926556014,[30],"[12869,12891,12885]",0,3,[847],1911,"","","",1923,3218,"",3218,3218,3218,3218,1923,1911,1923,1923,1923,1923,1911,1911,1911,1911,1911,1911,1911,12721,60,3218,3741,3741,3741,3218,"","","[12877,12891]",[1905],[30]
3,84,"","","","","","","","","","","","",1925,3219,"","",3219,"","","","","",1130285480,[48],"[12870,12891,12886]",0,4,[931],1913,"","","",1925,3219,"",3219,3219,3219,3219,1925,1913,1925,1925,1925,1925,1913,1913,1913,1913,1913,1913,1913,12722,75,3219,3742,3742,3742,3219,"","","[12878,12891]",[841],[48]
4,85,"","","","","","","","","","","","",1927,3221,"","",3221,"","","","","",2062300730,[68],"[12871,12891,12887]",0,5,[1024],1915,"","","",1927,3221,"",3221,3221,3221,3221,1927,1915,1927,1927,1927,1927,1915,1915,1915,1915,1915,1915,1915,12723,0,3221,3743,3743,3743,3221,"",1,"[12879,12891]",[56],[68]
5,86,"","","","","","","","","","","","",1928,3222,"","",3222,"","","","","",-2071586625,"[73,77]","[12872,12891,12888]",0,6,"[205,410]",1916,"","","",1928,3222,"",3222,3222,3222,3222,1928,1916,1928,1928,1928,1928,1916,1916,1916,1916,1916,1916,1916,12724,0,3222,3744,3744,3744,3222,"","","[12880,12891]",[0],[]
6,87,"","","","","","","","","","","","",1940,3223,"","",3223,"","","","","",1769493148,[],"[12873,12891,12889]",0,7,[0],1918,"","","",1940,3223,"",3223,3223,3223,3223,1940,1918,1940,1940,1940,1940,1918,1918,1918,1918,1918,1918,1918,12725,0,3223,3745,3745,3745,3223,"","","[12881,12891]",[0],[]
7,88,"","","","","","","","","","","","","",13888,2029,662,662,"","","","","",-777397213,[1],"[12867,12883]",1,1,[700],"","",2376,2388,"",747,"",747,747,747,747,2388,2376,2388,2388,2388,2388,2376,2376,2376,2376,2376,2376,2376,12811,35,662,2029,662,"",747,"","",[12875],[1905],[1]
8,89,"","","","","","","","","","","","","",13889,2030,663,663,"","","","","",1672586153,[12],"[12868,12884]",1,2,[770],"","",2377,2389,"",748,"",748,748,748,748,2389,2377,2389,2389,2389,2389,2377,2377,2377,2377,2377,2377,2377,12812,45,663,2030,663,"",748,"","",[12876],[1905],[12]
9,90,"","","","","","","","","","","","","",13894,2031,666,666,"","","","","",1828846209,[30],"[12869,12885]",1,3,[847],"","",2378,2390,"",750,"",750,750,750,750,2390,2378,2390,2390,2390,2390,2378,2378,2378,2378,2378,2378,2378,12813,60,666,2031,666,"",750,"","",[12877],[1905],[30]
