"rownum","Id","Types","ExtraMods","TypesFiltered","DaemonSpawningData","PreviousTier","bool","Radius","Name","Icon","HASH16","TypesExtra","MonsterTypesApplyingRuin","MiscAnimated","BuffTemplates","Tier","i32","Description","MonsterSpawners","bool","Achievements","TextAudio","UniqueMapMod"
0,"ChaosCloudDaemon1",[0],[],[],24,"","",0,"Choking Miasma","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChokingMiasma",40225,[],0,5268,[],1,0,"A cloud that deals Chaos Damage over Time will follow you",[],"",[7824],11218,32120
1,"ChaosCloudDaemon2","[0,22]",[],[],25,0,"",0,"Choking Miasma II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChokingMiasma",54213,[],0,5268,[],2,0,"A large cloud that deals Chaos Damage over Time will follow you",[],"",[7824],11224,32120
2,"ChaosCloudDaemon3","[0,22]",[],[],26,1,"",0,"Choking Miasma III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChokingMiasma",12812,[],0,5268,[],3,0,"A large and fast cloud that deals Chaos Damage over Time will follow you",[],"","[7894,7824]",11230,32120
3,"ChaosCloudDaemon4","[0,22]",[],[],27,2,"",0,"Choking Miasma IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChokingMiasma",26152,[],0,5268,[],4,0,"A large and very fast cloud that slows you and deals Chaos Damage over Time will follow you",[],"",[],16701,32120
4,"LightningRuneDaemon1",[1],[],[11],28,"","",0,"Stormcaller Runes","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",11866,[],0,5268,[],1,0,"Runes will appear that will call deadly Lightning storms if you remain in them",[],"",[7825],11272,32121
5,"LightningRuneDaemon2","[1,22]",[],[11],29,4,"",0,"Stormcaller Runes II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",40295,[],0,5268,[],2,0,"Large runes will appear that will call deadly Lightning storms if you remain in them",[],"",[7825],11278,32121
6,"LightningRuneDaemon3","[1,22]",[],[11],30,5,"",0,"Stormcaller Runes III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",43498,[],0,5268,[],3,0,"Many large runes will appear that will call deadly Lightning storms if you remain in them",[],"","[7895,7825]",11284,32121
7,"LightningRuneDaemon4","[1,22]",[],[11],31,6,"",0,"Stormcaller Runes IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",53101,[],0,5268,[],4,0,"Many large runes will appear that will call deadly Lightning storms if you remain in them for a short amount of time",[],"",[],16707,32121
8,"LightningRuneDaemon1Trial",[1],[],[11],32,"","",0,"Stormcaller Runes","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",19821,[],0,5268,[],1,0,"Runes will appear that will call deadly Lightning storms if you remain in them",[],"",[7825],11272,""
9,"LightningRuneDaemon2Trial","[1,22]",[],[11],33,8,"",0,"Stormcaller Runes II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",13955,[],0,5268,[],2,0,"Large runes will appear that will call deadly Lightning storms if you remain in them",[],"",[7825],11278,""
10,"FlamespitterDaemon1",[12],[],[],34,"","",0,"Raging Dead","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",62391,[],0,5268,[],1,0,"Skulls will appear that spit Fire if you remain near them",[],"",[7826],11236,32122
