"rownum","Id","ItemClassesKey","Width","Height","Name","InheritsFrom","DropLevel","FlavourTextKey","Implicit_ModsKeys","SizeOnGround","SoundEffect","TagsKeys","ModDomain","SiteVisibility","ItemVisualIdentity","HASH32","VendorRecipe_AchievementItems","Inflection","Equip_AchievementItemsKey","IsCorrupted","Identify_AchievementItems","IdentifyMagic_AchievementItems","FragmentBaseItemTypesKey","bool","rid","rid","bool","TradeMarketCategory","Unmodifiable","Achievement","[string]","IgnoreQuantBonus","bool"
0,"Metadata/Items/Currency/CurrencyWeaponQuality",30,1,1,"Blacksmith's Whetstone","Metadata/Items/Currency/StackableCurrency",1,"",[],1,35,"[348,1187]",38,1,0,1154719587,[],"","","",[],[],"","","","","","","",[],[],"",""
1,"Metadata/Items/Currency/CurrencyIdentification",30,1,1,"Scroll of Wisdom","Metadata/Items/Currency/StackableCurrency",1,"",[],1,27,[],38,1,1,1351093167,[7243],"","","",[],[],"","","","","","","",[],[],"",""
2,"Metadata/Items/Currency/CurrencyRerollRare",30,1,1,"Chaos Orb","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[],38,1,2,1934876153,[9318],"","","",[],[],"","","","","","","",[],[],"",""
3,"Metadata/Items/Currency/CurrencyRerollRareVeiled",30,1,1,"Veiled Orb","Metadata/Items/Currency/StackableCurrency",61,"",[],1,34,[],38,1,3,-1550851543,[],"","","",[],[],"","","","","","","",[],[],"",""
4,"Metadata/Items/Currency/CurrencyArmourQuality",30,1,1,"Armourer's Scrap","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,"[348,1187]",38,1,4,-66826851,[],"","","",[],[],"","","","","","","",[],[],"",""
5,"Metadata/Items/Currency/CurrencyDuplicate",30,1,1,"Mirror of Kalandra","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],38,1,11,2042772245,[],"","","",[],[],"","","","","","","",[],[],"",""
6,"Metadata/Items/Currency/CurrencyUpgradeToRare",30,1,1,"Orb of Alchemy","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[],38,1,12,-1861203649,[9544],"","","",[],[],"","","","","","","",[],[],"",""
7,"Metadata/Items/Currency/CurrencyUpgradeRandomly",30,1,1,"Orb of Chance","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[1187],38,1,13,-982307707,[9317],"","","",[],[],"","","","","","","",[],[],"",""
8,"Metadata/Items/Currency/CurrencyPassiveRefund",30,1,1,"Orb of Regret","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[],38,1,14,-1689566555,[],"","","",[],[],"","","","","","","",[],[],"",""
9,"Metadata/Items/Currency/CurrencyAtlasPassiveRefund",30,1,1,"Orb of Unmaking","Metadata/Items/Currency/StackableCurrency",70,"",[],1,34,[],38,1,15,-402031475,[],"","","",[],[],"",1,"","","","","",[],[],"",""
10,"Metadata/Items/Currency/CurrencyUpgradeToMagic",30,1,1,"Orb of Transmutation","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[1187],38,1,16,1315720499,[],"","","",[],[],"","","","","","","",[],[],"",""
11,"Metadata/Items/Currency/CurrencyRerollMagic",30,1,1,"Orb of Alteration","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[1187],38,1,17,-684555689,[],"","","",[],[],"","","","","","","",[],[],"",""
12,"Metadata/Items/Currency/CurrencyConvertToNormal",30,1,1,"Orb of Scouring","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[],38,1,18,2131686967,"[148,8506]","","","",[],[],"","","","","","","",[],[],"",""
13,"Metadata/Items/Currency/CurrencyAddModToRare",30,1,1,"Exalted Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],38,1,20,-1068542423,[],"","","",[],[],"","","","","","","",[],[],"",""
14,"Metadata/Items/Currency/CurrencyUpgradeMagicToRare",30,1,1,"Regal Orb","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[],38,1,21,-658682019,[10447],"","","",[],[],"","","","","","","",[],[],"",""
15,"Metadata/Items/Currency/CurrencyAddModToMagic",30,1,1,"Orb of Augmentation","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[1187],38,1,22,-172267806,[],"","","",[],[],"","","","","","","",[],[],"",""
16,"Metadata/Items/Currency/CurrencyPortal",30,1,1,"Portal Scroll","Metadata/Items/Currency/StackableCurrency",2,"",[],1,27,[],38,1,23,1328218349,[],"","","",[],[],"","","","","","","",[],[],"",""
