"rownum","rid","Monster","rid","i32","Achievement","bool","bool","bool","bool"
0,0,9594,7141,2,[9790],1,"","",""
1,1,9597,7147,0,[9791],"","","",""
2,2,9599,7153,0,[9792],"","","",""
3,3,9601,7143,0,[],"","","",""
4,4,9602,7152,2,[9793],"","","",""
5,5,9605,7154,1,[9794],"","","",""
6,6,9607,7145,1,[9795],"","","",""
7,7,9609,7144,0,[],"","","",""
8,8,9611,7144,0,[9796],"","","",""
9,9,9591,7154,1,[9797],"","","",""
10,10,9613,7152,2,[9798],"","","",""
11,11,9615,7142,1,[9799],"","","",""
12,12,9617,7143,1,[9800],"","","",""
13,13,9620,7145,1,[9801],"","","",""
14,14,9622,7144,0,[9802],"","","",""
15,15,9624,7152,1,[9803],"","","",""
16,16,9626,7145,2,[9804],"","","",""
17,17,9629,7152,2,[9805],"","","",""
18,18,9632,7147,0,[9806],"","","",""
19,19,9634,7145,0,[9807],"","","",""
20,20,9590,7100,3,[],"","","",""
21,21,9636,7144,0,[9808],"","","",""
22,22,9638,7145,1,[9809],"","","",""
23,23,9640,7152,2,[9810],"","","",""
24,24,9642,7152,2,[9811],"","","",""
25,25,9646,7152,2,[9812],"","","",""
26,26,9648,7144,0,[9813],"","","",""
27,27,9652,7152,2,[9814],"","","",""
28,28,9655,7144,0,[9815],"","","",""
29,29,9657,7145,1,[9816],"","","",""
30,30,9659,7152,2,[9817],"","","",""
31,31,9661,7145,1,[9818],"","","",""
32,32,9663,7145,1,[9819],"","","",""
33,33,9667,7144,0,[9820],"","","",""
34,47,9677,7100,3,[],"","","",""
35,48,9680,7100,3,[],"","","",""
36,49,9683,7143,0,[],"","","",""
37,50,9684,7100,3,[],"","","",""
38,51,9687,7100,3,[9821],"","","",""
39,52,9690,7143,0,[],"","","",""
40,53,9692,7144,0,[],"","","",""
41,54,9699,7100,3,[],"","","",""
42,55,9702,7100,3,[],"","","",""
43,56,9705,7100,3,[],"","","",""
44,57,9708,7100,3,[],"","","",""
45,58,9711,7100,3,[],"","","",""
46,59,9714,7100,3,[9822],"","","",""
