"rownum","MonsterVarietiesKey","Spirit_ModsKeys","Touched_ModsKeys","Possessed_ModsKeys","MinZoneLevel","MaxZoneLevel","SpawnWeight","SummonedMonster_MonsterVarietiesKey","i32","ModsKeys0","ModsKeys1","rid"
0,3726,[9115],"[9116,9292,9291,9296]","[9117,9208,9293,9295]",10,100,1000,"",145,[],[],9117
1,3727,[9118],"[9119,9292,9291,9296]","[9120,9206,9293,9295]",6,100,2500,"",145,[],[],9120
2,3728,[9121],"[9122,9292,9291,9296]","[9123,9208,9293,9295]",10,100,1000,3182,145,[],[],9123
3,3729,[9124],"[9125,9292,9291,9296]","[9126,9208,9293,9295]",10,100,1000,"",145,[],[],9126
4,3730,[9153],"[9154,9292,9291,9296]","[9155,9209,9293,9295]",30,100,500,"",145,[],[],9155
5,3731,[9166],"[9167,9292,9291,9296]","[9168,9208,9293,9295]",15,100,1000,"",8,[],[],9168
6,3732,"[9133,9134]","[9135,9292,9291,9296]","[9136,9208,9293,9295]",15,100,1000,1929,145,[],[],9136
7,3733,[9159],"[9160,9292,9291,9296]","[9161,9208,9293,9295]",6,100,1000,"",145,[],[],9161
8,3734,[9127],"[9128,9292,9291,9296]","[9129,9208,9293,9295]",20,100,1000,"",145,[],[],9129
9,3735,[9130],"[9131,9292,9291,9296]","[9132,9209,9293,9295]",30,100,500,289,145,[],[],9132
10,3736,[9137],"[9138,9292,9291,9296]","[9139,9206,9293,9295]",1,100,2500,"",145,[],[],9139
11,3737,[9140],"[9141,9292,9291,9296]","[9142,9206,9143,9293,9295]",1,100,2500,"",145,[],[],9142
12,3738,[],"[9144,9292,9291,9296]","[9145,9209,9293,9295]",60,100,1,"",145,[],[],9145
13,3739,[9146],"[9147,9292,9291,9296]","[9148,9209,9293,9295]",60,100,500,"",145,[],[],9148
14,3740,[9150],"[9151,9292,9291,9296]","[9152,9206,9293,9295]",1,100,2500,"",145,[],[],9152
15,3741,[9156],"[9157,9292,9291,9296]","[9158,9206,9293,9295]",6,100,2500,"",145,[],[],9158
16,3742,"[9162,9163]","[9164,9292,9291,9296]","[9165,9208,9293,9295]",20,100,1000,45,145,[],[],9165
17,3743,[9169],"[9170,9292,9291,9296]","[9171,9209,9293,9295]",40,100,500,"",10,[],[],9171
18,3744,[9175],"[9176,9292,9291,9296]","[9177,9208,9293,9295]",20,100,1000,"",145,[],[],9177
19,3745,[9178],"[9179,9292,9291,9296]","[9180,9206,9293,9295]",1,100,2500,"",145,[],[],9180
20,3746,[9182],"[9183,9292,9291,9296]","[9184,9208,9293,9295]",10,100,1000,"",145,[],[],9184
21,3747,[9185],"[9187,9292,9291,9296]","[9188,9186,9209,9293,9295]",40,100,500,"",145,[],[],9188
22,3750,[9189],"[9190,9292,9291,9296]","[9205,9191,9209,9293,9295]",1,100,0,"",145,[],[],9205
23,3748,[9192],"[9193,9292,9291,9296]","[9194,9207,9294,9295]",1,100,0,"",145,[],[],9194
24,3749,[9195],"[9196,9292,9291,9296]","[9197,9207,9294,9295]",1,100,0,"",145,[],[],9197
25,3751,[9198],"[9199,9292,9291,9296]","[9200,9206,9293,9295]",1,100,0,"",145,[],[],9200
26,3752,[9198],"[9199,9292,9291,9296]","[9201,9206,9293,9295]",1,100,0,"",145,[],[],9201
27,3753,[9198],"[9199,9292,9291,9296]","[9202,9206,9293,9295]",1,100,0,"",145,[],[],9202
28,3754,[9198],"[9199,9292,9291,9296]","[9203,9206,9293,9295]",1,100,0,"",145,[],[],9203
29,3755,[9198],"[9199,9292,9291,9296]","[9204,9206,9293,9295]",1,100,0,"",145,[],[],9204
30,3756,[20503],"[20504,9292,9291,9296]","[20505,9209,9293,9295]",68,100,0,3991,145,[],[],20505
31,3757,[20500],"[20501,9292,9291,9296]","[20502,9209,9293,9295]",68,100,0,"",145,[],[],20502
32,3758,[20506],"[20507,9292,9291,9296]","[20508,9209,9293,9295]",68,100,0,"",145,[],[],20508
