"rownum","RewardOffer","i32","Characters","Reward","RewardLevel","rid","i32","string","[rid]","RewardStack","bool","bool","[rid]","i32","i32","[rid]","i32","rid","i32","[rid]"
0,0,0,[1],6650,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
1,0,1,[1],6869,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
2,0,2,[1],6843,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
3,0,3,[1],6604,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
4,0,4,[1],6889,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
5,0,5,[1],7061,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
6,0,6,[6],6950,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
7,0,7,[6],6897,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
8,0,8,[6],6869,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
9,0,9,[6],6843,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
10,0,10,[6],6822,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
11,0,11,[6],6966,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
12,0,12,[0],6592,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
13,0,13,[0],6822,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
14,0,14,[0],7114,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
15,0,15,[4],6593,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
16,0,16,[4],6822,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
17,0,17,[4],6873,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
18,0,18,[4],6986,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
19,0,19,[4],7082,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
20,0,20,[3],6612,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
21,0,21,[3],6610,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
22,0,22,[3],6863,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
23,0,23,[3],6873,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
24,0,24,[3],6608,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
25,0,25,[5],6650,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
26,0,26,[5],6938,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
27,0,27,[5],7008,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
28,0,28,[5],6730,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
29,0,29,[5],6889,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
30,0,30,[5],6999,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
31,0,31,[2],6822,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
32,0,32,[2],6612,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
33,0,33,[2],6843,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
34,0,34,[2],7082,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
35,3,0,[1],6881,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
36,3,1,[1],6882,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
37,3,2,[1],6788,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
38,3,3,[1],6887,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
39,3,4,[1],6605,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
40,3,5,[1],7084,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
41,3,6,[6],6881,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
42,3,7,[6],6953,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
43,3,8,[6],6734,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
44,3,9,[6],6864,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
45,3,10,[6],7084,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
46,3,11,[0],6728,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
47,3,12,[0],6978,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
48,3,13,[0],6864,1,"",0,"",[],1,"","",[],1464,0,[],0,"",0,[]
