"rownum","Id","ExorciseIcon","Name","i32","IllustratuionIcon","TextAudioLong","Achievements","TextAudioShort","rid"
0,"Helmet","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconHelmet","Helmet",0,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationHelmet",17029,10304,17081,25
1,"BodyArmour","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconBodyArmour","Body Armour",0,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationBodyArmour",17031,10298,17083,24
2,"Gloves","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconGloves","Gloves",0,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationGloves",17032,10303,17084,22
3,"Boots","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconBoots","Boots",0,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationBoots",17034,10299,17086,23
4,"Shield","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconShield","Shield",0,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationShield",17036,10308,17088,26
5,"Belt","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconBelt","Belt",2,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationBelt",17038,10297,17090,21
6,"Amulet","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconAmulet","Amulet",2,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationAmulet",17040,10295,17092,4
7,"Ring","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconRing","Ring",2,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationRing",17042,10307,17094,5
8,"Dagger","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconDagger","Dagger",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationDagger",17044,10302,17096,7
9,"RuneDagger","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconRuneDagger","Rune Dagger",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationRuneDagger",17044,10302,17096,56
10,"Bow","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconBow","Bow",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationBow",17050,10300,17102,13
