"rownum","NPCsKey","rid","rid","i32","i32","i32","AOFile","Stance","BetrayalTargetsKey"
0,0,1254,"",1323,1323,25,"Metadata/NPC/Act1/Tarkleigh.ao","",""
1,16,"","",1323,1323,25,"Metadata/NPC/Act3/Hargan.ao","",""
2,186,"",1085,1323,1323,25,"Metadata/NPC/Act5/Lilly.ao","",""
3,341,"",1254,1323,1323,25,"Metadata/NPC/League/Incursion/TreasureHunter.ao","",""
4,100,"",672,1323,1323,25,"Metadata/NPC/Act4/Petarus.ao","",""
5,391,"",59,1323,1323,25,"Metadata/NPC/League/Blight/BlightBuilder.ao","",""
6,343,"","",1323,1323,0,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalHaku.ao","idle_axe_01",1
7,344,"","",1323,1323,0,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalElreon.ao","idle_maul_01",2
8,345,"","",1323,1323,0,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalTora.ao","idle_bow_01",3
9,346,"","",1323,1323,0,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalVagan.ao","idle_sword_sword_01",4
10,347,"","",1323,1323,0,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalVorici.ao","idle_dagger_dagger_01",5
11,348,"","",1323,1323,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalHillock.ao","idle_town_01",6
12,349,"","",1323,1323,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalLeo.ao","idle_town_01",7
13,350,"","",1323,1323,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalGrenn.ao","idle_town_01",8
14,351,"","",1323,1323,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalJanus.ao","idle_town_01",9
15,352,"","",1323,1323,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalBreach.ao","idle_town_01",10
16,353,"","",1323,1323,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalGravicius.ao","idle_town_01",11
17,354,"","",1323,1323,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalThane.ao","idle_town_01",12
18,355,"","",1323,1323,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalKeema.ao","idle_town_01",13
19,356,"","",1323,1323,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalRin.ao","idle_town_01",14
20,357,"","",1323,1323,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalCameria.ao","idle_town_01",15
21,358,"","",1323,1323,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalAislin.ao","idle_town_01",16
22,359,"","",1323,1323,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalRiker.ao","idle_town_01",17
