"rownum","Id","[rid]","rid","[i32]","StatsKeys","StatValues","bool","bool","bool","bool"
0,"InnerTreasure",[7005],"",[],[],[],"","","",""
1,"DropVaalItem",[7012],"",[],[],[],"","","",""
2,"AlwaysIgnite",[],"",[],"[4986,610]","[1,100]","","","",""
3,"RandomCurseOnMeleeHit",[],"",[],[1226],[100],"","","",""
4,"Maimed",[],497,"[-30,1]",[],[],"","","",""
5,"AlwaysShock",[],"",[],"[4985,658]","[1,100]","","","",""
6,"TormentedExperimenterPossess","[8855,8946,9031,9033]","",[],[],[],"","","",""
7,"TormentedBlasphemerPossess","[8858,8944,9031,9033]","",[],[],[],"","","",""
8,"TormentedNecromancerPossess","[8861,8946,9031,9033]","",[],[],[],"","","",""
9,"TormentedArsonistPossess","[8864,8946,9031,9033]","",[],[],[],"","","",""
10,"TormentedThiefPossess","[8893,8947,9031,9033]","",[],[],[],"","","",""
11,"TormentedMutilatorPossess","[8906,8946,9031,9033]","",[],[],[],"","","",""
12,"TormentedCharlatanPossess","[8874,8946,9031,9033]","",[],[],[],"","","",""
13,"TormentedCannibalPossess","[8899,8946,9031,9033]","",[],[],[],"","","",""
14,"TormentedPoisonerPossess","[8867,8946,9031,9033]","",[],[],[],"","","",""
15,"TormentedCorrupterPossess","[8870,8947,9031,9033]","",[],[],[],"","","",""
16,"TormentedThugPossess","[8877,8944,9031,9033]","",[],[],[],"","","",""
17,"TormentedRoguePossess","[8880,8944,8881,9031,9033]","",[],[],[],"","","",""
18,"TormentedFishermanPossess","[8883,8947,9031,9033]","",[],[],[],"","","",""
19,"TormentedLibrarianPossess","[8886,8947,9031,9033]","",[],[],[],"","","",""
20,"TormentedCutthroatPossess","[8890,8944,9031,9033]","",[],[],[],"","","",""
21,"TormentedSpyPossess","[8896,8944,9031,9033]","",[],[],[],"","","",""
22,"TormentedMartyrPossess","[8903,8946,9031,9033]","",[],[],[],"","","",""
23,"TormentedEmbezzlerPossess","[8909,8947,9031,9033]","",[],[],[],"","","",""
24,"TormentedCounterfeiterPossess","[8915,8946,9031,9033]","",[],[],[],"","","",""
25,"TormentedWarlordPossess","[8918,8944,9031,9033]","",[],[],[],"","","",""
26,"TormentedFreezerPossess","[8922,8946,9031,9033]","",[],[],[],"","","",""
27,"TormentedSmugglerPossess","[8926,8924,8947,9031,9033]","",[],[],[],"","","",""
28,"MapSupporterEssenceDaemon","[35219,35220,35221,35222,35223,35224,35225,35226,35227]","",[],[],[],1,"","",""
