"rownum","Id","rid","rid","rid","[rid]","[rid]","[rid]","[rid]"
0,"Poisoner","","",410,[],[],[],[]
1,"VoidTouched","","",411,[],[],[],[]
2,"FrostTouched",6261,9,"",[1003],[],[],[]
3,"Freezer",6262,8,"",[],[],[],[]
4,"Raider","","",412,[],[],[],[]
5,"Deadeye","","",436,[],[],[],[]
6,"Bombardier","","","",[],[],[],[]
7,"FlameTouched",6257,9,"",[1002],[],[],[]
8,"Igniter",6258,8,"",[],[],[],[]
9,"ArcaneEnchanted","","",413,[],[8982],[],[]
10,"Echoist","","",414,[],[],[],[]
11,"StormTouched",6259,9,"",[1004],[],[],[]
12,"Shocker",6260,8,"",[],[],[],[]
13,"Bonebreaker","","","",[],[],[],[]
14,"Bloodletter","","","",[],[],[],[]
15,"BloodletterMagic","","",416,[],[],[],[]
16,"SteelAttuned",6263,9,"",[],[],[],[]
17,"Gargantuan","","","",[],[],[],[]
18,"Berserker","","",417,[],[],[],[]
19,"Defender","","","",[],[9099],[],[]
20,"Juggernaut","","",455,[],[],[],[]
21,"Vampiric","","",418,[],[],[],[]
22,"ChargeGenerator","","",419,[],[],[],[]
23,"SoulConduit","","","",[],[],[],[]
24,"Wealthy","","",420,[],[],[],[]
25,"Oppressor","","",433,[],[],[],[]
26,"Consecration","","",421,[],[],[],[]
27,"Rampage","","","",[],[],[],[]
28,"HeraldOfTheObelisk","","","",[],[9018],"[6243,6244]",[]
29,"UnionOfSouls","","","",[],[],[],[]
30,"Assassin","","",423,[],[],[],[]
31,"Trickster","","","",[1697],[],[],[]
32,"Necromancer","","",450,[],[],[],[]
33,"Rejuvenating","","","","[1693,1694]",[],[],[]
34,"Executioner","","","",[],[],[],[]
35,"Hexer","","","","[65,73]",[9014],[],[]
36,"FlaskDrain","","","",[],[],[],[]
37,"GraspingVines","","",425,[],[],[5106],[]
38,"TimeBubble","","","",[],[],[],[]
39,"Saplings","","","",[],[9075],[],[404]
40,"FrostWalker","","",426,[],[],[],[]
41,"GlacialCage",6267,10,"",[],[],[],[]
42,"SoulEater","","","",[],[],[],[]
43,"FlameWalker","","",427,[],[],[],[]
44,"CorpseExploder","","","",[],[],[],[]
45,"Prismatic",6375,9,"",[],[],[],[]
46,"VolatileFlameBlood","","","",[],[],[],[]
47,"MirrorImage","","","",[],[],[],[]
48,"LightningWalker","","",428,[],[],[],[]
49,"ManaDonut","","","",[],[],[],[]
50,"Corrupter","","",429,[],[],[],[]
51,"DivineTouched","","","",[],[],[],[]
52,"LivingCrystals","","",435,[],[9098],[],[]
53,"CycleOfElements","","","",[],[],[],[]
54,"VoodooDoll","","","",[],[],[],[]
55,"Lunaris","","","",[],[],[],[]
56,"Solaris","","","",[],[],[],[]
57,"Arakaali","","","",[],[],[],[]
58,"BrineKing","","","",[],[],[],[]
59,"Tukohama","","","",[],[],[],[]
60,"Abberath","","","",[],[],[],[]
61,"Shakari","","","",[],[],[],[]
62,"Innocence","","","",[],[],[],[]
63,"Kitava","","","",[],[],[],[]
