"rownum","Id","rid","rid","bool","bool","i32","bool","bool","bool","bool","bool","bool"
0,"SpectreMinion",724,3460,1,"",0,"","",1,"","",""
1,"DominatedNormalMinion",8069,8075,1,"",0,"","",1,"","",""
2,"DominatedMagicMinion",8070,8076,1,"",0,"","",1,"","",""
3,"DominatedRareMinion",8071,8077,1,"",0,"","",1,"","",""
4,"VaalDominatedMinion",17858,17898,1,"",0,"","",1,"","",""
5,"TotemMinion",953,3395,"",1,0,"","",1,1,"",""
6,"TrapMinion",950,3726,"",1,0,"","",1,1,1,1
7,"ZombieMinion",723,3463,1,"",0,"","",1,"","",""
8,"SkeletonMinion",725,3461,1,"",0,"","",1,"","",""
9,"VaalSkeletonMinion",725,3461,1,"",0,"","",1,"","",""
10,"SupportGhostMinion",8366,"",1,"",0,"","",1,"","",""
11,"RemoteMineMinion",951,3725,"",1,0,"","",1,1,"",1
12,"IncaMinion",4578,"",1,"",0,"","",1,"","",""
13,"InsectMinion",4579,"",1,"",0,"","",1,"","",""
14,"WaterElementalMinion",1180,"",1,"",0,"","",1,"","",""
15,"GenericUnlimitedMinion","","",1,"",0,1,"",1,"","",""
16,"AxisSoldierMinion","","",1,"",0,1,"","","","",""
17,"AnimatedArmourMinion","",7587,1,"",1,"",1,1,"","",""
18,"AnimatedWeaponMinion",5712,5713,1,"",0,"",1,1,"","",""
19,"RagingSpiritMinion",2101,3462,1,"",0,"","",1,"","",""
20,"DoubleMinion",14183,"","",1,0,"","",1,1,"",""
21,"GenericUnlimitedMinionWithDrops","","",1,"",0,1,"","","","",""
22,"TaniwhaTailMinion",4580,"",1,"",0,"","",1,"","",""
23,"GolemMinion",2888,"",1,"",0,"","",1,"","",""
24,"MissionFollower","","","","",0,1,"","","","",""
25,"ManifestedUniqueWeaponMinion","",18496,1,"",0,1,"",1,"","",""
26,"RangedAnimatedWeaponMinion",3449,19236,1,"",0,"",1,1,"","",""
27,"WolfMinion",4581,3878,1,"",0,"","",1,"","",""
28,"GenericUnlimitedNonMinion","","","",1,0,1,"",1,"","",""
29,"EssenceSpiritMinion",4883,4884,1,"",0,"","",1,"","",""
30,"SpiderMinion",5298,5299,1,"",0,"","",1,"","",""
31,"BeastMinion",6187,6427,1,"",0,"","",1,"","",""
32,"GenericLimitedMinion",5476,5477,1,"",0,"","",1,"","",""
33,"Harbinger","","",1,"",1,"","",1,"","",""
34,"MirageArcher",7075,"","","",0,"","",1,"",1,1
35,"Effigy",7231,"","",1,0,"","",1,"","",""
36,"Clone",8068,"",1,"",0,"","",1,"","",""
37,"HeraldScorpion",8128,"",1,"",0,"","",1,"","",""
38,"HeraldChampion",8140,8291,1,"",0,"","",1,"","",""
39,"Relic",8157,8158,1,"",0,"","",1,"","",""
40,"ReplicateMinion",9507,9508,1,"",0,"","",1,"","",""
41,"BurrowingViperMinion","","","",1,0,1,"",1,1,"",""
42,"MirageWarrior",10718,10719,"",1,0,"","",1,1,"",""
43,"DoubleCryWarrior",11860,11861,"",1,0,"","",1,1,"",""
44,"GenericLimitedTo3Minion","","",1,"",3,"","",1,"","",""
45,"MirageChieftain","","",1,"",0,1,"",1,"","",""
46,"GenericLimitedMinionWithDrops",5476,"",1,"",0,"","","","","",""
47,"TauntingContraption","","",1,"",1,"","",1,"","",""
48,"AbsolutionSentinel",14209,14233,1,"",0,"","",1,"","",""
49,"VaalAbsolutionSentinel",17857,17899,1,"",0,"","",1,"","",""
50,"Reaper",14640,"",1,"",0,"","",1,"","",""
51,"ArbalistMinion",14435,"",1,"",0,"","",1,"","",""
52,"Triggerbots","","",1,"",0,1,"",1,"","",""
53,"VaalAnimatedWeaponMinion",5712,17735,1,"",0,"",1,1,"","",""
54,"VaalRangedAnimatedWeaponMinion",3449,17736,1,"",0,"",1,1,"","",""
55,"VaalIceShotMirage",18090,"","",1,0,"","",1,1,"",""
56,"IzaroSpiritMinion","","",1,"",1,"","",1,"","",""
57,"RadiantSentinel","","",1,"",1,"","",1,"","",""
58,"GuardianFireRelic","","",1,"",1,"","",1,"","",""
59,"GuardianColdRelic","","",1,"",1,"","",1,"","",""
60,"GuardianLightningRelic","","",1,"",1,"","",1,"","",""
61,"AncestralEmbraceMinion","","",1,"",1,"","",1,"","",""
62,"VoodooDoll","","","","",1,"","",1,"","",""
63,"BlinkMirrorArrowRainOfArrowsClones",19215,"",1,"",0,"","",1,"","",""
64,"BlinkMirrorArrowElementalHitClones",19216,"",1,"",0,"","",1,"","",""
