"rownum","DisplayLevel","Damage","Evasion","Accuracy","Life","Experience","AllyLife","i32","Difficulty","Damage2","i32","f32","f32","i32","i32","Armour"
0,"1",4.99,67,14,22,20,15,16,1,5.62,10,4.99,4.99,13,76,22
1,"2",5.56,86,15,26,20,16,23,1,6.03,12,5.56,5.56,15,102,26
2,"3",6.16,104,15,31,25,18,30,1,6.46,15,6.16,6.16,18,130,31
3,"4",6.81,124,16,36,38,20,39,1,6.92,18,6.81,6.81,22,159,36
4,"5",7.5,144,17,42,51,22,48,1,7.41,21,7.5,7.5,25,189,42
5,"6",8.23,166,18,48,67,24,59,1,7.93,25,8.23,8.23,29,220,48
6,"7",9,188,19,55,88,27,71,1,8.48,29,9,9,34,252,55
7,"8",9.82,211,20,62,113,29,84,1,9.06,34,9.82,9.82,38,286,62
8,"9",10.7,234,21,70,141,32,99,1,9.68,39,10.7,10.7,44,321,70
9,"10",11.62,259,23,78,173,35,115,1,10.33,44,11.62,11.62,49,358,78
10,"11",12.6,285,24,87,211,38,133,1,11.03,50,12.6,12.6,55,396,87
11,"12",13.64,311,25,97,250,41,152,1,11.76,56,13.64,13.64,62,435,97
12,"13",14.74,339,26,107,297,44,174,1,12.54,63,14.74,14.74,69,475,107
13,"14",15.91,368,28,119,347,48,198,1,13.37,70,15.91,15.91,77,518,119
14,"15",17.14,397,29,131,402,52,225,1,14.25,79,17.14,17.14,86,562,131
15,"16",18.45,428,31,144,461,56,254,1,15.17,87,18.45,18.45,95,607,144
16,"17",19.83,460,32,158,526,60,286,1,16.16,97,19.83,19.83,106,654,158
17,"18",21.29,493,34,173,596,65,321,1,17.2,107,21.29,21.29,117,703,173
18,"19",22.84,527,35,190,668,70,360,1,18.3,119,22.84,22.84,128,754,190
19,"20",24.47,563,37,207,748,75,402,1,19.46,131,24.47,24.47,141,806,207
20,"21",26.19,600,39,226,831,81,449,1,20.7,144,26.19,26.19,155,861,226
21,"22",28.01,638,41,246,921,87,500,1,22,158,28.01,28.01,170,917,246
22,"23",29.94,677,43,267,1013,93,556,1,23.39,174,29.94,29.94,187,975,267
23,"24",31.96,718,45,290,1113,99,616,1,24.85,191,31.96,31.96,204,1036,290
24,"25",34.11,760,47,315,1216,106,683,1,26.39,209,34.11,34.11,223,1098,315
25,"26",36.36,804,49,341,1325,114,756,1,28.03,228,36.36,36.36,244,1163,341
26,"27",38.75,849,52,370,1437,121,835,1,29.76,249,38.75,38.75,266,1230,370
27,"28",41.26,896,54,400,1560,130,922,1,31.58,272,41.26,41.26,290,1299,400
28,"29",43.91,944,57,432,1685,138,1016,1,33.52,296,43.91,43.91,316,1371,432
29,"30",46.7,994,59,467,1812,148,1120,1,35.56,323,46.7,46.7,344,1445,467
30,"31",49.65,1046,62,504,1950,158,1232,1,37.72,351,49.65,49.65,373,1521,504
31,"32",52.75,1100,65,543,2089,168,1354,1,40,382,52.75,52.75,406,1601,543
32,"33",56.01,1155,68,585,2235,179,1488,1,42.41,415,56.01,56.01,440,1683,585
33,"34",59.45,1212,71,630,2386,190,1633,1,44.96,450,59.45,59.45,478,1767,630
34,"35",63.08,1271,74,678,2543,203,1790,1,47.64,489,63.08,63.08,518,1855,678
35,"36",66.89,1332,77,730,2705,215,1962,1,50.49,530,66.89,66.89,561,1945,730
36,"37",70.91,1395,81,785,2873,229,2148,1,53.49,574,70.91,70.91,608,2038,785
37,"38",75.13,1460,84,843,3045,244,2351,1,56.66,621,75.13,75.13,658,2135,843
38,"39",79.58,1528,88,905,3227,259,2571,1,60,672,79.58,79.58,712,2235,905
39,"40",84.26,1597,92,972,3407,275,2811,1,63.53,727,84.26,84.26,769,2338,972
40,"41",89.18,1669,96,1042,3597,292,3070,1,67.26,786,89.18,89.18,831,2444,1042
41,"42",94.35,1743,100,1118,3796,310,3352,1,71.2,850,94.35,94.35,898,2554,1118
42,"43",99.8,1819,105,1198,3993,328,3658,1,75.36,917,99.8,99.8,970,2667,1198
43,"44",105.52,1898,109,1284,4203,348,3990,1,79.74,990,105.52,105.52,1046,2784,1284
44,"45",111.53,1979,114,1375,4415,369,4350,1,84.37,1069,111.53,111.53,1129,2904,1375
45,"46",117.86,2063,119,1472,4634,392,4740,2,89.25,1153,117.86,117.86,1217,3029,1472
46,"47",124.5,2150,124,1575,4854,415,5163,2,94.4,1243,124.5,124.5,1312,3158,1575
47,"48",131.49,2239,129,1685,5086,440,5621,2,99.84,1339,131.49,131.49,1414,3290,1685
48,"49",138.83,2331,135,1802,5318,465,6118,2,105.57,1443,138.83,138.83,1523,3427,1802
49,"50",146.53,2426,140,1927,5561,493,6656,2,111.62,1554,146.53,146.53,1640,3568,1927
50,"51",154.63,2524,146,2059,5808,522,7238,2,118,1673,154.63,154.63,1766,3714,2059
51,"52",163.14,2626,152,2200,6064,552,7869,2,124.73,1800,163.14,163.14,1900,3864,2200
52,"53",172.07,2730,159,2350,6324,584,8552,2,131.83,1937,172.07,172.07,2044,4019,2350
53,"54",181.45,2837,165,2509,6585,618,9290,2,139.31,2083,181.45,181.45,2199,4179,2509
54,"55",191.3,2948,172,2678,6859,653,10090,2,147.2,2240,191.3,191.3,2364,4343,2678
55,"56",201.63,3063,179,2858,7134,691,10955,2,155.52,2408,201.63,201.63,2541,4513,2858
56,"57",212.48,3180,187,3050,7413,730,11890,2,164.28,2587,212.48,212.48,2731,4688,3050
57,"58",223.87,3302,195,3253,7703,772,12902,2,173.53,2780,223.87,223.87,2934,4868,3253
58,"59",235.83,3427,203,3469,7996,816,13996,2,183.27,2986,235.83,235.83,3151,5054,3469
59,"60",248.37,3556,211,3698,8265,862,15178,2,193.54,3206,248.37,248.37,3384,5246,3698
60,"61",261.53,3689,220,3942,8525,910,16457,2,204.37,3442,261.53,261.53,3633,5444,3942
61,"62",275.33,3826,229,4201,8781,961,17838,2,215.78,3694,275.33,275.33,3900,5647,4201
62,"63",289.82,3967,238,4476,9032,1015,19330,2,227.8,3963,289.82,289.82,4185,5857,4476
63,"64",305.01,4112,247,4768,9283,1072,20943,2,240.46,4252,305.01,305.01,4490,6073,4768
64,"65",320.94,4262,257,5078,9532,1131,22685,2,253.81,4560,320.94,320.94,4816,6295,5078
65,"66",337.65,4416,268,5407,9773,1194,24566,2,267.87,4890,337.65,337.65,5165,6525,5407
66,"67",355.18,4575,279,5756,10014,1260,26597,2,282.69,5243,355.18,355.18,5539,6761,5756
67,"68",373.55,4739,290,6127,10255,1329,28790,3,298.29,5620,373.55,373.55,5938,7004,6127
68,"69",392.81,4907,301,6520,10487,1402,31158,3,314.73,6022,392.81,392.81,6364,7255,6520
69,"70",413.01,5081,314,6937,10720,1478,33714,3,332.05,6453,413.01,413.01,6820,7513,6937
70,"71",434.18,5260,326,7380,10949,1559,36473,3,350.29,6913,434.18,434.18,7308,7779,7380
71,"72",456.37,5444,339,7850,11170,1644,39449,3,369.5,7404,456.37,456.37,7829,8052,7850
72,"73",479.62,5633,352,8348,11388,1733,42661,3,389.73,7929,479.62,479.62,8386,8334,8348
73,"74",504,5828,366,8876,11601,1827,46127,3,411.04,8490,504,504,8980,8624,8876
74,"75",529.54,6029,381,9436,11804,1926,49865,3,433.47,9089,529.54,529.54,9616,8922,9436
75,"76",556.3,6235,396,10030,12004,2029,53896,3,457.09,9729,556.3,556.3,10295,9230,10030
76,"77",584.35,6448,412,10660,12192,2138,58245,3,481.97,10412,584.35,584.35,11020,9546,10660
77,"78",613.73,6667,428,11328,12377,2253,62934,3,508.15,11141,613.73,613.73,11795,9872,11328
78,"79",644.5,6892,444,12036,12549,2373,67990,3,535.72,11920,644.5,644.5,12622,10207,12036
79,"80",676.75,7124,462,12787,12712,2500,73441,3,564.75,12751,676.75,676.75,13506,10552,12787
80,"81",710.52,7362,480,13582,12863,2633,79317,3,595.3,13638,710.52,710.52,14449,10907,13582
81,"82",745.89,7608,499,14425,13006,2773,85651,3,627.46,14585,745.89,745.89,15456,11272,14425
82,"83",782.94,7860,518,15319,13132,2919,92477,3,661.31,15596,782.94,782.94,16531,11648,15319
83,"84",821.73,8120,538,16265,13250,3074,99834,3,696.95,16675,821.73,821.73,17679,12035,16265
84,"85",862.36,8388,559,17268,13352,3236,107762,3,734.45,17825,862.36,862.36,18904,12433,17268
85,"86",904.9,8663,580,18331,13440,3406,116303,3,773.91,19053,904.9,904.9,20211,12842,18331
86,"87",949.44,8946,603,19457,13512,3585,125506,3,815.45,20363,949.44,949.44,21607,13263,19457
87,"88",996.07,9237,626,20649,13569,3773,135420,3,859.16,21760,996.07,996.07,23096,13696,20649
88,"89",1044.89,9536,650,21913,13609,3970,146098,3,905.15,23250,1044.89,1044.89,24684,14142,21913
89,"90",1096,9844,675,23250,13633,4178,157600,3,953.54,24840,1096,1096,26380,14600,23250
