"rownum","rid_0","rid_16","i32_32"
0,9688,4235,241092318
1,10147,4236,-689546065
2,10150,4237,-325229012
3,12311,4238,-1063459755
4,11532,4239,75060906
5,12548,4240,-1546708750
6,10945,4241,-662122049
7,12546,4242,-1222371971
8,11627,4243,-1473032832
9,9935,4244,-1989133468
10,12545,4245,-1868712728
11,11515,4246,359955857
12,11510,4247,1311467939
13,12282,4248,-974544988
14,10943,4249,-829142474
15,11630,4250,1238657137
16,10942,4251,1556548718
17,12544,4252,898977981
18,12543,4253,1852863866
19,12547,4254,-1926555720
20,11545,4255,-1097381000
21,11530,4256,-447349213
22,12280,4257,-1707305483
23,11544,4258,1881520832
24,9690,4259,809946488
25,9883,4260,-161837024
26,11632,4261,1438706210
27,12309,4262,-1810728202
28,11513,4263,79690690
29,12235,4264,1470875728
30,9695,4265,-1454885063
31,12310,4266,-1136793470
32,12549,4267,-845083795
33,12238,4268,-1617665736
34,9879,4269,1589443200
35,9934,4270,217182782
36,11546,4271,-1054218304
37,9697,4272,-1934913649
38,9689,4273,-2144854266
39,11628,4274,-961543441
40,10941,4275,-10258181
41,10153,4276,178471226
42,10190,4277,-679831597
43,10003,4278,-551198725
44,7600,4279,823943942
45,10154,4280,1695138765
46,10039,4281,1042835715
47,12307,4282,-1187591138
48,11511,4283,-1804003392
49,11528,4284,2144048919
50,10005,4285,2105666940
51,11572,4286,-833557100
52,9940,4287,2019732113
53,9700,4288,-1298118145
54,10183,4289,-1836970706
55,9998,4290,179196667
56,10032,4291,-1209413694
57,9993,4292,-1352400808
58,10040,4293,-1582580517
59,10038,4294,-320557881
60,9996,4295,1998717565
61,9882,4296,-1696045501
62,10152,4297,581689
63,9990,4298,-994766805
64,12234,4299,1121449463
65,10185,4300,988602414
66,10156,4301,-1890125108
67,9994,4302,1670272265
68,10186,4303,1061245871
69,10006,4304,-1563579594
70,9995,4305,-837436368
71,10036,4306,-1313379392
72,10002,4307,591994908
73,11542,4308,-651769882
74,10189,4309,-1624983573
75,10182,4310,-1899326666
76,10187,4311,1064830047
77,9999,4312,1606123339
78,10037,4313,-886237039
79,9693,4314,757782947
80,10035,4315,-1647971224
81,12279,4316,-1980116762
82,10188,4317,2137168354
83,12306,4318,-1869137618
84,10148,4319,-373197846
85,11512,4320,-886386091
86,9943,4321,-875129113
87,10007,4322,-526910390
88,10033,4323,-823223660
89,10180,4324,-1175504486
90,9942,4325,1281500251
91,10181,4326,-2011908844
92,9691,4327,354591994
93,11527,4328,1894967284
94,10944,4329,1053791753
95,11631,4330,267878817
96,11531,4331,-1384579337
97,12281,4332,-137543231
98,9941,4333,1681370264
99,12277,4334,1527329667
100,9683,4335,1321370010
101,10151,4336,1282291954
102,10041,4337,-244634798
103,9991,4338,-1904121572
104,9692,4339,-1292623951
105,9694,4340,1412694076
106,12278,4341,1097432357
107,12233,4342,269078685
108,10940,4343,1939001032
109,9888,4344,-236396037
110,12308,4345,-1542459129
111,9885,4346,355093100
112,11543,4347,-244270725
113,11629,4348,2020276108
114,9997,4349,791923414
115,12236,4350,-152564983
116,10034,4351,845586367
117,11541,4352,1030607070
118,9686,4353,1428447258
119,9887,4354,1662453964
120,9881,4355,1086159006
121,9880,4356,-1243592460
122,9884,4357,1720992431
123,12692,4358,656298985
124,12693,4359,582388939
125,9886,4360,-1330428925
126,11529,4361,10691341
127,12237,4362,-755425869
128,9685,4363,-1442511853
129,9687,4364,1506993028
130,9939,4365,670027263
131,9992,4366,893483974
132,10155,4367,556899756
133,9684,4368,948244203
134,9938,4369,309564985
135,10004,4370,644717207
136,10184,4371,201423924
137,11514,4372,-425516541
138,9936,4373,1890357588
139,9937,4374,-1603423061
140,9696,4375,788156195
141,10149,4376,-1957681611
142,14146,4377,2045753637
143,7614,4378,-128896791
144,8010,4379,1955122677
145,7578,4380,962398136
146,7717,4381,577143885
147,7795,4382,918643125
148,9591,4383,229705408
149,11625,4384,-1063709812
150,11712,4385,1730251011
151,10001,4386,1218467030
152,9592,4387,-1450684016
153,10043,4388,-829065843
154,11713,4389,615496637
155,10946,4390,951233410
156,11626,4391,-1970844477
157,7796,4392,700761527
158,7718,4393,998675723
159,10157,4394,-1986309304
