"rownum","BaseItemTypesKey","SpawnWeight","ModsKey","Tier","bool_40","bool_41","rid_42","rid_58","i32_74"
0,789,1818,10446,1,"","","","",3
1,790,1818,10447,1,"","","","",0
2,791,1818,10448,1,"","","","",0
3,792,1818,10450,1,"","","","",0
4,793,1818,10449,1,"","","","",0
5,794,1818,10451,1,"","","","",0
6,795,1818,10452,1,"","","","",0
7,796,1818,10453,1,"","","","",0
8,797,1,10471,1,"","","","",0
9,798,1818,10472,1,"","","","",0
10,799,1818,10473,1,"","","","",0
11,800,1818,10474,1,"","","","",0
12,813,2100,10475,2,"","","","",0
13,801,2100,12219,2,"","","","",0
14,802,2100,12215,2,"","","","",0
15,803,2100,12218,2,"","","","",0
16,804,2100,12220,2,"","","","",0
17,805,2100,12216,2,"","","","",0
18,806,350,12227,2,"","","","",0
19,807,350,12227,2,"","","","",0
20,808,350,12226,2,"","","","",0
21,809,350,12226,2,"","","","",0
22,810,350,12228,2,"","","","",0
23,811,350,12228,2,"","","","",0
24,812,2100,12224,2,"","","","",0
25,814,2400,12217,3,"","","","",0
26,815,2400,12225,3,"","","","",0
27,816,2400,12223,3,"","","","",0
28,817,2400,12229,3,"","","","",0
29,818,2400,12221,3,"","","","",0
30,819,800,12222,3,"","","","",0
31,820,800,12222,3,"","","","",0
32,821,800,12222,3,"","","","",0
33,822,2400,12214,3,"","","","",0
34,823,100,"",4,"","","","",0
