"rownum","Id","X","Y","IsMajorGod","CoverImage","GodName2","GodName2 (French)","GodName2 (German)","GodName2 (Japanese)","GodName2 (Korean)","GodName2 (Portuguese)","GodName2 (Russian)","GodName2 (Spanish)","GodName2 (Thai)","GodName2 (Traditional Chinese)","SelectionImage","Effect1_StatsKeys","Effect1_Values","Effect2_StatsKeys","GodName3","GodName3 (French)","GodName3 (German)","GodName3 (Japanese)","GodName3 (Korean)","GodName3 (Portuguese)","GodName3 (Russian)","GodName3 (Spanish)","GodName3 (Thai)","GodName3 (Traditional Chinese)","Effect3_Values","Effect3_StatsKeys","GodName4","GodName4 (French)","GodName4 (German)","GodName4 (Japanese)","GodName4 (Korean)","GodName4 (Portuguese)","GodName4 (Russian)","GodName4 (Spanish)","GodName4 (Thai)","GodName4 (Traditional Chinese)","Effect4_StatsKeys","Effect4_Values","GodName1","GodName1 (French)","GodName1 (German)","GodName1 (Japanese)","GodName1 (Korean)","GodName1 (Portuguese)","GodName1 (Russian)","GodName1 (Spanish)","GodName1 (Thai)","GodName1 (Traditional Chinese)","Effect2_Values","QuestFlag","IsDisabled","AchievementItems","LeagueQuestFlag1","LeagueQuestFlag2","LeagueQuestFlag3","DowngradeFlag1","DowngradeFlag2","DowngradeFlag3"
0,"TheBrineKing",60,242,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarLeft","Puruna, the Challenger","Puruna, l'Opposant","Puruna der Herausforderer","挑戦者、プルナ","도전자 푸루나","Puruna, o Desafiador","Пуруны, претендента","Puruna, la Retadora","พูรูนา ผู้ท้าทาย","挑戰者普魯那","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge",[6425],[1],[221],"Captain Tanner Lightfoot","Capitaine Tanner Lestepied","Hauptmann Tanner Leichtfuß","タナー・ライトフット隊長","혁갑 경보병 지휘관","Capitão Tanner Lightfoot","Трибуна Таннера Легкоступа","Capitán Tanner Pies Ligeros","กัปตันแทนเนอร์ ไลท์ฟุท","隊長坦納萊富特",[100],[191],"Glace","Frigor","Glace","グラッセ","글라스","Geleira","Ожеледя","Glace","เกลซ","凍靈",[2588],[-50],"Soul of the Brine King","Âme du Roi des Embruns","Seele des Gischtkönigs","海水の王の魂","염수왕의 영혼","Alma do Rei da Salmoura","Душа Морского царя","Alma del Rey del mar","วิญญาณราชันน้ำเค็ม","海洋王之魂",[30],1164,"",[6981],1324,1325,1326,3178,3179,3180
1,"Arakaali",760,300,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarRight","Maligaro the Mutilator","Maligaro, le Mutilateur","Maligaro der Verstümmler","切断者、マリガロ","절단자 말리가로","Maligaro, o Mutilador","Малигаро Мучителя","Malígaro el Mutilador","มาลิกาโร ผู้พรากอวัยวะ","毀壞者馬雷葛蘿","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge",[541],[-10],[5833],"Legius Garhall","Légius Garhall","Legius Garhall","レギウス・ガーホール","레기우스 가르할","Legius Garhall","Легиуса Гархолла","Legius Garhall","ลีเจียส การ์ฮอลล์","混種黑寡婦",[20],[6331],"Armala, the Widow","Armala, la Veuve","Armala, die Witwe","ウィドウ、アルマラ","과부 아말라","Armala, a Viúva","Армалы, Вдовы","Armala, la Viuda","อาร์มาล่า แม่ม่าย","瓦爾之影",[6089],[40],"Soul of Arakaali","Âme d'Arakaali","Seele von Arakaali","アラカーリの魂","아라칼리의 영혼","Alma de Arakaali","Душа Аракаали","Alma de Arakaali","วิญญาณอาราคาลี","艾爾卡莉之魂",[20],1294,"",[6981],1327,1328,1329,3181,3182,3183
2,"Solaris",560,357,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeRight","Woad, Mockery of Man","Vouède, le Simulacre d'Homme","Woad, Menschenverhöhner","人の模倣、ウォード","사람의 조롱 오와드","Woad, Chacota da Humanidade","Водия, Насмешки над человеком","Woad, Burla de hombre","โวด หุ่นลอกเลียนมนุษย์","毀滅者奇塔弗","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge","[6154,6155]","[6,20]",[6156],"Kitava, The Destroyer","Kitava, le Destructeur","Kitava, der Zerstörer","破壊者、キタヴァ","파괴자 키타바","Kitava, o Destruidor","Китавы, Разрушителя","Kitava, el Destructor","คิทาวา ผู้ทำลายล้าง","戈耳戈",[1],[6157],"Jorus, Sky's Edge","Jorus, l'Orée du ciel","Jorus, Himmelsrand","天空の端、ジョラス","하늘의 끝 조러스","Jorus, Lâmina Celeste","Хоруса, Небесной грани","Jorus, el Filo del cielo","จอรัส ขอบแห่งนภา","天際朱力斯",[6160],[50],"Soul of Solaris","Âme de Solaris","Seele von Solaris","ソラリスの魂","솔라리스의 영혼","Alma de Solaris","Душа Солярис","Alma de Solaris","วิญญาณโซลาริส","日耀神之魂",[-8],1426,"",[6981],1330,1331,1332,3184,3185,3186
3,"Lunaris",354,386,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeLeft","Sebbert, Crescent's Point","Sebbert, la Pointe du croissant","Sebbert, Spitze des Halbmondes","三日月の先端、セバート","초승달의 끝 세버트","Sebbert, Ponto Crescente","Зибберта, Полумесяца","Sebbert, Cuarto creciente","เซบเบิร์ท จุดแห่งจันทร์เสี้ยว","弦月之靈賽伯特","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge","[6161,6162]","[1,1]",[6163],"Fragment of Winter","Fragment de l'Hiver","Fragment des Winters","冬の断片","겨울의 조각","Fragmento do Inverno","Кусочка зимы","Fragmento de invierno","ชิ้นส่วนแห่งเหมันต์","暗影姊妹．霍爾",[-6],[15291],"Khor, Sister of Shadows","Khor, Sœur des Ombres","Khor, Schwester der Schatten","影の妹、コール","그림자의 자매 코르","Khor, Irmã das Sombras","Хор, Сестры теней","Khor, Hermana de sombras","คอร์ ธิดาแห่งเงา","邪靈體",[6165],[100],"Soul of Lunaris","Âme de Lunaris","Seele von Lunaris","ルナリスの魂","루나리스의 영혼","Alma de Lunaris","Душа Лунарис","Alma de Lunaris","วิญญาณลูนาริส","月影神之魂",[10],1426,"",[6981],1333,1334,1335,3187,3188,3189
4,"Minor God 1",780,517,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","","","","","","","","","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"","","","","","","","","","",[],[],"","","","","","","","","","",[],[],"","","","","","","","","","",[],71,1,[],1,1,1,"","",""
5,"Minor God 2",682,550,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","","","","","","","","","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"","","","","","","","","","",[],[],"","","","","","","","","","",[],[],"","","","","","","","","","",[],71,1,[],1,1,1,"","",""
6,"Abberath",328,584,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Sumter the Twisted","Estiver, l'Aliéné","Sommter, der Verderbte","歪みし者、サムター","뒤틀린 섬터","Sumter, o Desvirtuado","Самтера Искажённого","Sumter el Retorcido","ซัมเทอร์ผู้ผิดเพี้ยน","旱地者密法德","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[14643],[-60],"[6911,5834]","","","","","","","","","","",[],[],"","","","","","","","","","",[],[],"Soul of Abberath","Âme d'Abberath","Seele von Abberath","アバラスの魂","아버라스의 영혼","Alma de Abberath","Душа Абберата","Alma de Abberath","วิญญาณแอ็บเบอร์แรธ","艾貝拉斯之魂","[1,10]",1200,"",[],1336,1,1,3190,"",""
7,"Minor God 4",359,794,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","","","","","","","","","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"","","","","","","","","","",[],[],"","","","","","","","","","",[],[],"","","","","","","","","","",[],71,1,[],1,1,1,"","",""
8,"Gruthkul",425,609,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Erebix, Light's Bane","Érébix, le Fléau de la Lumière","Erebix, Lichtverderberin","光の災い、エレビックス","빛의 파멸 에레빅스","Erebix, Estandarte da Luz","Эребикса, Погибели света","Erebix, Flagelo de la luz","เอเรบิกซ์ หายนะแก่สรรพแสง","光明剋星艾爾畢斯","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[5843],[1],[6146],"","","","","","","","","","",[],[],"","","","","","","","","","",[],[],"Soul of Gruthkul","Âme de Gruthkul","Seele von Gruthkul","グラスクルの魂","그루스컬의 영혼","Alma de Gruthkul","Душа Граткул","Alma de Gruthkul","วิญญาณกรัธท์คัล","葛魯斯寇之魂",[-8],1386,"",[],1337,1,1,3191,"",""
9,"Yugul",225,627,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Varhesh, Shimmering Aberration","Varhesh, l'Aberration miroitante","Varhesh, schimmernde Anomalie","煌めく怪物、ヴァーヘッシュ","일렁이는 변이 바레쉬","Varhesh, Aberração Cintilante","Вархеша, Сверкающего отродья","Varhesh, Aberración brillante","วาร์เฮช ระยิบวิปลาส","微光之屍弗賽斯","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[10884,14644]","[-50,50]",[1276],"","","","","","","","","","",[],[],"","","","","","","","","","",[],[],"Soul of Yugul","Âme de Yugul","Seele von Yugul","ユーグルの魂","유굴의 영혼","Alma de Yugul","Душа Югула","Alma de Yugul","วิญญาณยูกูล","伊果之魂",[-30],1438,"",[],1338,1,1,3192,"",""
